变量名,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,type,args,group,priority,autoPriority,attrType1,attrValue1,attrType2,attrValue2,attrType3,attrValue3,invalidScenes
默认值,"""""","""""","""""","""""","""""","""""",0,<>,0,0,0,0,"""""",0,"""""",0,"""""",<6;7;17>
ID,图标,描述,描述,描述,描述,描述,触发类型（1-自然属性比例;2-指定自然属性）,触发参数,效果分组，同个分组只生效一个光环,同组优先级,自动选择最优光环优先级,加成属性类型1,加成属性值1,加成属性类型2,加成属性值2,加成属性类型2,加成属性值2,不生效场景
1,config/embattle/icon_gh1.png,Send out 6 Pokémons of different types,上陣6個不同屬性的精靈,Send out 6 Pokémons of different types,6 sprite với các thuộc tính khác nhau,다른 타입의 포켓몬 6마리 출전,1,<1;1;1;1;1;1>,10,,1,1,10%,7,10%,8,10%,
2,config/embattle/icon_gh2.png,Send out 3 Pokémons of the same type,上陣3個同屬性精靈,Send out 3 Pokémons of the same type,3 yêu tinh cùng thuộc tính trong trận chiến,같은 타입의 포켓몬 3마리 출전,1,<3>,20,,2,1,15%,7,10%,8,10%,
3,config/embattle/icon_gh3.png,Send out 3 groups of 2 Pokémons of the same type,上陣3組同屬性的2個精靈,Send out 3 groups of 2 Pokémons of the same type,Chơi 3 bộ gồm 2 yêu tinh có cùng thuộc tính,같은 타입 2마리씩 총 3개 조합의 포켓몬 출전,1,<2;2;2>,30,,3,1,15%,7,15%,8,15%,
4,config/embattle/icon_gh4.png,Send out 3 Pokémons of the same type and 3 Pokémons of the same type of another group,上陣同屬性的3個精靈及其另一組同屬性的3個精靈,Send out 3 Pokémons of the same type and 3 Pokémons of the same type of another group,3 yêu tinh có cùng thuộc tính và một nhóm 3 yêu tinh khác có cùng thuộc tính,같은 타입 3마리씩 총 3개 조합의 포켓몬 출전,1,<3;3>,20,49,4,1,20%,7,15%,8,15%,
5,config/embattle/icon_gh5.png,Send out 4 Pokémons of the same type and 2 Pokémons of the same type of another group,上陣同屬性的4個精靈及其另一組同屬性的2個精靈,Send out 4 Pokémons of the same type and 2 Pokémons of the same type of another group,4 yêu tinh có cùng thuộc tính và một nhóm khác gồm 2 yêu tinh có cùng thuộc tính,같은 타입 2마리씩 총 4개 조합의 포켓몬 출전,1,<4;2>,20,79,5,1,20%,7,15%,8,15%,
6,config/embattle/icon_gh6.png,Send out 6 Pokémons of the same type,上陣同屬性的6個精靈,Send out 6 Pokémons of the same type,6 yêu tinh cùng thuộc tính trong trận chiến,같은 타입의 포켓몬 6마리 출전,1,<6>,20,99,6,1,25%,7,20%,8,20%,
,config/embattle/icon_gh7.png,Send out Pokémons with the specific type,上陣指定特殊屬性,Send out Pokémons with the specific type,Chỉ định các thuộc tính đặc biệt,지정한 타입 출전,2,<<7;4>>,50,,,14,500,,,,,
,config/embattle/icon_gh7.png,Send out Pokémons with the specific type,上陣指定特殊屬性,Send out Pokémons with the specific type,Chỉ định các thuộc tính đặc biệt,지정한 타입 출전,2,<<15;4>>,60,,,24,500,,,,,
,config/embattle/icon_gh7.png,Send out Pokémons with the specific type,上陣指定特殊屬性,Send out Pokémons with the specific type,Chỉ định các thuộc tính đặc biệt,지정한 타입 출전,2,<<10;4>>,70,,,13,5%,,,,,
,config/embattle/icon_gh7.png,Send out Pokémons with the specific type,上陣指定特殊屬性,Send out Pokémons with the specific type,Chỉ định các thuộc tính đặc biệt,지정한 타입 출전,2,<<8;4>>,80,,,15,500,,,,,
