变量名,name,name_tw,name_en,name_vn,name_kr,sort,isRecommend,specialMarkTitle,specialMarkTitle_tw,specialMarkTitle_en,specialMarkTitle_vn,specialMarkTitle_kr,specialMarkBg,haloId,yyhuodongID,cards,desc,desc_tw,desc_en,desc_vn,desc_kr,coreMark,features,features_tw,features_en,features_vn,features_kr,coreEffectName,coreEffectName_tw,coreEffectName_en,coreEffectName_vn,coreEffectName_kr,coreEffect,coreEffect_tw,coreEffect_en,coreEffect_vn,coreEffect_kr,matchEffect1,matchEffect1_tw,matchEffect1_en,matchEffect1_vn,matchEffect1_kr,matchEffect2,matchEffect2_tw,matchEffect2_en,matchEffect2_vn,matchEffect2_kr,matchEffect3_en,matchEffect3_tw,matchEffect3_en,matchEffect3_vn,matchEffect3_kr,matchEffect4,matchEffect4_tw,matchEffect4_en,matchEffect4_vn,matchEffect4_kr,matchEffect5,matchEffect5_tw,matchEffect5_en,matchEffect5_vn,matchEffect5_kr,matchEffect6,matchEffect6_tw,matchEffect6_en,matchEffect6_vn,matchEffect6_kr
默认值,"""""","""""","""""","""""","""""",0,FALSE,,,,,,"""""",0,0,<>,"""""","""""","""""","""""","""""",,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,阵容名称,阵容名称,阵容名称,阵容名称_越南,阵容名称_韩,排序价值（大的在前面）,是否推荐,特殊标记文字,特殊標記文字,特殊标记文字,特殊标记文字_越南,特殊标记文字_韩,特殊标记背景(资源路径),光环ID,运营活动推荐,卡牌序列,阵容描述,阵容描述,阵容描述,阵容描述_越南,阵容描述_韩,核心标记,特点,特点,特点,特点_越南,特点_韩,核心效果名,核心效果名,核心效果名,核心效果名_越南,核心效果名_韩,核心效果,核心效果,核心效果,核心效果_越南,核心效果_韩,配合效果1,配合效果1,配合效果1,配合效果1_越南,配合效果1_韩,配合效果2,配合效果2,配合效果2,配合效果2_越南,配合效果2_韩,配合效果3,配合效果3,配合效果3,配合效果3_越南,配合效果3_韩,配合效果4,配合效果4,配合效果4,配合效果4_越南,配合效果4_韩,配合效果5,配合效果5,配合效果5,配合效果5_越南,配合效果5_韩,配合效果6,配合效果6,配合效果6,配合效果6_越南,配合效果6_韩
1,Fire critical hit,火焰暴擊,Fire critical hit,HỎA VIÊM BẠO KÍCH,불꽃 치명타,9999,TRUE,Fire critical hit,火焰暴擊,Fire critical hit,HỎA VIÊM BẠO KÍCH,불꽃 치명타,city/card/battle_recommend/logo_bs1.png,6,,<741;603;1231;1303;242;1172>,Fire critical hit,火焰暴擊,Fire critical hit,HỎA VIÊM BẠO KÍCH,불꽃 치명타,<1;0;0;0;0;0>,"Fire-type team's features: high Crit, high Crit damage, high ATK, attached with Burn damage",火系陣容特點：高暴擊高爆傷，輸出強力，附帶灼燒傷害,"Fire-type team's features: high Crit, high Crit damage, high ATK, attached with Burn damage",404404,"불꽃 타입 라인업 특징: 높은 치명타 피해, 강력한 대미지, 추가 연소 피해 적용",Burning effect,灼燒效果,Burning effect,404404,연소 효과,"At the beginning of the round that Burned targets act, deal a direct damage to the target and Burn damage can be stacked up to 5 times",受到灼燒的目標行動回合開始前，對其造成直接傷害，灼燒傷害可疊加，最高可以疊加至5層,"At the beginning of the round that Burned targets act, deal a direct damage to the target and Burn damage can be stacked up to 5 times",404404,"연소효과가 부여된 목표는 자신의 행동 턴이 시작되기 전에 직접 피해를 입으며, 연소 피해는 최대 5회까지 중첩할 수 있다","1. Moltres: Its abilities provide Fire-type Aura: Increase team's Crit damage, attach group Burn damage to all initiative skills and increase team's Crit",1.火焰鳥：被動技能提供火系光環：提升全隊暴擊傷害，主動技能附帶全體灼燒效果並提升全體暴擊率,"1. Moltres: Its abilities provide Fire-type Aura: Increase team's Crit damage, attach group Burn damage to all initiative skills and increase team's Crit",404404,"1. 파이어: 패시브 스킬이 제공하는 불꽃 타입 아우라: 팀 전체의 치명타 피해 증가, 시전 스킬에 연소 효과가 부여되며 팀 전체의 치명타율 증가",2. Entei: Fire-type tank in the front line. Fire God (passive skill) ensures the tank level. Lose its HP for high ATK and provides a buffer for Fire-type ultimate skills launching slowly,2.炎帝：火系前排肉盾，被動技能火神庇護保證坦度，損失自身血量獲得高額輸出，為火系大招啟動慢提供一個緩衝,2. Entei: Fire-type tank in the front line. Fire God (passive skill) ensures the tank level. Lose its HP for high ATK and provides a buffer for Fire-type ultimate skills launching slowly,404404,"2. 앤테이: 불꽃 타입 전방 라인 탱커, 패시브 스킬 파이어 갓 가디언으로 탱커력이 보장되며, 자신의 잃은 체력을 높은 대미지로 전환하고, 불꽃 타입 필살기에 느린 버퍼링을 가동 시켜 준다",3. Magby: All skills are attached with Burn effect. Igniting all Burns on targets to deal a high damage.,3.鴨嘴寶寶：所有技能附帶灼燒效果，引爆目標身上的所有灼燒造成高額傷害,3. Magby: All skills are attached with Burn effect. Igniting all Burns on targets to deal a high damage.,404404,"3. 마그비: 모든 스킬에 연소 효과가 부여되며, 목표의 모든 연소를 폭발 시켜 대량의 피해를 입힌다",4. Blaziken: Higher single ATK. Deal a higher damage to Burned targets,4.火焰雞：超強單體輸出，對灼燒目標可以造成更高的傷害,4. Blaziken: Higher single ATK. Deal a higher damage to Burned targets,404404,"4. 번치코: 초강력한 단일 개체 딜러, 연소 목표에게 더 많은 피해를 입힐 수 있다",5. Arcanine: Fire Team's high-speed ATK. Act quickly and kill targets in seconds,5.風速狗：火隊高速輸出，搶佔先手，秒殺目標,5. Arcanine: Fire Team's high-speed ATK. Act quickly and kill targets in seconds,404404,"5. 윈디: 불꽃 타입 고속 딜러, 선제 공격으로 목표를 순간 삭제시킨다",6. Houndoom: Provide group ATK bonus,6.黑魯加：提供團隊攻擊增益,6. Houndoom: Provide group ATK bonus,404404,6. 헬가: 팀 공격 버프를 제공한다
2,High Crit Res and SPD,抗暴提速,High Crit Res and SPD,404404,스피드 업,9998,TRUE,High Crit Res and SPD,抗暴提速,High Crit Res and SPD,404404,스피드 업,city/card/battle_recommend/logo_bs4.png,6,,<1241;3303;631;1313;552;1353>,High Crit Res and SPD,抗暴提速,High Crit Res and SPD,404404,스피드 업,<1;0;0;0;0;0>,Offensive Burst Team: Attack first. Quickly kill enemy Pokemon and be numerically superior,先手爆發陣容：先手輸出，快速秒殺敵對精靈，佔據數量上的優勢,Offensive Burst Team: Attack first. Quickly kill enemy Pokemon and be numerically superior,404404,"선공 버스트 라인업: 선공권 획득, 상대 포켓몬을 순간 삭제하여 수에서의 우위를 점함",Team's advantages,隊伍優勢,Team's advantages,404404,파티 우세,"Crit Res and SPD bonus, attached with dispelling effect and take advantages to act first",抗爆率，速度加成，並帶有驅散效果，搶佔先手優勢,"Crit Res and SPD bonus, attached with dispelling effect and take advantages to act first",404404,"치명타 저항률, 스피드 증가, 그리고 디스펠 효과, 선공권 획득",1. Suicune: Provide team's SPD aura and Crit Res. Its ultimate skill dispels debuffs and reduces Crit damage,1.提供全隊速度光環和抗暴擊能力，大招驅散減益效果降低暴擊傷害,1. Suicune: Provide team's SPD aura and Crit Res. Its ultimate skill dispels debuffs and reduces Crit damage,404404,"1. 스이쿤: 팀 전체에 스피드 아우라 및 치명타 저항력을 제공하며, 필살기의 디버프 효과로 치명타 피해 감소",2. Greninja and Gyarados are the best attackers of Water-type Pokemon,2.甲贺忍蛙，暴鲤龙，水系精灵中的输出能手,2. Greninja and Gyarados are the best attackers of Water-type Pokemon,404404,"2.개굴닌자, 갸라도스, 물 타입 중에서 뛰어난 딜러",3. Swampert: The tank of a Water-type team,3.巨沼怪：承擔水系隊伍的肉盾角色,3. Swampert: The tank of a Water-type team,404404,3.대짱이: 물 타입 팀원을 이끄는 탱커 유닛,4. 4 S-class Water-type Pokemon can match with two S-class Pokemon of a same type to make up a 4+2 team aura. It's recommended to match with 2 Dragon-type Pokemon (to increase the advantage of attacking first) or 2 Ice-type Pokemon (to increase the advantage of controlling first),4.4個s資質的水系也可以搭配其他兩個同系s級精靈組成4+2的陣容光環，推薦搭配2龍系(提升先手輸出優勢)或2冰系(提升先手控制優勢),4. 4 S-class Water-type Pokemon can match with two S-class Pokemon of a same type to make up a 4+2 team aura. It's recommended to match with 2 Dragon-type Pokemon (to increase the advantage of attacking first) or 2 Ice-type Pokemon (to increase the advantage of controlling first),404404,4. s급의 물 타입 4마리에 다른 같은 타입의 s급 포켓몬을 조합하여 4+2 라인업 아우라를 생성할 수 있다. 드래곤 타입 2마리(선제 공격 확률 증가) 또는 얼음 타입 2마리(선제 제어 확률 증가)를 추천한다,,,,,,,,,,
3,Controlling Team,控制陣容,Controlling Team,404404,파티 제어,9993,,Controlling Team,控制陣容,Controlling Team,404404,파티 제어,city/card/battle_recommend/logo_bs5.png,3,,<721;3021;393;1813;771;263>,Controlling Team,控制陣容,Controlling Team,404404,파티 제어,<1;0;0;0;0;0>,Team of multiple controls and debuffs: Torture enemies with multiple controls and debuffs,多控制多負面陣容：多樣控制，多種負面，敵方陷入無盡折磨之中,Team of multiple controls and debuffs: Torture enemies with multiple controls and debuffs,404404,"다양 제어 디버프 라인업: 다양한 제어 수단과 디버프, 적에게 무한의 고통을 선사",Control Effect,控制效果,Control Effect,404404,제어 효과,"Disrupt enemies by Freeze, Silence, Disable, Confuse and other controls",冰凍，沉默，石化，混亂，多樣控制方式，打亂敵方行動節奏,"Disrupt enemies by Freeze, Silence, Disable, Confuse and other controls",404404,"얼음, 침묵, 석화, 혼란, 다양한 제어기로 적의 행동을 교란",1. Articuno and Cryogonal's skills are attached with Freeze effect at a higher chance,1.急凍鳥和幾何雪花技能效果中附帶高概率的冰凍效果,1. Articuno and Cryogonal's skills are attached with Freeze effect at a higher chance,404404,1. 프리져와 프리지오의 스킬 효과 중에는 높은 확률로 얼음 효과를 부여한다,2. Ducknoir's Black Hole can confine the target in the black hole to make it unable to attack or being attacked,2.黑夜魔靈的黑洞效果可以使得目標禁錮在黑洞中不可攻擊也不可受到攻擊,2. Ducknoir's Black Hole can confine the target in the black hole to make it unable to attack or being attacked,404404,"2. 야느와르몽의 블랙홀 효과는 목표를 블랙홀에 감금 시켜 공격할 수도, 공격을 받을 수도 없게 만든다",3. Mew's ultimate skill can silence targets,3.夢幻大招可沉默目標,3. Mew's ultimate skill can silence targets,404404,3. 뮤의 필살기는 목표를 침묵시킬 수 있다,3. Alakazam can disable targets,4.胡地可石化目標,3. Alakazam can disable targets,404404,4. 후딘은 목표를 석화할 수 있다,5. Gengar's fear is effected by controls and can reduce target's attributes,5.耿鬼的恐懼效果受到控制率屬性影響，也同時降低目標屬性,5. Gengar's fear is effected by controls and can reduce target's attributes,404404,"5. 팬텀의 공포 효과는 제어율 스탯의 영향을 받고, 동시에 목표의 스탯을 감소 시킨다",,,,,
4,Single Seckill,單體秒殺,Single Seckill,404404,단일 유닛 순삭,9994,,Single Seckill,單體秒殺,Single Seckill,404404,단일 유닛 순삭,city/card/battle_recommend/logo_bs1.png,1,,<1303;1423;753;1071;1293;572>,Single Seckill,單體秒殺,Single Seckill,404404,단일 유닛 순삭,<1;0;0;0;0;0>,Single One-Hit Team: Gather the fire to kill a single enemy to be numerically superior,單體必殺陣容：集火秒殺敵方單體，快速取得人數優勢,Single One-Hit Team: Gather the fire to kill a single enemy to be numerically superior,404404,"단일 유닛 필살 라인업: 화력을 집중해 적 단일 유닛을 순간 삭제하여, 수에서의 우위를 점한다",Single one-hit,單體必殺,Single one-hit,404404,단일 유닛 필살,Use big skills to a single enemy Pokemon and gather the fire to kill a single enemy,大招針對敵方單體精靈，集火秒殺敵方單體目標,Use big skills to a single enemy Pokemon and gather the fire to kill a single enemy,404404,"필살기는 적 단일 개체의 포켓몬을 목표로 하며, 화력을 집중해 적 포켓몬 1마리를 순간 삭제시킨다",1. Blaziken provides group damage bonus,1.火焰雞提供全體雙攻提升,1. Blaziken provides group damage bonus,404404,1. 번치코는 팀 전체에 피해 보너스를 제공한다,2. Scyther can quickly seckill Pokemon in the back line with Treecko,2.飛天螳螂和木守宮可配合快速秒殺敵方後排血量百分比最低的精靈,2. Scyther can quickly seckill Pokemon in the back line with Treecko,404404,2. 스라크와 나무지기는 콤비로 적 후방 라인 포켓몬을 빠르게 처치할 수 있다,3. High single ATK. Can quickly seckill a single enemy to get the superiority in number,3.單體輸出強力，可快速秒殺敵方單體目標達到人數上的優勢,3. High single ATK. Can quickly seckill a single enemy to get the superiority in number,404404,"3. 단일 개체 강력한 대미지, 적 단일 개체의 목표를 빠르게 처치하여 수에서의 우위를 점할 수 있다",,,,,,,,,,,,,,,
5,Dark-Type Team,惡系陣容,Dark-Type Team,404404,악 타입 라인업,9996,TRUE,Dark-Type Team,惡系陣容,Dark-Type Team,404404,악 타입 라인업,city/card/battle_recommend/logo_bs3.png,6,,<1841;3143;2723;1172;1082;2822>,Dark-Type Team,惡系陣容,Dark-Type Team,404404,악 타입 라인업,<1;0;0;0;0;0>,Stealing Team: Steel attributes from enemies and attack in different ways,偷取屬性陣容：偷取敵方多樣屬性，攻擊手段多樣多變,Stealing Team: Steel attributes from enemies and attack in different ways,404404,"속성 훔치기 라인업: 적의 각종 속성을 훔치고, 다양한 공격 수단으로 적을 공격",Steal attributes,偷取屬性,Steal attributes,TRỘM LẤY THUỘC TÍNH,속성 훔치기,There are abilities to steal attributes in skill effects to weaken enemies and strengthen teammates,技能效果中具有多樣偷取屬性的能力，讓對手越打越弱，隊友越來越強,There are abilities to steal attributes in skill effects to weaken enemies and strengthen teammates,404404,"스킬 효과 중에는 다양한 속성 훔치기 능력이 있으며, 적을 더 약하게 만들고 아군을 더 강하게 만들 수 있다",1. Absol steal target's max HP,1.阿勃梭魯偷取目標血量上限,1. Absol steal target's max HP,404404,1. 앱솔은 목표의 최대 HP를 훔친다,2. Hydreigon can steal target's SP.ATK and P.ATK by multistage attacks,2.三首惡龍多段攻擊偷取目標雙攻,2. Hydreigon can steal target's SP.ATK and P.ATK by multistage attacks,404404,2. 삼삼드래는 다중 공격으로 목표의 물리&특수 공격력을 훔친다,3. Zoroark: Get ATK bonus from the illusion target,3.索羅亞克：獲得幻化目標的攻擊增益,3. Zoroark: Get ATK bonus from the illusion target,404404,3. 조로아크: 변화된 목표의 공격력 버프를 획득한다,4. Houndoom: Steal enemy team's SP.DEF and P.DEF to own team's SP.DEF and P.DEF,4.黑魯加：偷取敵方全隊雙防轉化為己方團隊雙攻,4. Houndoom: Steal enemy team's SP.DEF and P.DEF to own team's SP.DEF and P.DEF,404404,4. 헬가: 모든 적의 물리&특수 방어력을 훔쳐 아군의 물리&특수 공격력으로 전환한다,"5. Weavile: Steal the target's P.ATK ",5.瑪狃拉：偷取目標物攻,"5. Weavile: Steal the target's P.ATK ",404404,5. 포푸니라: 목표의 물리 공격을 훔친다,6. Krookodile: Blind targets and make targets uanble to be healed,6.流氓鱷：致盲，禁療目標,6. Krookodile: Blind targets and make targets uanble to be healed,404404,"6.악비아르: 목표에게 실명, 치료 불가를 부여한다"
6,Thunderbolt Reaction,雷電感應,Thunderbolt Reaction,404404,뇌전 반응,9997,TRUE,Thunderbolt Reaction,雷電感應,Thunderbolt Reaction,404404,뇌전 반응,city/card/battle_recommend/logo_bs5.png,5,,<731;1221;593;883;333;1903>,Thunderbolt Reaction,雷電感應,Thunderbolt Reaction,404404,뇌전 반응,<1;0;0;0;0;0>,"Advanced Electric-type Enhanced Team: Electrify mark brings multiple buffs. Increase the speed of Rage recovery, the speed of releasing big skills and attach Paralysis effect; Zapdos's 8-star passive skill can make allied Electric-type Pokemon's Rage increased at the beginning of a battle and can use big skills first to be superior",電系陣容特點：感電印記引導多種增益，回怒速率提升，大招釋放節奏加快，附帶大量麻痹效果；閃電鳥8星被動技能可使得己方電系精靈開局獲得大量怒氣，先手大招打出優勢,"Advanced Electric-type Enhanced Team: Electrify mark brings multiple buffs. Increase the speed of Rage recovery, the speed of releasing big skills and attach Paralysis effect; Zapdos's 8-star passive skill can make allied Electric-type Pokemon's Rage increased at the beginning of a battle and can use big skills first to be superior",404404,"진화형 전기 타입 라인업: 감전 표식으로 다양한 버프를 유도해 분노 회복 속도가 증가하고, 필살기 시전 주기가 짧아지며, 엄창난 마비 효과를 부여한다. 썬더의 8성 패시브 스킬은 아군 전기 타입 포켓몬이 전투 시작 시 대량의 분노를 얻게 해주며, 선제 공격으로 필살기를 시전해 우세를 점한다",Electrify mark,感電印記,Electrify mark,404404,감전 표식,Electrify deffect: Electrify target's damage to Raikou will be reduced. Ampharos increase the extra Rage recovery to Electrify mark.,感電效果：感電目標對雷公傷害降低，閃電鳥增加對感電印記的傷害，電龍增加對感電印記的額外回怒,Electrify deffect: Electrify target's damage to Raikou will be reduced. Ampharos increase the extra Rage recovery to Electrify mark.,404404,"감전 효과: 감전 당한 목표의 라이코에 대한 피해 감소, 썬더의 감전 표식에 대한 피해 증가, 전룡의 감전 표식에 대해 분노 추가 회복",1. Zapdos and Ampharos provides a lot of Electrify marks and increase team's Rage,1.閃電鳥，電龍提供大量感電印記，且提升團隊怒氣,1. Zapdos and Ampharos provides a lot of Electrify marks and increase team's Rage,404404,"1. 썬더, 전룡은 대량의 감전 표식을 제공하고, 팀의 분노를 상승시킨다","2. Reduce Raikou's damage taken from Electrify targets, paralyze/ stun targets to control the battle",2.雷公受到感電目標傷害降低，麻痹/暈眩目標，達到控場效果,"2. Reduce Raikou's damage taken from Electrify targets, paralyze/ stun targets to control the battle",404404,"2. 라이코는 감전 목표에게 입는 피해가 감소하며, 목표를 마비/스턴 시키고, 전장을 제어한다","3. Ampharos: Inflict a lot of 【Electrify 】, quickly recover teammates' Rage and increase the speed of team's releasing one-hit skills",3.添加大量【感電】，快速恢復隊友怒氣，加快隊伍整體釋放必殺技的節奏,"3. Ampharos: Inflict a lot of 【Electrify 】, quickly recover teammates' Rage and increase the speed of team's releasing one-hit skills",404404,"3. 전룡: [감전]을 대량 추가해, 빠르게 아군의 분노를 회복시키고, 팀 전체의 필살기 시전 주기를 단축 시킨다",4. Electivire attacks with stored electricity. A good Electric-type attacker,4.电击魔兽蓄电输出，电系输出能手,4. Electivire attacks with stored electricity. A good Electric-type attacker,404404,4. 에레키블은 축전 공격을 하는 뛰어난 전기 타입 딜러다,5. Magnezone: Explode itself to deal a great damage with Paralysis effect,5.自爆磁怪：自爆造成高額傷害並附帶麻痹效果,5. Magnezone: Explode itself to deal a great damage with Paralysis effect,404404,5. 자포코일: 자폭으로 대량의 피해를 입히고 마비 시킨다,6. Metagross: Protect Electric-type Pokemon. The best option for 4+2 aura,6.巨金怪：保護電系精靈，組合成4+2的光環中不二之選,6. Metagross: Protect Electric-type Pokemon. The best option for 4+2 aura,404404,"6. 메타그로스: 전기 타입 포켓몬을 보호하고, 4+2의 아우라를 합성 때 빠질 수 없는 선택이다"
7,Counter-attack,防守反擊,Counter-attack,PHÒNG THỦ PHẢN KÍCH,카운터 어택,9995,,Counter-attack,防守反擊,Counter-attack,PHÒNG THỦ PHẢN KÍCH,카운터 어택,city/card/battle_recommend/logo_bs4.png,3,,<1503;493;1253;1903;2723;1313>,Counter-attack,防守反擊,Counter-attack,PHÒNG THỦ PHẢN KÍCH,카운터 어택,<1;0;0;0;0;0>,Counterattack Team: Defense and store energy to attack,防守反擊陣容：防守抵禦，蓄力攻擊,Counterattack Team: Defense and store energy to attack,404404,"카운터 어택 라인업: 방어 저항, 차지 공격",Defense system,防禦機制,Defense system,404404,방어 매커니즘,"Death free, shield, taunt, blind, multiple defense methods",免死，護盾，挑釁，致盲，多樣防守手段,"Death free, shield, taunt, blind, multiple defense methods",404404,"무적, 실드, 도발, 실명, 다양한 방어 수단",1. Aggron provides a shield to all team to increase team's tank level,1.波士可朵拉提供全隊護盾，提升全體坦度,1. Aggron provides a shield to all team to increase team's tank level,404404,"1. 보스로라는 팀 전체에 실드를 제공하고, 전체의 탱커력을 상승시킨다",2. Rhyperior: It has a very high P.DEF,2.超甲狂犀：自身超高物防,2. Rhyperior: It has a very high P.DEF,404404,2. 거대코뿌리: 매우 높은 물리 방어,3. Tyranitar: Immortal and can resist damage. Kill target by counter when its HP is 0,3.班基拉斯：免死抵擋傷害，空血狀態下反殺目標,3. Tyranitar: Immortal and can resist damage. Kill target by counter when its HP is 0,404404,"3. 마기라스: 무적 상태가 되어 피해에 면역이 되고, 빈사 상태에서 목표를 처치한다",4. Metagross: Taunt targets (can attack Metagross with one-hit skills in Taunt state). Protect teammates. Store extra Rage to increase the damage of one-hit skills,4.巨金怪：挑釁目標（挑釁效果下目標可使用必殺技攻擊巨金怪），保護隊友，自身積累額外怒氣點提升大招輸出,4. Metagross: Taunt targets (can attack Metagross with one-hit skills in Taunt state). Protect teammates. Store extra Rage to increase the damage of one-hit skills,404404,"4. 메타그로스: 적을 도발하여(도발을 당한 목표는 필살기를 사용해 메타그로스를 처치할 수 있다), 아군을 보호하고, 자신은 추가 분노를 얻어 필살기의 대미지를 올린다","5. Krookodile: Attack an area. Attacks of targets in this area will miss ",5.流氓鱷：範圍攻擊，範圍目標攻擊落空,"5. Krookodile: Attack an area. Attacks of targets in this area will miss ",404404,5.악비아르: 범위 공격으로 범위 안의 목표의 공격를 허사시킨다,"6. Swampert: High Crit Res. It can dispel some debuffs. When its HP is low, it will get a higher damage immunity bonus",6.巨沼怪：抗暴能力強，自身附帶少量驅散低血狀態下超高免傷率加成,"6. Swampert: High Crit Res. It can dispel some debuffs. When its HP is low, it will get a higher damage immunity bonus",404404,"6.대짱이: 치명타 저항력이 높으며, 자신은 일부 디스펠 능력을 지녔으며, HP가 낮은 상태가 되면 피해 면역율이 대폭 증가한다"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
