变量名,"
  _comment
  ",weightList,cardWeightMap,specialWeightMap
默认值,,<>,<>,{}
ID,库类型（注释而已）,物品权重表,卡牌权重表,特殊权重表（比如关卡等）
1,"
  First draw library
  ",,<<{id=1351};100>>,
2,"
  Yusanjia Library
  ",,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=52};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=102};100>;<{id=131};100>;<{id=191};100>;<{id=231};100>;<{id=261};100>;<{id=271};100>;<{id=301};100>;<{id=391};100>;<{id=471};100>;<{id=481};100>;<{id=491};100>;<{id=591};100>;<{id=601};100>;<{id=781};100>;<{id=791};100>;<{id=881};100>;<{id=891};100>;<{id=1081};100>;<{id=1171};100>;<{id=1351};100>;<{id=1441};100>;<{id=1501};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2481};100>;<{id=2631};100>;<{id=2681};100>;<{id=2871};100>;<{id=2961};100>;<{id=3011};100>;<{id=3411};100>;<{id=3471};100>;<{id=3541};100>>,
,"
  Item Fill Library
  ",<<11;100;1>;<12;100;1>;<13;100;1>;<14;100;1>;<15;100;1>;<16;100;1>;<19;100;1>;<5000;100;1>;<5001;100;1>;<5002;100;1>;<5003;100;1>;<5004;100;1>;<5005;100;1>;<5007;100;1>;<5006;100;1>;<5008;100;1>;<451;100;1>;<452;100;1>;<502;100;1>;<1000;100;1>;<1001;100;1>;<1002;100;1>;<1003;100;1>;<1004;100;1>;<1005;100;1>;<1009;100;1>;<1008;100;1>;<1007;100;1>;<1006;100;1>;<1012;100;1>;<1011;100;1>;<1013;100;1>;<1101;100;1>;<1103;100;1>;<1102;100;1>;<2001;100;1>;<2002;100;1>;<2003;100;1>;<3001;100;1>;<3003;100;1>;<3005;100;1>;<3006;100;1>>,,
4,"
  Item Fill Library 2
  ",<<3011;100;1>;<3012;100;1>;<3013;100;1>;<3014;100;1>;<3015;100;1>;<3016;100;1>;<3017;100;1>;<3018;100;1>;<3019;100;1>;<3010;100;1>>,,
5,"
  Item Fill Library 3
  ",<<3021;100;1>;<3022;100;1>;<3023;100;1>;<3024;100;1>;<3025;100;1>;<3026;100;1>;<3027;100;1>;<3028;100;1>;<3029;100;1>;<3020;100;1>>,,
6,"
  21- Mechanical Evil Dragon
  Beast Soul Fragment Library
  ",<<20001;100;1>;<20011;100;1>;<20021;100;1>;<20031;100;1>;<20041;100;1>;<20051;100;1>;<20061;100;1>;<20071;100;1>>,,
7,"
  22- Mechanical Evil Dragon
  Beast Soul Box Regular Card Library
  ",,<<{id=11};100>;<{id=81};100>;<{id=131};100>>,
8,"
  28- Limited time drawing card
  item library
  ",<<3021;100;1>;<3022;100;1>;<3023;100;1>;<3024;100;1>;<3025;100;1>;<3026;100;1>;<3027;100;1>;<3028;100;1>;<3029;100;1>;<3020;100;1>>,,
