变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
默认值,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rmb1,The first single draw - the first draw of jewelry star props,3,1,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,rmb1,The first single draw - 40~50 times must get accessories awakening props,2,40,,,1,40,0.1,0.01,0.5,10,99999,{151=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11,rmb1,The first single draw - 50~60 times will give purple carrying props,2,30,,,1,50,0.1,0.03,0.5,10,99999,{162=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12,rmb1,Every ten consecutive draws - there must be accessories and star upgrade props,3,10,,,,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
13,rmb1,The first single draw - the first draw of jewelry star props,4,1,,,1,,,,,,,{150=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
14,rmb1,Regular single draw - base output,0,2,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rmb1,regular single draw,0,2,0,0,0,0,,,,,,{5001=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,rmb10,10 consecutive for the first time,0,1,0,0,1,0,,,,,,{5004=1;5001=9},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,rmb10,Regular 10 companies,0,2,0,0,0,0,,,,,,{5002=1;5001=9},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,rmb1,orange for the first time,4,30,0,0,0,0,,,,,,{5005=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,rmb10,Ten in a row - purple carrying props - follow-up with normal probability - 15 times,1,10,0.04,0.09,,19,,,,,,{150=1;162=1;152=4;153=1;154=2;160=1},100,{150=1;162=1;152=4;153=2;154=1;160=1},100,{150=1;162=1;152=5;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
52,rmb10,Ten in a row - purple carrying props - out about 18 times after the fourth,1,10,0.08,0.15,1,11,,,,,,{150=1;162=1;152=4;153=1;154=2;160=1},100,{150=1;162=1;152=4;153=2;154=1;160=1},100,{150=1;162=1;152=5;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
53,rmb10,Ten consecutive - out of purple carrying props - out about 9 times after the fourth time,1,10,0.2,0.3,1,5,,,,,,{150=1;162=1;152=4;153=1;154=2;160=1},100,{150=1;162=1;152=4;153=2;154=1;160=1},100,{150=1;162=1;152=5;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
54,rmb10,Ten companies - purple carrying props - the fourth must be out,1,10,1,1,1,4,,,,,,{150=1;162=1;152=4;153=1;154=2;160=1},100,{150=1;162=1;152=4;153=2;154=1;160=1},100,{150=1;162=1;152=5;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,rmb10,Ten in a row - Accessory Awakening Materials - Subsequent Normal Probability - 11 Times,1,10,0.06,0.12,,14,,,,,,{150=1;151=1;152=4;153=1;154=2;160=1},100,{150=1;151=1;152=4;153=2;154=1;160=1},100,{150=1;151=1;152=5;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
62,rmb10,Ten companies - Awakening materials for accessories - about 14 times after the fourth time,1,10,0.1,0.2,1,7,,,,,,{150=1;151=1;152=4;153=1;154=2;160=1},100,{150=1;151=1;152=4;153=2;154=1;160=1},100,{150=1;151=1;152=5;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
63,rmb10,Ten companies - Awakening materials for accessories - about 5 times after the third time,1,10,0.2,0.3,1,3,,,,,,{150=1;151=1;152=4;153=1;154=2;160=1},100,{150=1;151=1;152=4;153=2;154=1;160=1},100,{150=1;151=1;152=5;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
64,rmb10,Ten companies - out of accessories awakening materials - the second must be out,1,10,1,1,1,2,,,,,,{150=1;151=1;152=4;153=1;154=2;160=1},100,{150=1;151=1;152=4;153=2;154=1;160=1},100,{150=1;151=1;152=5;153=1;154=1;160=1},100,,0,,0,,0,,0,,0,,0,,0
