变量名,boss,boss2,boss501,boss502,boss503,boss504,boss505,boss506,boss601,mineboss1,mineboss2,mineboss3
默认值,2,2,1,1,1,1,1,1,1,1,1,1
角色等级,boss场景修正,boss场景修正,boss场景修正,boss场景修正,boss场景修正,boss场景修正,boss场景修正,boss场景修正,boss场景修正,boss场景修正,boss场景修正,boss场景修正
1,4,5,4,4,4,5,6,7,6,4,5,6
2,8,10,8,8,8,10,12,14,12,8,10,12
3,12,15,12,12,12,15,17,20,17,12,14,17
4,16,20,16,16,16,20,23,26,23,16,19,23
5,20,25,20,20,20,25,29,33,29,20,24,29
6,24,30,24,24,24,30,35,40,35,24,29,35
7,28,35,28,28,28,35,40,46,40,28,34,41
8,32,40,32,32,32,40,46,53,46,32,38,46
9,36,45,36,36,36,45,52,60,52,36,43,52
10,40,50,40,40,40,50,58,67,58,40,48,58
11,44,55,44,44,44,55,63,72,63,44,53,64
12,48,60,48,48,48,60,69,79,69,48,58,70
13,52,65,52,52,52,65,75,86,75,52,62,74
14,56,70,56,56,56,70,81,93,81,56,67,80
15,60,75,60,60,60,75,86,99,86,60,72,86
16,64,80,64,64,64,80,92,106,92,64,77,92
17,68,85,68,68,68,85,98,113,98,68,82,98
18,72,90,72,72,72,90,104,120,104,72,86,103
19,76,95,76,76,76,95,109,125,109,76,91,109
20,80,100,80,80,80,100,115,132,115,80,96,115
21,84,105,84,84,84,105,121,139,121,84,101,121
22,88,110,88,88,88,110,127,146,127,88,106,127
23,92,115,92,92,92,115,132,152,132,92,110,132
24,96,120,96,96,96,120,138,159,138,96,115,138
25,100,125,100,100,100,125,144,166,144,100,120,144
26,104,130,104,104,104,130,150,173,150,104,125,150
27,108,135,108,108,108,135,155,178,155,108,130,156
28,112,140,112,112,112,140,161,185,161,112,134,161
29,116,145,116,116,116,145,167,192,167,116,139,167
30,120,150,120,120,120,150,173,199,173,120,144,173
31,124,155,124,124,124,155,178,205,178,124,149,179
32,128,160,128,128,128,160,184,212,184,128,154,185
33,132,165,132,132,132,165,190,219,190,132,158,190
34,136,170,136,136,136,170,196,225,196,136,163,196
35,140,175,140,140,140,175,201,231,201,140,168,202
36,144,180,144,144,144,180,207,238,207,144,173,208
37,148,185,148,148,148,185,213,245,213,148,178,214
38,152,190,152,152,152,190,219,252,219,152,182,218
39,156,195,156,156,156,195,224,258,224,156,187,224
40,160,200,160,160,160,200,230,265,230,160,192,230
41,164,205,164,164,164,205,236,271,236,164,197,236
42,168,210,168,168,168,210,242,278,242,168,202,242
43,172,215,172,172,172,215,247,284,247,172,206,247
44,176,220,176,176,176,220,253,291,253,176,211,253
45,180,225,180,180,180,225,259,298,259,180,216,259
46,184,230,184,184,184,230,265,305,265,184,221,265
47,188,235,188,188,188,235,270,311,270,188,226,271
48,192,240,192,192,192,240,276,317,276,192,230,276
49,196,245,196,196,196,245,282,324,282,196,235,282
50,200,250,200,200,200,250,288,331,288,200,240,288
51,204,255,204,204,204,255,293,337,293,204,245,294
52,208,260,208,208,208,260,299,344,299,208,250,300
53,212,265,212,212,212,265,305,351,305,212,254,305
54,216,270,216,216,216,270,311,358,311,216,259,311
55,220,275,220,220,220,275,316,363,316,220,264,317
56,224,280,224,224,224,280,322,370,322,224,269,323
57,228,285,228,228,228,285,328,377,328,228,274,329
58,232,290,232,232,232,290,334,384,334,232,278,334
59,236,295,236,236,236,295,339,390,339,236,283,340
60,240,300,240,240,240,300,345,397,345,240,288,346
61,244,305,244,244,244,305,351,404,351,244,293,352
62,248,310,248,248,248,310,357,411,357,248,298,358
