变量名,needRank,award,cost
默认值,,{},{}
ID,需要名次,排位奖励,消耗
1,1,{rmb=2000;6051=1},
2,3,{rmb=1500;gold=100000},
3,6,{rmb=1200;6052=1},
4,10,{rmb=1000;gold=80000},
5,30,{rmb=1000;501=1},
6,50,{rmb=1000;gold=45000},
7,70,{rmb=1000;gold=42500},
8,100,{rmb=1000;501=1},
9,200,{rmb=1000;gold=37500},
10,300,{rmb=1000;gold=35000},
11,400,{rmb=1000;501=1},
12,600,{rmb=1000;941=1},
13,800,{rmb=1000;gold=25000},
14,1000,{rmb=1000;503=1},
15,1500,{rmb=800;gold=18000},
16,2000,{rmb=800;gold=18000},
17,3000,{rmb=800;503=1},
18,4000,{rmb=600;gold=16000},
19,6000,{rmb=600;gold=12000},
20,8000,{rmb=600;gold=12000},
21,10000,{rmb=600;gold=10000},
22,12000,{rmb=500;gold=8000},
23,16000,{rmb=500;gold=6000},
24,20000,{rmb=500;gold=6000},
25,30000,{rmb=500;gold=5000},
