变量名,_beizhu,card,costCards,costItems,condition
默认值,,<>,{},{},<>
ID,备注,本体精灵<cardID;星级>,材料精灵<type;value;星级;数量>1=稀有度 2=markID,消耗材料,超进化条件(1=角色等级 2=卡牌等级)
10,Super Frog Flower,<3;12>,,{3030=150;3101=120;501=20;502=100;gold=10000000},<1;70>
111,Super Charizard X,<13;12>,,{3030=150;3102=120;501=20;502=100;gold=10000000},<1;70>
112,Super Charizard Y,<13;12>,,{3030=150;3103=120;501=20;502=100;gold=10000000},<1;70>
210,Super Blastoise,<23;12>,,{3030=150;3104=120;501=20;502=100;gold=10000000},<1;70>
410,super needle bee,<41;12>,,{3029=180;3105=150;501=5;502=20;gold=5000000},<1;70>
23010,super blizzard king,<2302;12>,,{3030=150;3106=120;501=20;502=100;gold=10000000},<1;70>
3910,Super Gengar,<393;12>,,{3030=60;3107=40;501=10;502=50;gold=5000000},<1;70>
2610,Super Hudi,<263;12>,,{3030=60;3108=40;501=10;502=50;gold=5000000},<1;70>
8810,super electric dragon,<883;12>,,{3030=60;3109=40;501=10;502=50;gold=5000000},<1;70>
19810,Super Rift Seat,<1981;11>,,{3031=100;3110=80;521=200;501=50;gold=60000000},<1;70>
19010,super golden monster,<1903;12>,,{3030=60;3111=40;501=10;502=50;gold=5000000},<1;70>
13110,super marsh monster,<1313;12>,,{3030=60;3112=40;501=10;502=50;gold=5000000},<1;70>
5710,Super Claw Mantis,<572;12>,,{3030=60;3113=40;501=10;502=50;gold=5000000},<1;70>
13910,Super Xanadus,<1393;12>,,{3030=60;3114=40;501=10;502=50;gold=5000000},<1;70>
,Super Already,<1394;12>,,{3030=60;3115=40;501=10;502=50;gold=5000000},<1;70>
15010,Super Boss Cordora,<1503;12>,,{3030=60;3116=40;501=10;502=50;gold=5000000},<1;70>
19710,Original Gulardo,<1971;11>,,{3031=100;3117=80;521=200;501=50;gold=60000000},<1;70>
