变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr
默认值,,,,,
ID,格式字符串,格式字串,格式字符串,格式字符串_越南,格式字符串_韩
1,HP:|One of the Pokémon's base stats,生命：|精靈的基本屬性之一,HP:|One of the Pokémon's base stats,Sinh mệnh: | Tinh linh cơ bản thuộc tính một trong,HP: |포켓몬의 기본 속성 중 하나
2,P.DEF:|One of the Pokémon's base stats,物攻：|精靈的基本屬性之一,P.DEF:|One of the Pokémon's base stats,Vật công: | Tinh linh cơ bản thuộc tính một trong,물리 공격: |포켓몬의 기본 속성 중 하나
3,SP.ATK:|One of the Pokémon's base stats,特攻：|精靈的基本屬性之一,SP.ATK:|One of the Pokémon's base stats,Đặc công: | Tinh linh cơ bản thuộc tính một trong,특수 공격: |포켓몬의 기본 속성 중 하나
4,P.DEF:|One of the Pokémon's base stats,物防：|精靈的基本屬性之一,P.DEF:|One of the Pokémon's base stats,Vật phòng: | Tinh linh cơ bản thuộc tính một trong,물리 방어: |포켓몬의 기본 속성 중 하나
5,SP.DEF:|One of the Pokémon's base stats,特防：|精靈的基本屬性之一,SP.DEF:|One of the Pokémon's base stats,Đặc biệt phòng: | Tinh linh cơ bản thuộc tính một trong,특수 방어: |포켓몬의 기본 속성 중 하나
6,Speed:|One of the Pokémon's base stats that affects the order of attack,速度：|精靈的基本屬性之一，影響攻擊順序,Speed:|One of the Pokémon's base stats that affects the order of attack,"Tốc độ: | Tinh linh cơ bản thuộc tính một trong, ảnh hưởng công kích trình tự","""스피드: |포켓몬의 기본 속성 중 하나, 공격 순서에 영향을 준다."""
7,"Rage:|Rage is capped at 1000 points, and affects Pokémons releasing the ultimate move.",怒氣：|怒氣上限1000點，影響精靈釋放必殺技,"Rage:|Rage is capped at 1000 points, and affects Pokémons releasing the ultimate move.",,"""분노: |분노 최대치 1000, 포켓몬이 발동하는 필살기에 영향을 준다."""
8,Rage recovery: | Affects the speed of the Pokémon rage recovery,怒氣恢復速度：|影響精靈的回怒快慢,Rage recovery: | Affects the speed of the Pokémon rage recovery,,분노 회복 속도: |포켓몬의 분노 회복 속도에 영향을 준다.
9,Critical hit rate:|Triggers chances of dealing critical hit,暴擊率：|觸發暴擊的概率,Critical hit rate:|Triggers chances of dealing critical hit,Tỉ lệ bạo kích: | Phát động bạo kích xác suất,치명타율: |치명타를 발동하는 확률
10,Critical hit damage:|Additional damage when dealing a critical hit,暴擊傷害：|暴擊時暴擊傷害的加成,Critical hit damage:|Additional damage when dealing a critical hit,Bạo kích tổn thương: | Bạo kích lúc bạo kích tổn thương tăng thêm,치명타 피해: |치명타 시 치명타 피해가 증가한다.
11,Critical hit resistance:|Reduces the chances of enemies dealing a critical hit,暴擊抗性：|降低被敵人觸發暴擊的概率,Critical hit resistance:|Reduces the chances of enemies dealing a critical hit,Bạo kích kháng tính: | Giảm xuống bị địch nhân phát động bạo kích xác suất,치명타 내성: |적에게 받는 치명타 확률이 감소한다.
12,Resistance rate: | Chance of resistance,抵禦率：|觸發抵禦的概率,Resistance rate: | Chance of resistance,Chống cự suất: | Phát động chống cự xác suất,저항률: |저항 유발 확률
13,Armor penetration rate: |Reduces the chance of opponent's resistance to damage,破抵禦率：|降低被敵人觸發抵禦的概率,Armor penetration rate: |Reduces the chance of opponent's resistance to damage,Phá chống cự suất: | Giảm xuống bị địch nhân phát động chống cự xác suất,저항 무시율: |적이 저항을 발동하는 확률이 감소한다.
14,Damage bonus:|Affects the Pokémon's attack damage,傷害加成：|影響精靈的攻擊傷害效果,Damage bonus:|Affects the Pokémon's attack damage,Tổn thương tăng thêm: | Ảnh hưởng tinh linh công kích tổn thương hiệu quả,피해 보너스: |포켓몬이 공격 피해 효과에 영향을 준다.
15,Damage reduction:|Reduces damage from enemy attacks,傷害減免：|減免受到敵人攻擊的傷害效果,Damage reduction:|Reduces damage from enemy attacks,Giảm tổn thương: | Giảm miễn nhận địch nhân công kích tổn thương hiệu quả,피해 감소: |적에게 받는 피해 효과가 감소한다.
16,Knockout damage bonus:|Affects the damage of the Pokémon's knockout move,必殺傷害加成：|影響精靈的必殺技傷害效果,Knockout damage bonus:|Affects the damage of the Pokémon's knockout move,,필살기 피해 보너스: |포켓몬의 필살기 피해 효과에 영향을 준다.
17,Knockout Damage Resistance:| Reduces damage from enemy's knockout move,必殺傷害抗性：|減免受到敵人必殺技的傷害效果,Knockout Damage Resistance:| Reduces damage from enemy's knockout move,,필사기 피해 저항: |적에게 받는 필살기 피해 효과가 감소한다.
18,Healing bonus:|Affects healing effect of Pokémons,治療率：|影響精靈技能治療效果,Healing bonus:|Affects healing effect of Pokémons,,치료율: |포켓몬 스킬의 치료 효과에 영향을 준다.
19,Control rate:|Rate of dealing status condition,控制率：|觸發控制效果的概率,Control rate:|Rate of dealing status condition,Khống Chế: |Cơ hội kích hoạt hiệu quả khống chế,제어율: |제어 효과의 확률을 발동한다.
20,Rate of immunity towards status conditions:|Reduces rate of being in status condition,免控率：|降低被控制的概率,Rate of immunity towards status conditions:|Reduces rate of being in status condition,Miễn Khống: |Cơ hội giảm bị khống chế,제어 면역률: |제어당할 확률이 감소한다.
21,PVP damage bonus:|Affects damage bonus in Pokémons in PVP battle modes,PVP傷害加成：|影響精靈在PVP戰鬥場景中傷害加成,PVP damage bonus:|Affects damage bonus in Pokémons in PVP battle modes,Tăng Thương PVP: |Ảnh hưởng tăng thương của Pokémon trong MAP chiến đấu PVP,PVP 피해 보너스: |포켓몬이 PVP 전투에서의 피해 보너스에 영향을 준다.
22,PVP damage reduction:|Affects damage reduction in Pokémons in PVP battle modes,PVP傷害減免：|影響精靈在PVP戰鬥場景中傷害減免,PVP damage reduction:|Affects damage reduction in Pokémons in PVP battle modes,Giảm Thương PVP: |Ảnh hưởng giảm thương của Pokémon trong MAP chiến đấu PVP,PVP 피해 감소율: |포켓몬이 PVP 전투에서의 피해 감소에 영향을 준다.
23,P.DEF Ignore: |Ratio of ignoring P.DEF of target,物防忽視：|忽視受擊目標物防的比例,P.DEF Ignore: |Ratio of ignoring P.DEF of target,,물리 방어 무시: |공격받은 상대의 물리 방어력을 무시하는 비율
24,SP.DEF Ignore: |Ratio of ignoring SP.DEF of target,特防忽視：|忽視受擊目標特防的比例,SP.DEF Ignore: |Ratio of ignoring SP.DEF of target,,특수 방어 무시: |공격받은 상대의 특수 방어력을 무시하는 비율
25,P.ATK Bonus: |Affect P.ATK of Pokémon,物傷加成：|影響精靈的物理攻擊傷害效果,P.ATK Bonus: |Affect P.ATK of Pokémon,,물리 피해 보너스: |포켓몬의 물리 공격 효과에 영향을 준다.
26,SP.ATK Bonus: |Affect SP.ATK of Pokémon,特傷加成：|影響精靈的特殊攻擊傷害效果,SP.ATK Bonus: |Affect SP.ATK of Pokémon,,특수 피해 보너스: |포켓몬의 특수 공격 효과에 영향을 준다.
27,P.ATK Reduction: |Reduce the DMG taken from enemy's P.ATK,物傷減免：|減免受到敵人物理攻擊的傷害效果,P.ATK Reduction: |Reduce the DMG taken from enemy's P.ATK,,물리 피해 감소: |적의 물리 공격의 피해 효과를 감소 시킨다.
28,SP.ATK Reduction: |Reduce the DMG taken from enemy's SP.ATK,特傷減免：|減免受到敵人特殊攻擊的傷害效果,SP.ATK Reduction: |Reduce the DMG taken from enemy's SP.ATK,,특수 피해 감소: |적의 특수 공격의 피해 효과를 감소 시킨다.
29,Leech Rate: |Ratio of Skill DMG converted to self HP,吸血率：|技能傷害轉化自身血量的比例,Leech Rate: |Ratio of Skill DMG converted to self HP,,흡혈률: |스킬 피해가 자신의 HP 비율로 전환된다.
30,Reflection Rate: |Ratio of reflecting DMG taken,反彈率：|反彈自身受到技能傷害的比例,Reflection Rate: |Ratio of reflecting DMG taken,,반사율: |자신이 받는 스킬 피해의 비율을 반사한다.
,,,,,
,,,,,
,,,,,
101,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#【戰鬥規則】,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#[ Chiến đấu quy tắc ],#C0xF76B45##L10#[전투 규칙]
102,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#【獎勵規則】,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#[ Ban thưởng quy tắc ],#C0xF76B45##L10#[보상 규칙]
103,#C0xF76B45##L10#[Rank Rewards Preview],#C0xF76B45##L10#【排名獎勵預覽】,#C0xF76B45##L10#[Rank Rewards Preview],#C0xF76B45##L10#[ Xếp hạng ban thưởng dự lãm ],#C0xF76B45##L10#[순위 보상 미리보기]
104,#C0xF76B45##L10#[union Red Packet],#C0xF76B45##L10#【公會紅包】,#C0xF76B45##L10#[union Red Packet],,#C0xF76B45##L10#[길드 보너스]
105,#C0xF76B45##L10#[Member Red Packet],#C0xF76B45##L10#【會員紅包】,#C0xF76B45##L10#[Member Red Packet],,#C0xF76B45##L10#[회원 보너스]
106,#C0xF76B45##L10#[Combat Power Ranking Rules],#C0xF76B45##L10#【戰力排行規則】,#C0xF76B45##L10#[Combat Power Ranking Rules],,#C0xF76B45##L10#[전투력 순위 규칙]
107,#C0xF76B45##L10#[Talent Points],#C0xF76B45##L10#【天賦點】,#C0xF76B45##L10#[Talent Points],#C0xF76B45##L10#[ Điểm thiên phú ],#C0xF76B45##L10#[특성포인트]
108,#C0xF76B45##L10#[How to Play],#C0xF76B45##L10#【玩法規則】,#C0xF76B45##L10#[How to Play],#C0xF76B45##L10#[ Cách chơi quy tắc ],#C0xF76B45##L10#[시스템 규칙]
109,#C0xF76B45##L10#[Friendship Level Rules],#C0xF76B45##L10#【好感度規則】,#C0xF76B45##L10#[Friendship Level Rules],,#C0xF76B45##L10#[호감도 규칙]
110,#C0xF76B45##L10#[Aether Paradise],#C0xF76B45##L10#【以太樂園】,#C0xF76B45##L10#[Aether Paradise],,#C0xF76B45##L10#[에테르파라다이스]
111,#C0xF76B45##L10#[Element Challenge],#C0xF76B45##L10#【元素挑戰】,#C0xF76B45##L10#[Element Challenge],,#C0xF76B45##L10#[엘리멘탈 챌린지]
112,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙]
113,#C0xF76B45##L10#[Qualifiers],#C0xF76B45##L10#【預選賽】,#C0xF76B45##L10#[Qualifiers],,#C0xF76B45##L10#[예선전]
114,#C0xF76B45##L10#[Top 8 Match],#C0xF76B45##L10#【八強賽】,#C0xF76B45##L10#[Top 8 Match],,#C0xF76B45##L10#[8강전]
115,#C0xF76B45##L10#[Reward],#C0xF76B45##L10#【獎勵】,#C0xF76B45##L10#[Reward],#C0xF76B45##L10#[ Ban thưởng ],#C0xF76B45##L10#[보상]
116,#C0xF76B45##L10#[About Passes],#C0xF76B45##L10#【通行證玩法】,#C0xF76B45##L10#[About Passes],,#C0xF76B45##L10#[패스 방법]
117,#C0xF76B45##L10#[How to Play],#C0xF76B45##L10#【玩法規則】,#C0xF76B45##L10#[How to Play],#C0xF76B45##L10#[ Cách chơi quy tắc ],#C0xF76B45##L10#[시스템 규칙]
118,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#【獎勵規則】,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#[ Ban thưởng quy tắc ],#C0xF76B45##L10#[보상 규칙]
119,#C0xF76B45##L10#[Privilege Coin],#C0xF76B45##L10#【特權幣】,#C0xF76B45##L10#[Privilege Coin],,#C0xF76B45##L10#[특권 코인]
120,#C0xF76B45##L10#[Explorer Device],#C0xF76B45##L10#【探險器】,#C0xF76B45##L10#[Explorer Device],,#C0xF76B45##L10#[탐지기]
121,#C0xF76B45##L10#[Active Points Treasure Hunt],#C0xF76B45##L10#【活躍奪寶】,#C0xF76B45##L10#[Active Points Treasure Hunt],,#C0xF76B45##L10#[활약 보물]
122,#C0xF76B45##L10#[Lucky Wheel],#C0xF76B45##L10#【幸運轉轉樂】,#C0xF76B45##L10#[Lucky Wheel],,#C0xF76B45##L10#[행운의 룰렛]
123,#C0xF76B45##L10#[Gashapon Machine],#C0xF76B45##L10#【扭蛋機】,#C0xF76B45##L10#[Gashapon Machine],,#C0xF76B45##L10#[뽑기 기계]
124,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙]
125,#C0xF76B45##L10#[Tournament Period],#C0xF76B45##L10#【比賽時間】,#C0xF76B45##L10#[Tournament Period],#C0xF76B45##L10#[Thời Gian Thi Đấu],#C0xF76B45##L10#[경기 시간]
126,#C0xF76B45##L10#[Qualifiers],#C0xF76B45##L10#【預選賽】,#C0xF76B45##L10#[Qualifiers],,#C0xF76B45##L10#[예선전]
127,#C0xF76B45##L10#[Promotional Match],#C0xF76B45##L10#【晉級賽】,#C0xF76B45##L10#[Promotional Match],#C0xF76B45##L10#[Vòng Tăng Cấp],#C0xF76B45##L10#[승급전]
128,#C0xF76B45##L10#[Finals],#C0xF76B45##L10#【決賽】,#C0xF76B45##L10#[Finals],#C0xF76B45##L10#[Chung Kết],#C0xF76B45##L10#[결승전]
129,#C0xF76B45##L10#[Battle Star],#C0xF76B45##L10#【戰鬥之星】,#C0xF76B45##L10#[Battle Star],#C0xF76B45##L10#[Sao Chiến Đấu],#C0xF76B45##L10#[배틀 스타]
130,#C0xF76B45##L10#[Change in Pokémon abilities],#C0xF76B45##L10#【精靈能力變化】,#C0xF76B45##L10#[Change in Pokémon abilities],#C0xF76B45##L10#[Thay Đổi Năng Lực Pokémon],#C0xF76B45##L10#[포켓몬 능력 변화]
131,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#【獎勵規則】,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#[ Ban thưởng quy tắc ],#C0xF76B45##L10#[보상 규칙]
132,#C0xF76B45##L10#[Guild Final Match Rank Rewards],#C0xF76B45##L10#【決賽公會排名獎勵】,#C0xF76B45##L10#[Guild Final Match Rank Rewards],#C0xF76B45##L10#[Thưởng Xếp Hạng Guilc Chung Kết],#C0xF76B45##L10#[결승전 길드 순위 보상]
133,#C0xF76B45##L10#[Guild Qualifiying Match Rank Rewards],#C0xF76B45##L10#【預選賽公會排名獎勵】,#C0xF76B45##L10#[Guild Qualifiying Match Rank Rewards],#C0xF76B45##L10#[Thưởng Xếp Hạng Guild Vòng Loại],#C0xF76B45##L10#[예선전 길드 순위 보상]
134,#C0xF76B45##L10#[Guild Final Match Rank Rewards],#C0xF76B45##L10#【決賽公會排名獎勵】,#C0xF76B45##L10#[Guild Final Match Rank Rewards],#C0xF76B45##L10#[Thưởng Xếp Hạng Guilc Chung Kết],#C0xF76B45##L10#[결승전 길드 순위 보상]
135,#C0xF76B45##L10#[Damage Rank Rewards],#C0xF76B45##L10#【傷害排名獎勵】,#C0xF76B45##L10#[Damage Rank Rewards],#C0xF76B45##L10#[Thưởng Xếp Hạng Sát Thương],#C0xF76B45##L10#[피해 순위 보상]
136,#C0xF76B45##L10#[Pro Battle],#C0xF76B45##L10#【巔峰賽】,#C0xF76B45##L10#[Pro Battle],#C0xF76B45##L10#[Vòng Đỉnh Cao],#C0xF76B45##L10#[정상전]
137,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#【戰鬥規則】,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#[ Chiến đấu quy tắc ],#C0xF76B45##L10#[전투 규칙]
138,#C0xF76B45##L10#[Qualifiers Guessing Game],#C0xF76B45##L10#【預選賽競猜】,#C0xF76B45##L10#[Qualifiers Guessing Game],#C0xF76B45##L10#[Dự Đoán Vòng Loại],#C0xF76B45##L10#[예선전 베팅]
139,#C0xF76B45##L10#[Quarterfinals Match Guessing Game],#C0xF76B45##L10#【4強賽競猜】,#C0xF76B45##L10#[Quarterfinals Match Guessing Game],#C0xF76B45##L10#[Dự Đoán Vòng TOP4],#C0xF76B45##L10#[4강전 베팅]
140,#C0xF76B45##L10#[Championship Guessing Game],#C0xF76B45##L10#【冠軍賽競猜】,#C0xF76B45##L10#[Championship Guessing Game],#C0xF76B45##L10#[Dự Đoán Vòng Quán Quân],#C0xF76B45##L10#[결승전 베팅]
141,#C0xF76B45##L10#[Betting Rules],#C0xF76B45##L10#【押註規則】,#C0xF76B45##L10#[Betting Rules],#C0xF76B45##L10#[Quy Tắc Đặt Cược],#C0xF76B45##L10#[베팅 규칙]
142,#C0xF76B45##L10#[Guild Rules],#C0xF76B45##L10#【公會規則】,#C0xF76B45##L10#[Guild Rules],,#C0xF76B45##L10#[길드 규칙]
143,#C0xF76B45##L10#[World Boss],#C0xF76B45##L10#【世界BOSS】,#C0xF76B45##L10#[World Boss],,#C0xF76B45##L10#[월드보스]
144,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙]
