"﻿变量名",weatherType,name,name_tw,name_en,name_vn,name_kr,iconRes,describe,describe_tw,describe_en,describe_vn,describe_kr,effectRes,lifeRound,overlay,targetArgs,regEffect,buffId,buffValueGroup
默认值,,,,,,,,,,,,,,,,,,,
ID,天气类型(对应不同的天气类型,天气名字,天气名字,天气名字,天气名字_越南,天气名字_韩,天气icon资源路径,天气介绍,天气介绍,天气介绍,天气介绍_越南,天气介绍_韩,天气特效资源路径,初始持续回合,覆盖层级(1-99数值小的覆盖数值大的，同一优先级的后触发的天气覆盖之前存在的天气),效果目标参会数（预留）,固定效果效果组（预留）<{百分比值要加 百分号};{固定值直接填}>,"天气buffID组<<>;<>>  ",天气组buff效果参数组每一组必须有三个参数<<{};{}>;<{}>> {buffProb=1;buffLifeRound=4;buffValue=-target:hpMax()*0.2}
1,1,Rainy,雨天,Rainy,404404,비 오는 날,battle/weather_icon/icon_rain.png,"Weather becomes clear: Damage of fire-type moves increases, while water-type decreases",水系精靈速度提升；火系精靈傷害降低\n每個大回合結束時驅散全體精靈一部分負面效果,"Weather becomes clear: Damage of fire-type moves increases, while water-type decreases",404404,404404,weather/xiayu.skel,4,99,,<{skillPower=10%};{skillPower=-10%}>,,
2,2,Thunder,雷雨,Thunder,404404,뇌우,battle/weather_icon/icon_thunderstorm.png,"Damage of water-type moves increases, while fire-type moves decreases",電系技能傷害提升\n每個大回合結束時降下落雷砸向場上隨機一個目標，造成大量傷害（電系精靈有幾率吸收該傷害），非電系精靈有幾率被【麻痹】,"Damage of water-type moves increases, while fire-type moves decreases",404404,404404,weather/leiyu.skel,4,99,,<{skillPower=10%};{skillPower=-10%}>,,
3,3,Snow,雪天,Snow,404404,눈 오는 날,battle/weather_icon/icon_snow.png,"Deals damage to all Pokémons on the battlefield at the beginning of each main rounds, except for Ice-type Pokémons",冰系精靈雙防提升\n所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】,"Deals damage to all Pokémons on the battlefield at the beginning of each main rounds, except for Ice-type Pokémons",404404,404404,weather/xuehua.skel,4,99,,,<<990001>>,<<{buffProb=1;buffLifeRound=4;buffValue=-target:hpMax()*0.1}>>
4,4,Sand,沙暴,Sand,404404,모래 폭풍,battle/weather_icon/icon_sandstorm.png,"Pokémons besides the Rock, Ground, and Steel-type will receive continuous damage; the SP.DEF of Rock-type Pokémons also increases",岩石系精靈物防提升\n所有非地面和岩石精靈每個大回合結束時有幾率被【致盲】,"Pokémons besides the Rock, Ground, and Steel-type will receive continuous damage; the SP.DEF of Rock-type Pokémons also increases",404404,404404,weather/shachen.skel,4,99,,,<<990002>;<990003>>,<<{buffProb=1;buffLifeRound=4;buffValue=-target:hpMax()*0.15}>;<{buffProb=1;buffLifeRound=4;buffValue=target:specialDefence()*0.45}>>
5,5,Storm,亂流,Storm,404404,난류,battle/weather_icon/icon_turbulence.png,"Weather becomes clear: Damage of fire-type moves increases, while water-type decreases",飛行系精靈速度提升\n每個大回合結束每個精靈有幾率被【吹飛】，非飛行系精靈落地時會損失一定生命值,"Weather becomes clear: Damage of fire-type moves increases, while water-type decreases",404404,404404,weather/luanliu.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
6,6,Sunny,大日照,Sunny,404404,대일조,battle/weather_icon/icon_sun.png,"Damage of water-type moves increases, while fire-type moves decreases",火系精靈傷害提升；水系精靈傷害降低\n全體獲得【太陽之力】（每回合損失一定生命，傷害提升，可疊加）,"Damage of water-type moves increases, while fire-type moves decreases",404404,404404,weather/darizhao.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
7,7,Fog,濃霧,Fog,404404,안개,battle/weather_icon/icon_fog.png,"Deals damage to all Pokémons on the battlefield at the beginning of each main rounds, except for Ice-type Pokémons",全體降低一定命中率,"Deals damage to all Pokémons on the battlefield at the beginning of each main rounds, except for Ice-type Pokémons",404404,404404,weather/nongwu.skel,10,99,,,<<990001>>,<<{buffProb=1;buffLifeRound=10;buffValue=-target:hpMax()*0.1}>>
8,8,Night,黑夜,Night,404404,어두운 밤,battle/weather_icon/icon_nightmoon.png,"Pokémons besides the Rock, Ground, and Steel-type will receive continuous damage; the SP.DEF of Rock-type Pokémons also increases",非幽靈系精靈傷害降低,"Pokémons besides the Rock, Ground, and Steel-type will receive continuous damage; the SP.DEF of Rock-type Pokémons also increases",404404,404404,weather/yewan.skel,10,99,,,<<990002>;<990003>>,<<{buffProb=1;buffLifeRound=10;buffValue=-target:hpMax()*0.15}>;<{buffProb=1;buffLifeRound=10;buffValue=target:specialDefence()*0.45}>>
9,9,Night,黑夜,Night,404404,어두운 밤,battle/weather_icon/icon_nightmoon.png,"Pokémons besides the Rock, Ground, and Steel-type will receive continuous damage; the SP.DEF of Rock-type Pokémons also increases",非幽靈系精靈傷害降低,"Pokémons besides the Rock, Ground, and Steel-type will receive continuous damage; the SP.DEF of Rock-type Pokémons also increases",404404,404404,weather/yewan.skel,10,99,,,<<990002>;<990003>>,<<{buffProb=1;buffLifeRound=10;buffValue=-target:hpMax()*0.15}>;<{buffProb=1;buffLifeRound=10;buffValue=target:specialDefence()*0.45}>>
