变量名,name,name_tw,name_en,name_vn,name_kr,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage
默认值,宠物,宠物,宠物,宠物,宠物,,1,1,,FALSE,<>,{x=250;y=300},1000,0,,0,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1,{x=0;y=0},koudai_pikaqiu/pikaqiu.skel,,config/big_hero/standby/img_791_sejla@.png,1.4,{x=100;y=0},<>,<>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},1,<>,0,2,1,1,2,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
ID,角色名,角色名,角色名,角色名_越南,角色名_韩,属性类型,修正稀有度,自然属性,第二自然属性,双属性标记,战斗内标记,点击区域,BOSS索引卡牌信息,boss血条数,卡牌/怪物卡牌ID,星级,攻击序列头像,精灵头像,精灵半身图,简化图标,精灵背包卡牌立绘,卡牌立绘缩放,卡牌立绘偏移,资源,皮肤,精灵待机立绘资源,技能半身像截取缩放,技能半身像位置偏移,被动类技能序列,技能序列,合体技目标,合体技技能,各个位置点,血条缩放,ui层特效,击杀mp1恢复,缩放,战斗中缩放修正,修正模式1调整且修正偏移2对技能缩放不影响,养成界面缩放,缩放,皮肤动画缩放,出生时间,复活时间,死亡动画播放时间,死亡音效,单位战斗力,触发buffId,buff持续回合,buff成功率,buff生效等级,buff效果参数1,血量成长,速度成长,攻击力成长,特殊攻击力成长,防御力成长,特殊防御力成长,血量基础加成,速度基础加成,物理伤害基础加成,物理防御基础加成,特殊攻击基础加成,特殊防御基础加成,HP修正,MP1修正,initMp1修正,HP回复修正,MP1回复修正,MP2回复修正,物理攻击修正,特殊攻击修正,物理防御力修正,特殊防御力修正,物理防御忽视修正,特殊防御忽视修正,先手值修正,会心一击修正,会心一击伤害修正,会心一击抗性修正,格挡等级修正,破格挡等级修正,格挡强度修正,闪避修正,命中修正,伤害闪避修正,伤害命中修正,伤害加成修正,伤害减免修正,必杀加成修正,必杀抗性修正,伤害加深,伤害降低,吸血修正,反弹修正,治疗效果修正,属性克制修正,控制率,免控率,效果限制ID,召唤物参与伤害计算
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_hero/standby/img_370_axy@.png,,,,,,,,,,,,,,,,,,,,,,,,,,,52.16,1.071,9.532,10.653,3.788,4.109,1.39,1.19,1.19,1.18,1.33,1.28,2233,1000,400,,,,241,398,103,150,0,0,36,0,15000,0,0,0,3000,0,10000,0,10000,0,0,0,0,,,0,0,,,,,,
1,Bulbasaur,妙蛙種子,Bulbasaur,Diệu con ếch hạt giống,이상해씨,base,2,4,8,,,,,,1,,config/portrait/speedranktouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang1/img_1_mwzz@.png,config/portrait/simple/img_1_mwzz@.png,config/big_hero/normal/img_1_mwzz@.png,1.4,{x=130;y=-30},koudai_miaowazhongzi/hero_miaowazhongzi.skel,,config/big_hero/standby/img_1_mwzz@.png,,{x=60;y=0},,<11;12;13>,,,{'hitPos'={'x'=0;'y'=105};'lifePos'={'x'=0;'y'=230};'headPos'={'x'=0;'y'=190};'namePos'={'x'=0;'y'=230}},,,,2.1,,,1.32,,,,,,,,,,,,,42.404,1.017,9.212,9.532,3.692,3.82,1.13,1.13,1.15,1.15,1.19,1.19,886,1000,400,,,,202,253,95,115,0,0,29,0,15000,150,0,0,3000,0,10000,0,10000,150,300,0,0,,,0,0,,,,,,
2,Ivysaur,妙蛙草,Ivysaur,404404,이상해풀,base,2,4,8,,,,,,2,,config/portrait/speedranktouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang1/img_2_mwc@.png,config/portrait/simple/img_2_mwc@.png,config/big_hero/normal/img_2_mwc@.png,1.2,{x=40;y=70},koudai_miaowacao/hero_miaowacao.skel,,config/big_hero/standby/img_2_mwc@.png,,{x=60;y=0},,<21;22;23>,,,{'hitPos'={'x'=0;'y'=115};'lifePos'={'x'=0;'y'=250};'headPos'={'x'=0;'y'=210};'namePos'={'x'=0;'y'=250}},,,,2.1,,,1.2,,,,,,,,,,,,,44.28,1.062,9.452,9.932,3.82,3.98,1.18,1.18,1.18,1.19,1.24,1.24,1057,1000,400,,,,231,291,107,129,0,0,34,0,15000,150,0,0,3000,0,10000,0,10000,150,300,0,0,,,0,0,,,,,,
3,Venusaur,妙蛙花,Venusaur,404404,이상해꽃,base,2,4,8,,,,,,3,,config/portrait/speedranktouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang1/img_3_mwh@.png,config/portrait/simple/img_3_mwh@.png,config/big_hero/normal/img_3_mwh@.png,,{x=-10;y=20},koudai_miaowahua/hero_miaowahua.skel,,config/big_hero/standby/img_3_mwh@.png,,{x=60;y=0},,<31;32;33>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.6,,,1.56,,,,,,,,,,,,,46.532,1.116,9.932,10.413,4.013,4.173,1.24,1.24,1.24,1.25,1.3,1.3,1361,1000,400,,,,296,361,133,157,0,0,42,0,15000,150,0,0,3000,0,10000,0,10000,150,300,0,0,,,0,0,,,,,,
4,Mega Venusaur,超級妙蛙花,Mega Venusaur,404404,메가이상해꽃,base,3,4,8,,,,,,4,,config/portrait/speedranktouxiang/img_3_cjmwh@.png,config/portrait/jinglingtouxiang/img_3_cjmwh@.png,config/portrait/jinglingtouxiang1/img_3_cjmwh@.png,config/portrait/simple/img_3_cjmwh@.png,config/big_hero/normal/img_3_cjmwh@.png,1.4,{x=40;y=90},koudai_miaowahuamega/hero_miaowahuamega.skel,,config/big_hero/standby/img_3_cjmwh@.png,,{x=60;y=0},<44>,<41;42;43>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,1.9,,,1.3,,,,,,,,,,,,,49.909,1.197,11.134,11.695,4.719,4.687,1.33,1.33,1.39,1.47,1.46,1.46,1684,1000,400,,,,440,537,237,232,0,0,49,0,15000,500,500,0,3000,0,10000,0,10000,300,700,0,0,,,0,0,,,,,,
11,Charmander,小火龍,Charmander,Tiểu hỏa long,파이리,base,2,2,,,,,,,11,,config/portrait/speedranktouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang1/img_4_xhl@.png,config/portrait/simple/img_4_xhl@.png,config/big_hero/normal/img_4_xhl@.png,,,koudai_xiaohuolong/hero_xiaohuolong.skel,,config/big_hero/standby/img_4_xhl@.png,,{x=50;y=-40},,<111;112;113>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.4,,,1.4,,,,,,,,,,,,,42.029,1.071,9.212,9.452,3.627,3.692,1.12,1.19,1.15,1.13,1.18,1.15,844,1000,400,,,,211,248,87,96,0,0,36,200,15000,0,0,200,3000,0,10000,0,10000,200,0,0,0,,,0,0,,,,,,
12,Charmeleon,火恐龍,Charmeleon,404404,리자드,base,2,2,,,,,,,12,,config/portrait/speedranktouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang1/img_5_hkl@.png,config/portrait/simple/img_5_hkl@.png,config/big_hero/normal/img_5_hkl@.png,1.1,{x=30;y=0},koudai_huokonglong/hero_huokonglong.skel,,config/big_hero/standby/img_5_hkl@.png,,{x=50;y=-40},,<121;122;123>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2,,,1.2,,,,,,,,,,,,,43.905,1.116,9.532,9.932,3.756,3.82,1.17,1.24,1.19,1.17,1.24,1.19,1026,1000,400,,,,238,291,101,109,0,0,42,200,15000,0,0,200,3000,0,10000,0,10000,200,0,0,0,,,0,0,,,,,,
