变量名,typeID,stage,quality,itemMap,gold,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,levelDec
默认值,,1,1,{101=5;102=10;103=15;104=20},0,0,0,0,0,0,0,1,0,1,1,1,1,0
ID,索引类型,阶段,品质,进阶道具消耗,进阶金币消耗,血量成长,速度成长,物攻成长,物防成长,特攻成长,特防成长,血量修正,速度修正,攻击力修正,防御力修正,特殊攻击力修正,特殊攻击力修正,进阶等级下降
101,1,1,1,{5000=1;5001=1;5002=1;5003=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,
102,1,2,2,{5000=10;5001=2;5002=2;5003=2},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,
103,1,3,2,{5000=15;5004=4;5005=4;5006=4},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,
104,1,4,2,{5000=20;5004=7;5005=7;5006=7},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,
105,1,5,3,{5000=30;5007=10;5008=10;5009=10},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,
106,1,6,3,{5000=40;5010=13;5011=13;5012=13},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,
107,1,7,3,{5000=60;5010=17;5011=17;5012=17},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,
108,1,8,3,{5000=90;5013=25;5014=25;5015=25},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,
109,1,9,4,{5000=120;5013=33;5014=33;5015=33},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,
110,1,10,4,{5000=200;5016=53;5017=53;5018=53},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,
111,1,11,4,{5000=320;5016=80;5017=80;5018=80},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,
112,1,12,4,{5000=400;5019=107;5020=107;5021=107},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,
113,1,13,4,{5000=600;5019=160;5020=160;5021=160},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,
114,1,14,5,{5000=800;5022=213;5023=213;5024=213},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,
115,1,15,5,{5000=1250;5022=333;5023=333;5024=333},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,
116,1,16,5,{5000=1600;5025=500;5026=500;5027=500},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,
117,1,17,5,{5000=2000;5028=667;5029=667;5030=667},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,
118,1,18,5,{5000=2500;5031=750;5032=750;5033=750},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,
119,1,19,5,{5000=2500;5034=750;5035=750;5036=750},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,
120,1,20,6,{5000=3500;5037=1050;5038=1050;5039=1050},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,
121,1,21,6,{5000=4000;5040=1250;5041=1250;5042=1250},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,
122,1,22,6,{5000=4500;5043=1333;5044=1333;5045=1333},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,
123,1,23,6,{5000=4500;5046=1333;5047=1333;5048=1333},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,
124,1,24,6,{5000=5000;5049=1417;5050=1417;5051=1417},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,
125,1,25,6,{5000=5000;5052=1417;5053=1417;5054=1417},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,
126,1,26,7,{5000=5500;5055=1500;5056=1500;5057=1500},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,
127,1,27,7,{5000=5500;5058=1500;5059=1500;5060=1500},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,
128,1,28,7,{5000=6000;5061=1583;5062=1583;5063=1583},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,
129,1,29,7,{5000=6000;5064=1583;5065=1583;5066=1583},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,
130,1,30,7,{5000=6500;5064=1667;5065=1667;5066=1667},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,
201,2,1,1,{5000=1;5001=1;5002=1;5003=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,
202,2,2,2,{5000=10;5001=2;5002=2;5003=2},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,
203,2,3,2,{5000=15;5004=3;5005=6;5006=3},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,
204,2,4,2,{5000=20;5004=4;5005=12;5006=4},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,
205,2,5,3,{5000=30;5007=6;5008=18;5009=6},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,
206,2,6,3,{5000=40;5010=8;5011=24;5012=8},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,
207,2,7,3,{5000=60;5010=10;5011=30;5012=10},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,
208,2,8,3,{5000=90;5013=15;5014=45;5015=15},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,
209,2,9,4,{5000=120;5013=20;5014=60;5015=20},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,
210,2,10,4,{5000=200;5016=32;5017=96;5018=32},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,
211,2,11,4,{5000=320;5016=48;5017=144;5018=48},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,
212,2,12,4,{5000=400;5019=64;5020=192;5021=64},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,
213,2,13,4,{5000=600;5019=96;5020=288;5021=96},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,
214,2,14,5,{5000=800;5022=128;5023=384;5024=128},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,
215,2,15,5,{5000=1250;5022=200;5023=600;5024=200},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,
216,2,16,5,{5000=1600;5025=300;5026=900;5027=300},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,
217,2,17,5,{5000=2000;5028=400;5029=1200;5030=400},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,
218,2,18,5,{5000=2500;5031=450;5032=1350;5033=450},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,
219,2,19,5,{5000=2500;5034=450;5035=1350;5036=450},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,
220,2,20,6,{5000=3500;5037=630;5038=1890;5039=630},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,
221,2,21,6,{5000=4000;5040=750;5041=2250;5042=750},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,
222,2,22,6,{5000=4500;5043=800;5044=2400;5045=800},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,
223,2,23,6,{5000=4500;5046=800;5047=2400;5048=800},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,
224,2,24,6,{5000=5000;5049=850;5050=2550;5051=850},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,
225,2,25,6,{5000=5000;5052=850;5053=2550;5054=850},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,
226,2,26,7,{5000=5500;5055=900;5056=2700;5057=900},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,
227,2,27,7,{5000=5500;5058=900;5059=2700;5060=900},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,
228,2,28,7,{5000=6000;5061=950;5062=2850;5063=950},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,
229,2,29,7,{5000=6000;5064=950;5065=2850;5066=950},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,
230,2,30,7,{5000=6500;5064=1000;5065=3000;5066=1000},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,
301,3,1,1,{5000=1;5001=1;5002=1;5003=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,
302,3,2,2,{5000=10;5001=2;5002=2;5003=2},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,
303,3,3,2,{5000=15;5004=3;5005=3;5006=6},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,
304,3,4,2,{5000=20;5004=4;5005=4;5006=12},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,
305,3,5,3,{5000=30;5007=6;5008=6;5009=18},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,
306,3,6,3,{5000=40;5010=8;5011=8;5012=24},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,
307,3,7,3,{5000=60;5010=10;5011=10;5012=30},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,
