变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5,道具消耗序列6,道具消耗序列7,道具消耗序列8,道具消耗序列9,道具消耗序列10,道具消耗序列11,道具消耗序列12,道具消耗序列13,道具消耗序列14,道具消耗序列15,道具消耗序列16,道具消耗序列17,道具消耗序列18,道具消耗序列19,道具消耗序列20
,,,,,,,,,,,,,,,,,,,,
0,{gold=200000;coin10=200;111=240;112=80},{gold=200000;coin2=200;111=240;112=80},{gold=200000;coin1=200;111=240;112=80},{gold=200000;coin6=200;111=240;112=80},{gold=400000;coin10=300;111=360;112=120},{gold=400000;coin2=300;111=360;112=120},{gold=400000;coin1=300;111=360;112=120},{gold=400000;coin6=300;111=360;112=120},{gold=400000;coin10=300;111=360;112=120},{gold=400000;coin2=300;111=360;112=120},{gold=400000;coin1=300;111=360;112=120},{gold=400000;coin6=300;111=360;112=120},{gold=600000;coin10=400;111=480;112=160},{gold=600000;coin2=400;111=480;112=160},{gold=600000;coin1=400;111=480;112=160},{gold=600000;coin6=400;111=480;112=160},{gold=600000;coin10=400;111=480;112=160},{gold=600000;coin2=400;111=480;112=160},{gold=600000;coin1=400;111=480;112=160},{gold=600000;coin6=400;111=480;112=160}
1,{gold=300000;coin10=300;111=260;112=90},{gold=300000;coin2=300;111=260;112=90},{gold=300000;coin1=300;111=260;112=90},{gold=300000;coin6=300;111=260;112=90},{gold=600000;coin10=450;111=390;112=135},{gold=600000;coin2=450;111=390;112=135},{gold=600000;coin1=450;111=390;112=135},{gold=600000;coin6=450;111=390;112=135},{gold=600000;coin10=450;111=390;112=135},{gold=600000;coin2=450;111=390;112=135},{gold=600000;coin1=450;111=390;112=135},{gold=600000;coin6=450;111=390;112=135},{gold=900000;coin10=600;111=520;112=180},{gold=900000;coin2=600;111=520;112=180},{gold=900000;coin1=600;111=520;112=180},{gold=900000;coin6=600;111=520;112=180},{gold=900000;coin10=600;111=520;112=180},{gold=900000;coin2=600;111=520;112=180},{gold=900000;coin1=600;111=520;112=180},{gold=900000;coin6=600;111=520;112=180}
2,{gold=400000;coin10=400;111=280;112=100},{gold=400000;coin2=400;111=280;112=100},{gold=400000;coin1=400;111=280;112=100},{gold=400000;coin6=400;111=280;112=100},{gold=800000;coin10=600;111=420;112=150},{gold=800000;coin2=600;111=420;112=150},{gold=800000;coin1=600;111=420;112=150},{gold=800000;coin6=600;111=420;112=150},{gold=800000;coin10=600;111=420;112=150},{gold=800000;coin2=600;111=420;112=150},{gold=800000;coin1=600;111=420;112=150},{gold=800000;coin6=600;111=420;112=150},{gold=1200000;coin10=800;111=560;112=200},{gold=1200000;coin2=800;111=560;112=200},{gold=1200000;coin1=800;111=560;112=200},{gold=1200000;coin6=800;111=560;112=200},{gold=1200000;coin10=800;111=560;112=200},{gold=1200000;coin2=800;111=560;112=200},{gold=1200000;coin1=800;111=560;112=200},{gold=1200000;coin6=800;111=560;112=200}
3,{gold=500000;coin10=500;111=300;112=120},{gold=500000;coin2=500;111=300;112=120},{gold=500000;coin1=500;111=300;112=120},{gold=500000;coin6=500;111=300;112=120},{gold=1000000;coin10=800;111=450;112=180},{gold=1000000;coin2=800;111=450;112=180},{gold=1000000;coin1=800;111=450;112=180},{gold=1000000;coin6=800;111=450;112=180},{gold=1000000;coin10=800;111=450;112=180},{gold=1000000;coin2=800;111=450;112=180},{gold=1000000;coin1=800;111=450;112=180},{gold=1000000;coin6=800;111=450;112=180},{gold=1500000;coin10=1000;111=600;112=240},{gold=1500000;coin2=1000;111=600;112=240},{gold=1500000;coin1=1000;111=600;112=240},{gold=1500000;coin6=1000;111=600;112=240},{gold=1500000;coin10=1000;111=600;112=240},{gold=1500000;coin2=1000;111=600;112=240},{gold=1500000;coin1=1000;111=600;112=240},{gold=1500000;coin6=1000;111=600;112=240}
4,{gold=600000;coin10=600;111=340;112=140},{gold=600000;coin2=600;111=340;112=140},{gold=600000;coin1=600;111=340;112=140},{gold=600000;coin6=600;111=340;112=140},{gold=1200000;coin10=900;111=510;112=210},{gold=1200000;coin2=900;111=510;112=210},{gold=1200000;coin1=900;111=510;112=210},{gold=1200000;coin6=900;111=510;112=210},{gold=1200000;coin10=900;111=510;112=210},{gold=1200000;coin2=900;111=510;112=210},{gold=1200000;coin1=900;111=510;112=210},{gold=1200000;coin6=900;111=510;112=210},{gold=1800000;coin10=1200;111=680;112=280},{gold=1800000;coin2=1200;111=680;112=280},{gold=1800000;coin1=1200;111=680;112=280},{gold=1800000;coin6=1200;111=680;112=280},{gold=1800000;coin10=1200;111=680;112=280},{gold=1800000;coin2=1200;111=680;112=280},{gold=1800000;coin1=1200;111=680;112=280},{gold=1800000;coin6=1200;111=680;112=280}
5,{gold=800000;coin10=700;111=380;112=180},{gold=800000;coin2=700;111=380;112=180},{gold=800000;coin1=700;111=380;112=180},{gold=800000;coin6=700;111=380;112=180},{gold=1600000;coin10=1050;111=570;112=270},{gold=1600000;coin2=1050;111=570;112=270},{gold=1600000;coin1=1050;111=570;112=270},{gold=1600000;coin6=1050;111=570;112=270},{gold=1600000;coin10=1050;111=570;112=270},{gold=1600000;coin2=1050;111=570;112=270},{gold=1600000;coin1=1050;111=570;112=270},{gold=1600000;coin6=1050;111=570;112=270},{gold=2400000;coin10=1400;111=760;112=360},{gold=2400000;coin2=1400;111=760;112=360},{gold=2400000;coin1=1400;111=760;112=360},{gold=2400000;coin6=1400;111=760;112=360},{gold=2400000;coin10=1400;111=760;112=360},{gold=2400000;coin2=1400;111=760;112=360},{gold=2400000;coin1=1400;111=760;112=360},{gold=2400000;coin6=1400;111=760;112=360}
6,{gold=1000000;coin10=800;111=420;112=220},{gold=1000000;coin2=800;111=420;112=220},{gold=1000000;coin1=800;111=420;112=220},{gold=1000000;coin6=800;111=420;112=220},{gold=2000000;coin10=1200;111=630;112=330},{gold=2000000;coin2=1200;111=630;112=330},{gold=2000000;coin1=1200;111=630;112=330},{gold=2000000;coin6=1200;111=630;112=330},{gold=2000000;coin10=1200;111=630;112=330},{gold=2000000;coin2=1200;111=630;112=330},{gold=2000000;coin1=1200;111=630;112=330},{gold=2000000;coin6=1200;111=630;112=330},{gold=3000000;coin10=1600;111=840;112=440},{gold=3000000;coin2=1600;111=840;112=440},{gold=3000000;coin1=1600;111=840;112=440},{gold=3000000;coin6=1600;111=840;112=440},{gold=3000000;coin10=1600;111=840;112=440},{gold=3000000;coin2=1600;111=840;112=440},{gold=3000000;coin1=1600;111=840;112=440},{gold=3000000;coin6=1600;111=840;112=440}
7,{gold=1200000;coin10=900;111=460;112=280},{gold=1200000;coin2=900;111=460;112=280},{gold=1200000;coin1=900;111=460;112=280},{gold=1200000;coin6=900;111=460;112=280},{gold=2400000;coin10=1350;111=690;112=420},{gold=2400000;coin2=1350;111=690;112=420},{gold=2400000;coin1=1350;111=690;112=420},{gold=2400000;coin6=1350;111=690;112=420},{gold=2400000;coin10=1350;111=690;112=420},{gold=2400000;coin2=1350;111=690;112=420},{gold=2400000;coin1=1350;111=690;112=420},{gold=2400000;coin6=1350;111=690;112=420},{gold=3600000;coin10=1800;111=920;112=560},{gold=3600000;coin2=1800;111=920;112=560},{gold=3600000;coin1=1800;111=920;112=560},{gold=3600000;coin6=1800;111=920;112=560},{gold=3600000;coin10=1800;111=920;112=560},{gold=3600000;coin2=1800;111=920;112=560},{gold=3600000;coin1=1800;111=920;112=560},{gold=3600000;coin6=1800;111=920;112=560}
8,{gold=1400000;coin10=1000;111=520;112=340},{gold=1400000;coin2=1000;111=520;112=340},{gold=1400000;coin1=1000;111=520;112=340},{gold=1400000;coin6=1000;111=520;112=340},{gold=2800000;coin10=1500;111=780;112=510},{gold=2800000;coin2=1500;111=780;112=510},{gold=2800000;coin1=1500;111=780;112=510},{gold=2800000;coin6=1500;111=780;112=510},{gold=2800000;coin10=1500;111=780;112=510},{gold=2800000;coin2=1500;111=780;112=510},{gold=2800000;coin1=1500;111=780;112=510},{gold=2800000;coin6=1500;111=780;112=510},{gold=4200000;coin10=2000;111=1040;112=680},{gold=4200000;coin2=2000;111=1040;112=680},{gold=4200000;coin1=2000;111=1040;112=680},{gold=4200000;coin6=2000;111=1040;112=680},{gold=4200000;coin10=2000;111=1040;112=680},{gold=4200000;coin2=2000;111=1040;112=680},{gold=4200000;coin1=2000;111=1040;112=680},{gold=4200000;coin6=2000;111=1040;112=680}
9,{gold=1600000;coin10=1100;111=580;112=400},{gold=1600000;coin2=1100;111=580;112=400},{gold=1600000;coin1=1100;111=580;112=400},{gold=1600000;coin6=1100;111=580;112=400},{gold=3200000;coin10=1650;111=870;112=600},{gold=3200000;coin2=1650;111=870;112=600},{gold=3200000;coin1=1650;111=870;112=600},{gold=3200000;coin6=1650;111=870;112=600},{gold=3200000;coin10=1650;111=870;112=600},{gold=3200000;coin2=1650;111=870;112=600},{gold=3200000;coin1=1650;111=870;112=600},{gold=3200000;coin6=1650;111=870;112=600},{gold=4800000;coin10=2200;111=1160;112=800},{gold=4800000;coin2=2200;111=1160;112=800},{gold=4800000;coin1=2200;111=1160;112=800},{gold=4800000;coin6=2200;111=1160;112=800},{gold=4800000;coin10=2200;111=1160;112=800},{gold=4800000;coin2=2200;111=1160;112=800},{gold=4800000;coin1=2200;111=1160;112=800},{gold=4800000;coin6=2200;111=1160;112=800}
