"﻿变量名",advanceIndex,advanceLevel,advanceName,advanceName_tw,advanceName_kr,advanceName_en,advanceName_vn,advanceLimitType,advanceLimitNum,advanceSeqID,sceneType,attrType1,attrNum1,attrType2,attrNum2
默认值,1,1,"""""","""""","""""","""""","""""",1,3,1,,,,,
ID,刻印突破索引,刻印突破等级,刻印突破等级名称,刻印突破等级名称tw,刻印突破等级名称kr,刻印突破等级名称en,刻印突破等级名称vn,刻印突破限制类型(1=星级 2=觉醒),刻印突破限制参数,印刻突破消耗序列ID,场景类型,突破属性类型1,突破属性数值1,突破属性类型2,突破属性数值2
,,,,,,,,,,,,,,,
,类型1不同4个部位,,,,,,,,,,,,,,
1101,1,0,ordinary,,평범,,,,,,,,,,
1102,1,1,excellent,,우수,,,1,1,1,<2>,9,10%,10,10%
1103,1,2,Exquisite I,,정교I,,,1,2,1,<2>,7,10%,8,10%
1104,1,3,Exquisite II,,정교II,,,1,3,1,<2>,1,10%,,
1105,1,4,Excellence I,,탁월I,,,2,1,1,<2>,11,500,12,500
1106,1,5,Excellence II,,탁월II,,,2,2,1,<2>,14,500,,
1107,1,6,luxurious,,화려,,,2,3,1,<2>,16,500,,
1108,1,7,Supreme,,지존,,,1,4,1,<2>,22,750,,
1109,1,8,glory,,영광,,,1,5,1,<2>,23,750,,
1110,1,9,Promise,,무극,,,2,4,1,<2>,24,750,,
1111,1,10,Promise II,,무극II,,,2,5,1,<2>,25,750,,
1201,2,0,ordinary,,평범,,,,,,,,,,
1202,2,1,excellent,,우수,,,1,1,2,<6>,9,10%,10,10%
1203,2,2,Exquisite I,,정교I,,,1,2,2,<6>,7,10%,8,10%
1204,2,3,Exquisite II,,정교II,,,1,3,2,<6>,1,10%,,
1205,2,4,Excellence I,,탁월I,,,2,1,2,<6>,11,500,12,500
1206,2,5,Excellence II,,탁월II,,,2,2,2,<6>,14,500,,
1207,2,6,luxurious,,화려,,,2,3,2,<6>,16,500,,
1208,2,7,Supreme,,지존,,,1,4,2,<6>,22,750,,
1209,2,8,glory,,영광,,,1,5,2,<6>,23,750,,
1210,2,9,Promise,,무극,,,2,4,2,<6>,24,750,,
1211,2,10,Promise II,,무극II,,,2,5,2,<6>,25,750,,
1301,3,0,ordinary,,평범,,,,,,,,,,
1302,3,1,excellent,,우수,,,1,1,3,<10>,9,10%,10,10%
1303,3,2,Exquisite I,,정교I,,,1,2,3,<10>,7,10%,8,10%
1304,3,3,Exquisite II,,정교II,,,1,3,3,<10>,1,10%,,
1305,3,4,Excellence I,,탁월I,,,2,1,3,<10>,11,500,12,500
1306,3,5,Excellence II,,탁월II,,,2,2,3,<10>,14,500,,
1307,3,6,luxurious,,화려,,,2,3,3,<10>,16,500,,
1308,3,7,Supreme,,지존,,,1,4,3,<10>,22,750,,
1309,3,8,glory,,영광,,,1,5,3,<10>,23,750,,
1310,3,9,Promise,,무극,,,2,4,3,<10>,24,750,,
1311,3,10,Promise II,,무극II,,,2,5,3,<10>,25,750,,
1401,4,0,ordinary,,평범,,,,,,,,,,
1402,4,1,excellent,,우수,,,1,1,4,<12>,9,10%,10,10%
1403,4,2,Exquisite I,,정교I,,,1,2,4,<12>,7,10%,8,10%
1404,4,3,Exquisite II,,정교II,,,1,3,4,<12>,1,10%,,
1405,4,4,Excellence I,,탁월I,,,2,1,4,<12>,11,500,12,500
1406,4,5,Excellence II,,탁월II,,,2,2,4,<12>,14,500,,
1407,4,6,luxurious,,화려,,,2,3,4,<12>,16,500,,
1408,4,7,Supreme,,지존,,,1,4,4,<12>,22,750,,
1409,4,8,glory,,영광,,,1,5,4,<12>,23,750,,
1410,4,9,Promise,,무극,,,2,4,4,<12>,24,750,,
1411,4,10,Promise II,,무극II,,,2,5,4,<12>,25,750,,
,类型2不同4个部位,,,,,,,,,,,,,,
2101,5,0,ordinary,,평범,,,,,,,,,,
2102,5,1,excellent,,우수,,,1,1,5,<2>,9,10%,10,10%
2103,5,2,Exquisite I,,정교I,,,1,2,5,<2>,7,10%,8,10%
2104,5,3,Exquisite II,,정교II,,,1,3,5,<2>,1,10%,,
2105,5,4,Excellence I,,탁월I,,,2,1,5,<2>,11,500,12,500
2106,5,5,Excellence II,,탁월II,,,2,2,5,<2>,14,500,,
2107,5,6,luxurious,,화려,,,2,3,5,<2>,16,500,,
2108,5,7,Supreme,,지존,,,1,4,5,<2>,22,750,,
2109,5,8,glory,,영광,,,1,5,5,<2>,23,750,,
2110,5,9,Promise,,무극,,,2,4,5,<2>,24,750,,
2111,5,10,Promise II,,무극II,,,2,5,5,<2>,25,750,,
2201,6,0,ordinary,,평범,,,,,,,,,,
2202,6,1,excellent,,우수,,,1,1,6,<6>,9,10%,10,10%
2203,6,2,Exquisite I,,정교I,,,1,2,6,<6>,7,10%,8,10%
2204,6,3,Exquisite II,,정교II,,,1,3,6,<6>,1,10%,,
2205,6,4,Excellence I,,탁월I,,,2,1,6,<6>,11,500,12,500
2206,6,5,Excellence II,,탁월II,,,2,2,6,<6>,14,500,,
2207,6,6,luxurious,,화려,,,2,3,6,<6>,16,500,,
2208,6,7,Supreme,,지존,,,1,4,6,<6>,22,750,,
2209,6,8,glory,,영광,,,1,5,6,<6>,23,750,,
2210,6,9,Promise,,무극,,,2,4,6,<6>,24,750,,
2211,6,10,Promise II,,무극II,,,2,5,6,<6>,25,750,,
2301,7,0,ordinary,,평범,,,,,,,,,,
2302,7,1,excellent,,우수,,,1,1,7,<10>,9,10%,10,10%
2303,7,2,Exquisite I,,정교I,,,1,2,7,<10>,7,10%,8,10%
2304,7,3,Exquisite II,,정교II,,,1,3,7,<10>,1,10%,,
2305,7,4,Excellence I,,탁월I,,,2,1,7,<10>,11,500,12,500
2306,7,5,Excellence II,,탁월II,,,2,2,7,<10>,14,500,,
2307,7,6,luxurious,,화려,,,2,3,7,<10>,16,500,,
2308,7,7,Supreme,,지존,,,1,4,7,<10>,22,750,,
2309,7,8,glory,,영광,,,1,5,7,<10>,23,750,,
2310,7,9,Promise,,무극,,,2,4,7,<10>,24,750,,
2311,7,10,Promise II,,무극II,,,2,5,7,<10>,25,750,,
2401,8,0,ordinary,,평범,,,,,,,,,,
2402,8,1,excellent,,우수,,,1,1,8,<12>,9,10%,10,10%
