变量名,key,_beizhu,value
默认值,,,""""""
ID,标识符,备注,值
1,normalGroupList,General buff group collection,"""{1101,1102,1103,1104,1105,1111,1112,1113,1114,1115,1121,1122,1123,1124,1125,1301,1302,1303,1311,1312,1313,1321,1322,1323,1500,1501,1502,1503,1510,1511,1512,1513,1520,1521,1522,1523}"""
2,groupstun,control,"""{20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,3631217}"""
3,groupdebuff,the negative,"""{1101,1102,1103,1104,1105,1111,1112,1113,1114,1115,1121,1122,1123,1124,1125,1151,1301,1302,1303,1311,1312,1313,1321,1322,1323,1500,1501,1502,1503,1510,1511,1512,1513,1520,1521,1522,1523,1541,1551,1581,1582}"""
4,groupdebuffs,control and negativity,"""{20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,3631217,1101,1102,1103,1104,1105,1111,1112,1113,1114,1115,1121,1122,1123,1124,1125,1151,1301,1302,1303,1311,1312,1313,1321,1322,1323,1500,1501,1502,1503,1510,1511,1512,1513,1520,1521,1522,1523,1541,1551,1581,1582}"""
5,groupbuff,gain,"""{1001,1002,1003,1004,1005,1011,1012,1013,1014,1015,1021,1022,1023,1024,1025,1200,1201,1202,1203,1211,1212,1213,1221,1222,1223,1401,1411,1421,1431,1441,1451,1601,1602,1603,1604,1605,3222032}"""
6,egg,turned egg,"""{1020011}"""
7,fly,Blow & Hide,"""{100,101,102,105,107}"""
8,groupdot,dot group,"""{1500,1501,1502,1503,1510,1511,1512,1513,1520,1521,1522,1523,1541,1551,1581,1582}"""
9,miansi,avoid death,"""{1270000,80004}"""
10,chaopin,overclock,"""{3211143}"""
11,bingzhu,Ice Skeleton & Cocoon & Self-Destruction,"""{50024,50027,80015}"""
12,nbstun,Strong control that cannot be dispelled,"""{3631217,100,101,105,34}"""
13,yinshen,Stealth_Your side can be selected,"""{106}"""
14,Lethalcheck,lethal detection,"""{4171301,1396182}"""
15,shengxiu,Meltan Rust,"""{50028}"""
16,yingkong,hard control,"""{20,21,22,23,24,25,26,27,28,29,30,34,35,36,3631217}"""
17,unlufly,Blow & hide deer except x,"""{100,101,102,105,4161212}"""
,,,
99999,filterLevel1,The hard-coded ones on the blowing program cannot be selected and should not be changed.,100
,,,
,groupTest,test,"20,21,22,23,24,25,26,27,28,29,31,32,33,1101,1102,1103,1104,1105,1111,1112,1113,1114,1115,1121,1122,1123,1124,1125,1301,1302,1303,1311,1312,1313,1321,1322,1323,1500,1501,1502,1503,1510,1511,1512,1513,1520,1521,1522,1523"
,listTest,test,"""{{1001,1,1},{1002,1,1},{1003,1,1},{1004,1,1},{1005,1,1},{1011,1,1},{1012,1,1},{1013,1,1},{1014,1,1},{1015,1,1},{1021,1,1},{1022,1,1},{1023,1,1},{1024,1,1},{1025,1,1},{1201,1,1},{1202,1,1},{1203,1,1},{1211,1,1},{1212,1,1},{1213,1,1},{1221,1,1},{1222,1,1},{1223,1,1},{1401,1,1},{1411,1,1},{1421,1,1},{1431,1,1},{1441,1,1},{1451,1,1},{1101,1,1},{1102,1,1},{1103,1,1},{1104,1,1},{1105,1,1},{1111,1,1},{1112,1,1},{1113,1,1},{1114,1,1},{1115,1,1},{1121,1,1},{1122,1,1},{1123,1,1},{1124,1,1},{1125,1,1},{1301,1,1},{1302,1,1},{1303,1,1},{1311,1,1},{1312,1,1},{1313,1,1},{1321,1,1},{1322,1,1},{1323,1,1},{1500,1,1},{1501,1,1},{1502,1,1},{1503,1,1},{1510,1,1},{1511,1,1},{1512,1,1},{1513,1,1},{1520,1,1},{1521,1,1},{1522,1,1},{1523,1,1}}"""
,,,
,,control large collections,"""20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,3631217"""
,,Negative big set,"""1001,1002,1003,1004,1005,1011,1012,1013,1014,1015,1021,1022,1023,1024,1025,1201,1202,1203,1211,1212,1213,1221,1222,1223,1401,1411,1421,1431,1441,1451,1601,1602"""
,,large collection of dot groups,"""1500,1501,1502,1503,1510,1511,1512,1513,1520,1521,1522,1523,1541,1551,1581,1582"""
,,,
,,,
,,,
,,control that can be dispelled,"""20,21,22,23,24,25,26,27,28,29,31,32,33"""
,,negativity that can be dispelled,"""1101,1102,1103,1104,1105,1111,1112,1113,1114,1115,1121,1122,1123,1124,1125,1301,1302,1303,1311,1312,1313,1321,1322,1323,1500,1501,1502,1503,1510,1511,1512,1513,1520,1521,1522,1523"""
,,dot groups that can be dispelled,"""1500,1501,1502,1503,1510,1511,1512,1513,1520,1521,1522,1523,1541,1551,1581,1582"""
,,Buffs that can be dispelled,"""1001,1002,1003,1004,1005,1011,1012,1013,1014,1015,1021,1022,1023,1024,1025,1201,1202,1203,1211,1212,1213,1221,1222,1223,1401,1411,1421,1431,1441,1451,1601,1602"""
