变量名,equip_id,stage,costGold,costItemMap
默认值,,1,0,{}
进阶,装备id,进阶阶段,进阶金币消耗,进阶道具消耗
,,,,
10001,11001,1,5000,{100=1;}
10002,11001,2,10000,{100=1;}
10003,11001,3,15000,{100=1;}
10004,11001,4,20000,{100=1;5004=4;5005=4;5006=4;}
10005,11001,5,25000,{100=1;5007=4;5008=4;5009=4;}
10006,11001,6,30000,{100=1;5010=6;5011=6;5012=6;}
10007,11001,7,35000,{100=2;5010=8;5011=8;5012=8;}
10008,11001,8,40000,{100=2;5013=10;5014=10;5015=10;}
10009,11001,9,50000,{100=4;5013=12;5014=12;5015=12;}
10010,11001,10,60000,{100=4;5016=16;5017=16;5018=16;}
10011,11001,11,80000,{100=6;5016=20;5017=20;5018=20;}
10012,11001,12,100000,{100=6;5019=32;5020=32;5021=32;}
10013,11001,13,120000,{100=9;5019=48;5020=48;5021=48;}
10014,11001,14,140000,{100=12;5022=72;5023=72;5024=72;}
10015,11001,15,160000,{100=18;5022=108;5023=108;5024=108;}
10016,11001,16,180000,{100=24;5025=144;5026=144;5027=144;}
10017,11001,17,200000,{100=30;5028=200;5029=200;5030=200;}
10018,11001,18,220000,{100=36;5031=300;5032=300;5033=300;}
10019,11001,19,240000,{100=42;5034=400;5035=400;5036=400;}
10020,11001,20,260000,{100=48;5037=440;5038=440;5039=440;}
10021,11001,21,300000,{100=54;5040=480;5041=480;5042=480;}
10022,11001,22,350000,{100=60;5043=520;5044=520;5045=520;}
10023,11001,23,400000,{100=66;5046=560;5047=560;5048=560;}
10024,11001,24,450000,{100=72;5049=600;5050=600;5051=600;}
10025,11001,25,500000,{100=78;5052=640;5053=640;5054=640;}
10026,11001,26,550000,{100=84;5055=680;5056=680;5057=680;}
10027,11001,27,600000,{100=90;5058=720;5059=720;5060=720;}
10028,11001,28,650000,{100=96;5061=760;5062=760;5063=760;}
10029,11001,29,700000,{100=102;5064=800;5065=800;5066=800;}
10030,11001,30,750000,{100=108;5064=840;5065=840;5066=840;}
10051,11002,1,5000,{100=1;}
10052,11002,2,10000,{100=1;}
10053,11002,3,15000,{100=1;}
10054,11002,4,20000,{100=1;5004=4;5005=4;5006=4;}
10055,11002,5,25000,{100=1;5007=4;5008=4;5009=4;}
10056,11002,6,30000,{100=1;5010=6;5011=6;5012=6;}
10057,11002,7,35000,{100=2;5010=8;5011=8;5012=8;}
10058,11002,8,40000,{100=2;5013=10;5014=10;5015=10;}
10059,11002,9,50000,{100=4;5013=12;5014=12;5015=12;}
10060,11002,10,60000,{100=4;5016=16;5017=16;5018=16;}
10061,11002,11,80000,{100=6;5016=20;5017=20;5018=20;}
10062,11002,12,100000,{100=6;5019=32;5020=32;5021=32;}
10063,11002,13,120000,{100=9;5019=48;5020=48;5021=48;}
