变量名,levelExp1,levelExp2,levelExp3,levelExp4,levelExp5
默认值,,,,,
等级,升级经验序列1,升级经验序列2,升级经验序列3,升级经验序列4,升级经验序列5
1,24,28,36,48,64
2,48,56,72,96,128
3,72,84,108,144,192
4,96,112,144,192,256
5,120,140,180,240,320
6,144,168,216,288,384
7,180,210,270,360,480
8,240,280,360,480,640
9,360,420,540,720,960
10,480,560,720,960,1280
11,600,700,900,1200,1600
12,720,840,1080,1440,1920
13,960,1120,1440,1920,2560
14,1200,1400,1800,2400,3200
15,1440,1680,2160,2880,3840
16,2040,2380,3060,4080,5440
17,2400,2800,3600,4800,6400
18,2760,3220,4140,5520,7360
19,3120,3640,4680,6240,8320
20,3480,4060,5220,6960,9280
21,3840,4480,5760,7680,10240
22,4200,4900,6300,8400,11200
23,4440,5180,6660,8880,11840
24,4800,5600,7200,9600,12800
25,5160,6020,7740,10320,13760
26,6240,7280,9360,12480,16640
27,6360,7419,9540,12720,16960
28,6840,7980,10260,13680,18240
29,7320,8540,10980,14640,19520
30,7800,9100,11700,15600,20800
31,9000,10500,13500,18000,24000
32,9600,11200,14400,19200,25600
33,10200,11900,15300,20400,27200
34,10920,12740,16380,21840,29120
35,11640,13580,17460,23280,31040
36,14400,16800,21600,28800,38400
37,14400,16800,21600,28800,38400
38,15600,18200,23400,31200,41600
39,16800,19600,25200,33600,44800
40,19200,22400,28800,38400,51200
41,25200,29400,37800,50400,67200
42,28800,33600,43200,57600,76800
43,32400,37800,48600,64800,86400
44,36000,42000,54000,72000,96000
45,39600,46200,59400,79200,105600
46,44400,51800,66600,88800,118400
47,49200,57400,73800,98400,131200
48,54000,63000,81000,108000,144000
49,58800,68600,88200,117600,156800
50,64800,75600,97200,129600,172800
51,79200,92400,118800,158400,211200
52,86400,100800,129600,172800,230400
53,94800,110600,142200,189600,252800
54,103200,120400,154800,206400,275200
55,115200,134400,172800,230400,307200
56,132000,154000,198000,264000,352000
57,144400,168000,216000,288000,384000
58,156000,182000,234000,312000,416000
59,168000,196000,252000,336000,448000
60,192000,224000,288000,384000,512000
61,240000,280000,360000,480000,640000
62,264000,308000,396000,528000,704000
63,300000,350000,450000,600000,800000
64,324000,378000,486000,648000,864000
65,360000,420000,540000,720000,960000
66,384000,448000,576000,768000,1024000
67,420000,490000,630000,840000,1120000
68,468000,546000,702000,936000,1248000
69,504000,588000,756000,1008000,1344000
70,576000,672000,864000,1152000,1536000
71,636000,742000,954000,1272000,1696000
72,720000,840000,1080000,1440000,1920000
73,792000,924000,1188000,1584000,2112000
74,876000,1022000,1314000,1752000,2336000
75,1044000,1218000,1566000,2088000,2784000
76,1188000,1386000,1782000,2376000,3168000
77,1320000,1540000,1980000,2640000,3520000
78,1440000,1680000,2160000,2880000,3840000
79,1680000,1960000,2520000,3360000,4480000
80,1680000,1960000,2520000,3360000,4480000
81,1680000,1960000,2520000,3360000,4480000
82,1680000,1960000,2520000,3360000,4480000
83,1800000,2100000,2700000,3600000,4800000
84,1800000,2100000,2700000,3600000,4800000
85,1920000,2240000,2880000,3840000,5120000
86,2040000,2380000,3060000,4080000,5440000
87,2160000,2520000,3240000,4320000,5760000
88,2280000,2660000,3420000,4560000,6080000
89,2400000,2800000,3600000,4800000,6400000
90,2520000,2940000,3780000,5040000,6720000
91,2760000,3220000,4140000,5520000,7360000
92,2640000,3080000,3960000,5280000,7040000
93,2760000,3220000,4140000,5520000,7360000
94,2640000,3080000,3960000,5280000,7040000
95,2670000,3115000,4005000,5340000,7120000
96,2700000,3150000,4050000,5400000,7200000
97,2730000,3185000,4095000,5460000,7280000
98,2760000,3220000,4140000,5520000,7360000
99,2790000,3255000,4185000,5580000,7440000
100,2850000,3325000,4275000,5700000,7600000
101,2970000,3465000,4455000,5940000,7920000
102,3090000,3605000,4635000,6180000,8240000
103,3210000,3745000,4815000,6420000,8560000
104,3330000,3885000,4995000,6660000,8880000
,4800000,5600000,7200000,9600000,12800000
,4890000,5705000,7335000,9780000,13040000
,4980000,5810000,7470000,9960000,13280000
,5070000,5915000,7605000,10140000,13520000
,5160000,6020000,7740000,10320000,13760000
,5250000,6125000,7875000,10500000,14000000
,6000000,7000000,9000000,12000000,16000000
,6135000,7157500,9202500,12270000,16360000
,6270000,7315000,9405000,12540000,16720000
,6405000,7472500,9607500,12810000,17080000
,6540000,7630000,9810000,13080000,17440000
