变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5
默认值,{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5
0,{501=1;gold=5000},{501=2;gold=5000},{501=2;gold=5000},{501=3;gold=5000},{501=3;gold=5000}
1,{501=1;gold=5000},{501=2;gold=5000},{501=2;gold=5000},{501=3;gold=5000},{501=3;gold=5000}
2,{501=1;gold=5000},{501=2;gold=5000},{501=2;gold=5000},{501=3;gold=5000},{501=3;gold=5000}
3,{501=2;gold=5000},{501=4;gold=5000},{501=4;gold=5000},{501=5;gold=5000},{501=5;gold=5000}
4,{501=2;gold=5000},{501=4;gold=5000},{501=4;gold=5000},{501=5;gold=5000},{501=5;gold=5000}
5,{501=2;gold=5000},{501=4;gold=5000},{501=4;gold=5000},{501=5;gold=5000},{501=5;gold=5000}
6,{501=3;gold=5000},{501=6;gold=5000},{501=6;gold=5000},{501=8;gold=5000},{501=8;gold=5000}
7,{501=3;gold=5000},{501=6;gold=5000},{501=6;gold=5000},{501=8;gold=5000},{501=8;gold=5000}
8,{501=3;gold=5000},{501=6;gold=5000},{501=6;gold=5000},{501=8;gold=5000},{501=8;gold=5000}
9,{501=4;gold=5000},{501=8;gold=5000},{501=8;gold=5000},{501=10;gold=5000},{501=10;gold=5000}
10,{501=4;gold=5000},{501=8;gold=5000},{501=8;gold=5000},{501=10;gold=5000},{501=10;gold=5000}
11,{501=4;gold=5000},{501=8;gold=5000},{501=8;gold=5000},{501=10;gold=5000},{501=10;gold=5000}
12,{501=5;gold=5000},{501=10;gold=5000},{501=10;gold=5000},{501=13;gold=5000},{501=13;gold=5000}
13,{501=5;gold=5000},{501=10;gold=5000},{501=10;gold=5000},{501=13;gold=5000},{501=13;gold=5000}
14,{501=5;gold=5000},{501=10;gold=5000},{501=10;gold=5000},{501=13;gold=5000},{501=13;gold=5000}
15,{501=6;gold=5000},{501=12;gold=5000},{501=12;gold=5000},{501=15;gold=5000},{501=15;gold=5000}
16,{501=6;gold=5000},{501=12;gold=5000},{501=12;gold=5000},{501=15;gold=5000},{501=15;gold=5000}
17,{501=6;gold=5000},{501=12;gold=5000},{501=12;gold=5000},{501=15;gold=5000},{501=15;gold=5000}
18,{501=7;gold=5000},{501=14;gold=5000},{501=14;gold=5000},{501=18;gold=5000},{501=18;gold=5000}
19,{501=7;gold=5000},{501=14;gold=5000},{501=14;gold=5000},{501=18;gold=5000},{501=18;gold=5000}
20,{501=7;gold=5000},{501=14;gold=5000},{501=14;gold=5000},{501=18;gold=5000},{501=18;gold=5000}
21,{501=8;gold=5000},{501=16;gold=5000},{501=16;gold=5000},{501=20;gold=5000},{501=20;gold=5000}
22,{501=8;gold=5000},{501=16;gold=5000},{501=16;gold=5000},{501=20;gold=5000},{501=20;gold=5000}
23,{501=8;gold=5000},{501=16;gold=5000},{501=16;gold=5000},{501=20;gold=5000},{501=20;gold=5000}
24,{501=9;gold=5000},{501=18;gold=5000},{501=18;gold=5000},{501=23;gold=5000},{501=23;gold=5000}
25,{501=9;gold=5000},{501=18;gold=5000},{501=18;gold=5000},{501=23;gold=5000},{501=23;gold=5000}
26,{501=9;gold=5000},{501=18;gold=5000},{501=18;gold=5000},{501=23;gold=5000},{501=23;gold=5000}
27,{501=10;gold=5000},{501=20;gold=5000},{501=20;gold=5000},{501=25;gold=5000},{501=25;gold=5000}
28,{501=10;gold=5000},{501=20;gold=5000},{501=20;gold=5000},{501=25;gold=5000},{501=25;gold=5000}
29,{501=10;gold=5000},{501=20;gold=5000},{501=20;gold=5000},{501=25;gold=5000},{501=25;gold=5000}
