变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5,道具消耗序列6,道具消耗序列7,道具消耗序列8,道具消耗序列9,道具消耗序列10,道具消耗序列11,道具消耗序列12,道具消耗序列13,道具消耗序列14,道具消耗序列15,道具消耗序列16,道具消耗序列17,道具消耗序列18,道具消耗序列19,道具消耗序列20
,,,,,,,,,,,,,,,,,,,,
0,{gold=80000;coin10=80;111=80},{gold=120000;coin10=120;111=120},{gold=120000;coin10=120;111=120},{gold=160000;coin10=160;111=160},{gold=160000;coin10=160;111=160},{gold=80000;coin2=80;111=80},{gold=120000;coin2=120;111=120},{gold=120000;coin2=120;111=120},{gold=160000;coin2=160;111=160},{gold=160000;coin2=160;111=160},{gold=80000;coin1=80;111=80},{gold=120000;coin1=120;111=120},{gold=120000;coin1=120;111=120},{gold=160000;coin1=160;111=160},{gold=160000;coin1=160;111=160},{gold=80000;coin6=80;111=80},{gold=120000;coin6=120;111=120},{gold=120000;coin6=120;111=120},{gold=160000;coin6=160;111=160},{gold=160000;coin6=160;111=160}
1,{gold=80000;coin10=80;111=80},{gold=120000;coin10=120;111=120},{gold=120000;coin10=120;111=120},{gold=160000;coin10=160;111=160},{gold=160000;coin10=160;111=160},{gold=80000;coin2=80;111=80},{gold=120000;coin2=120;111=120},{gold=120000;coin2=120;111=120},{gold=160000;coin2=160;111=160},{gold=160000;coin2=160;111=160},{gold=80000;coin1=80;111=80},{gold=120000;coin1=120;111=120},{gold=120000;coin1=120;111=120},{gold=160000;coin1=160;111=160},{gold=160000;coin1=160;111=160},{gold=80000;coin6=80;111=80},{gold=120000;coin6=120;111=120},{gold=120000;coin6=120;111=120},{gold=160000;coin6=160;111=160},{gold=160000;coin6=160;111=160}
2,{gold=80000;coin10=80;111=80},{gold=120000;coin10=120;111=120},{gold=120000;coin10=120;111=120},{gold=160000;coin10=160;111=160},{gold=160000;coin10=160;111=160},{gold=80000;coin2=80;111=80},{gold=120000;coin2=120;111=120},{gold=120000;coin2=120;111=120},{gold=160000;coin2=160;111=160},{gold=160000;coin2=160;111=160},{gold=80000;coin1=80;111=80},{gold=120000;coin1=120;111=120},{gold=120000;coin1=120;111=120},{gold=160000;coin1=160;111=160},{gold=160000;coin1=160;111=160},{gold=80000;coin6=80;111=80},{gold=120000;coin6=120;111=120},{gold=120000;coin6=120;111=120},{gold=160000;coin6=160;111=160},{gold=160000;coin6=160;111=160}
3,{gold=80000;coin10=80;111=80},{gold=120000;coin10=120;111=120},{gold=120000;coin10=120;111=120},{gold=160000;coin10=160;111=160},{gold=160000;coin10=160;111=160},{gold=80000;coin2=80;111=80},{gold=120000;coin2=120;111=120},{gold=120000;coin2=120;111=120},{gold=160000;coin2=160;111=160},{gold=160000;coin2=160;111=160},{gold=80000;coin1=80;111=80},{gold=120000;coin1=120;111=120},{gold=120000;coin1=120;111=120},{gold=160000;coin1=160;111=160},{gold=160000;coin1=160;111=160},{gold=80000;coin6=80;111=80},{gold=120000;coin6=120;111=120},{gold=120000;coin6=120;111=120},{gold=160000;coin6=160;111=160},{gold=160000;coin6=160;111=160}
4,{gold=80000;coin10=80;111=80},{gold=120000;coin10=120;111=120},{gold=120000;coin10=120;111=120},{gold=160000;coin10=160;111=160},{gold=160000;coin10=160;111=160},{gold=80000;coin2=80;111=80},{gold=120000;coin2=120;111=120},{gold=120000;coin2=120;111=120},{gold=160000;coin2=160;111=160},{gold=160000;coin2=160;111=160},{gold=80000;coin1=80;111=80},{gold=120000;coin1=120;111=120},{gold=120000;coin1=120;111=120},{gold=160000;coin1=160;111=160},{gold=160000;coin1=160;111=160},{gold=80000;coin6=80;111=80},{gold=120000;coin6=120;111=120},{gold=120000;coin6=120;111=120},{gold=160000;coin6=160;111=160},{gold=160000;coin6=160;111=160}
5,{gold=120000;coin10=120;111=84},{gold=180000;coin10=180;111=126},{gold=180000;coin10=180;111=126},{gold=240000;coin10=240;111=168},{gold=240000;coin10=240;111=168},{gold=120000;coin2=120;111=84},{gold=180000;coin2=180;111=126},{gold=180000;coin2=180;111=126},{gold=240000;coin2=240;111=168},{gold=240000;coin2=240;111=168},{gold=120000;coin1=120;111=84},{gold=180000;coin1=180;111=126},{gold=180000;coin1=180;111=126},{gold=240000;coin1=240;111=168},{gold=240000;coin1=240;111=168},{gold=120000;coin6=120;111=84},{gold=180000;coin6=180;111=126},{gold=180000;coin6=180;111=126},{gold=240000;coin6=240;111=168},{gold=240000;coin6=240;111=168}
6,{gold=120000;coin10=120;111=84},{gold=180000;coin10=180;111=126},{gold=180000;coin10=180;111=126},{gold=240000;coin10=240;111=168},{gold=240000;coin10=240;111=168},{gold=120000;coin2=120;111=84},{gold=180000;coin2=180;111=126},{gold=180000;coin2=180;111=126},{gold=240000;coin2=240;111=168},{gold=240000;coin2=240;111=168},{gold=120000;coin1=120;111=84},{gold=180000;coin1=180;111=126},{gold=180000;coin1=180;111=126},{gold=240000;coin1=240;111=168},{gold=240000;coin1=240;111=168},{gold=120000;coin6=120;111=84},{gold=180000;coin6=180;111=126},{gold=180000;coin6=180;111=126},{gold=240000;coin6=240;111=168},{gold=240000;coin6=240;111=168}
7,{gold=120000;coin10=120;111=84},{gold=180000;coin10=180;111=126},{gold=180000;coin10=180;111=126},{gold=240000;coin10=240;111=168},{gold=240000;coin10=240;111=168},{gold=120000;coin2=120;111=84},{gold=180000;coin2=180;111=126},{gold=180000;coin2=180;111=126},{gold=240000;coin2=240;111=168},{gold=240000;coin2=240;111=168},{gold=120000;coin1=120;111=84},{gold=180000;coin1=180;111=126},{gold=180000;coin1=180;111=126},{gold=240000;coin1=240;111=168},{gold=240000;coin1=240;111=168},{gold=120000;coin6=120;111=84},{gold=180000;coin6=180;111=126},{gold=180000;coin6=180;111=126},{gold=240000;coin6=240;111=168},{gold=240000;coin6=240;111=168}
8,{gold=120000;coin10=120;111=84},{gold=180000;coin10=180;111=126},{gold=180000;coin10=180;111=126},{gold=240000;coin10=240;111=168},{gold=240000;coin10=240;111=168},{gold=120000;coin2=120;111=84},{gold=180000;coin2=180;111=126},{gold=180000;coin2=180;111=126},{gold=240000;coin2=240;111=168},{gold=240000;coin2=240;111=168},{gold=120000;coin1=120;111=84},{gold=180000;coin1=180;111=126},{gold=180000;coin1=180;111=126},{gold=240000;coin1=240;111=168},{gold=240000;coin1=240;111=168},{gold=120000;coin6=120;111=84},{gold=180000;coin6=180;111=126},{gold=180000;coin6=180;111=126},{gold=240000;coin6=240;111=168},{gold=240000;coin6=240;111=168}
9,{gold=120000;coin10=120;111=84},{gold=180000;coin10=180;111=126},{gold=180000;coin10=180;111=126},{gold=240000;coin10=240;111=168},{gold=240000;coin10=240;111=168},{gold=120000;coin2=120;111=84},{gold=180000;coin2=180;111=126},{gold=180000;coin2=180;111=126},{gold=240000;coin2=240;111=168},{gold=240000;coin2=240;111=168},{gold=120000;coin1=120;111=84},{gold=180000;coin1=180;111=126},{gold=180000;coin1=180;111=126},{gold=240000;coin1=240;111=168},{gold=240000;coin1=240;111=168},{gold=120000;coin6=120;111=84},{gold=180000;coin6=180;111=126},{gold=180000;coin6=180;111=126},{gold=240000;coin6=240;111=168},{gold=240000;coin6=240;111=168}
