变量名,_beizhu,cardID,weight,weight2,CDTime,isForce,serverOpenDays,extraAward
默认值,"""""",0,0,0,0,0,0,{}
ID,名字备注,怪物ID,自然属性权重，对应 unit natureType,第二自然属性权重，对应 unit natureType,冷却时间,强制开关,开服天数,额外奖励
1,Frog Seeds,1,75,75,,,,{rmb=10;20001=1}
2,Froggrass,2,75,75,,,,{rmb=10;20001=1}
3,Frog Flower,3,75,75,,,,{rmb=10;20001=1}
4,Charmander,11,75,,,,,{rmb=10;20011=1}
5,fire dinosaur,12,75,,,,,{rmb=10;20011=1}
6,Charizard,13,75,75,,,,{rmb=10;20011=1}
7,Squirrel,21,75,,,,,{rmb=10;20021=1}
8,Cammy Turtle,22,75,,,,,{rmb=10;20021=1}
9,Blastoise,23,75,,,,,{rmb=10;20021=1}
10,green caterpillar,31,75,,,,,{rmb=10;20031=1}
11,Butterfly,33,75,75,,,,{rmb=10;20031=1}
12,Big Needle Bee,41,75,75,,,,{rmb=10;20041=1}
13,Bobo,51,75,75,,,,{rmb=10;20051=1}
14,bibi bird,52,75,75,,,,{rmb=10;20051=1}
15,Big bird,53,75,75,,,,{rmb=10;20051=1}
16,Little Lada,61,75,,,,,{rmb=10;20061=1}
17,Rada,62,75,,,,,{rmb=10;20061=1}
18,sparrow,71,75,75,,,,{rmb=10;20071=1}
19,Toucan,72,75,75,,,,{rmb=10;20071=1}
20,Arbor snake,81,75,,,,,{rmb=10;20081=1}
21,Arbor,82,75,,,,,{rmb=10;20081=1}
22,Pichu,91,75,,,,,{rmb=10;20091=1}
23,pikachu,92,75,,,,,{rmb=10;20091=1}
24,Raichu,93,75,,,,,{rmb=10;20091=1}
25,Mountain rat,101,75,,,,,{rmb=10;20101=1}
26,Chuanshanwang,102,75,,,,,{rmb=10;20101=1}
27,Nidolan,111,75,,,,,{rmb=10;20111=1}
28,Nidorna,112,75,,,,,{rmb=10;20111=1}
29,Queen Nido,113,75,75,,,,{rmb=10;20111=1}
30,Nidolan,121,75,,,,,{rmb=10;20121=1}
31,Nitorino,122,75,,,,,{rmb=10;20121=1}
32,King Nido,123,75,75,,,,{rmb=10;20121=1}
33,skin baby,131,75,,,,,{rmb=10;20131=1}
34,Pippi,132,75,,,,,{rmb=10;20131=1}
35,Pixie,133,75,,,,,{rmb=10;20131=1}
36,walking grass,171,75,75,,,,{rmb=10;20171=1}
37,stinky flower,172,75,75,,,,{rmb=10;20171=1}
