变量名,groupID,desc,weight,cards,badges,boss
默认值,0,"""""",100,<>,<>,<>
ID,阵容索引ID,怪物介绍,阵容权重,怪物序列,阵容勋章,boss编号
90001,111,,1,<500001;500011;500021;0;0;0>,<0;1001;0;0;0;0;>,<2>
90002,11,,1,<500781;500791;500801;0;0;0>,<0;1002;0;0;0;0;>,<2>
90003,11,,1,<501291;501301;501311;0;0;0>,<0;1003;0;0;0;0;>,<2>
90004,11,,1,<502011;502031;0;0;0;0>,<0;1004;0;0;0;0;>,<2>
90005,11,,1,<502471;502481;0;0;0;0>,<0;1005;0;0;0;0;>,<2>
90006,11,,1,<503281;503291;503301;0;0;0>,<0;1006;0;0;0;0;>,<2>
,,,,,,
90011,112,,1,<500082;500471;0;0;0;0>,<0;1009;0;0;0;0;>,<2>
90012,12,,1,<500482;503771;500283;0;0;0>,<0;1010;0;0;0;0;>,<2>
90013,12,,1,<500123;500492;500113;0;0;0>,<0;1011;0;0;0;0;>,<2>
90014,12,,1,<500241;500482;500631;0;0;0>,<0;1012;0;0;0;0;>,<2>
90015,12,,1,<500031;500031;500031;500031;500031;500031>,<0;1013;0;0;0;0;>,<5>
90016,12,,1,<500031;500031;500031;500031;500031;500031>,<0;1014;0;0;0;0;>,<5>
,,,,,,
90021,113,,1,<501851;501852;501892;503021;501853;502872>,<0;0;0;0;103105;0;>,<5>
90022,13,,1,<500331;500331;500331;500331;500331;500331>,<0;0;0;0;3002;0;>,<5>
90023,13,,0,<500101;500031;500541;0;500072;0>,<0;0;0;0;3003;0;>,<5>
90024,13,,1,<503501;500691;503502;500692;503143;500692>,<0;0;0;0;3004;0;>,<5>
90025,13,,1,<503501;500691;503502;500692;503592;500692>,<0;0;0;0;3005;0;>,<5>
90026,13,,1,<503501;500691;503502;500692;500731;500692>,<0;0;0;0;3006;0;>,<5>
,,,,,,
90031,114,,1,<501231;501241;501221;0;601271;0>,<0;0;0;0;4001;0;>,<5>
