变量名,_beizhu,serverExp,serverExpDayMax,serverDamageAdd,serverDefenceAdd,serverHpAdd,roleExp,roleDamageAdd,roleDefenceAdd,roleHpAdd
默认值,,,,,,,,,,
buff等级,备注,全服当前等级所需经验,全服每日经验上限,全服攻击加成,全服防御加成,全服血量加成,个人当前等级所需经验,个人攻击加成,个人防御加成,个人血量加成
0,,0,50000,0,0,0,0,0,0,0
1,,1000,50000,0.01,0.01,0.01,100,0.01,0.01,0.01
2,,2000,50000,0.02,0.02,0.02,150,0.02,0.02,0.02
3,,3000,50000,0.03,0.03,0.03,200,0.03,0.03,0.03
4,,4000,50000,0.04,0.04,0.04,250,0.04,0.04,0.04
5,,5000,50000,0.05,0.05,0.05,300,0.05,0.05,0.05
6,,6000,50000,0.06,0.06,0.06,350,0.06,0.06,0.06
7,,7500,50000,0.07,0.07,0.07,400,0.07,0.07,0.07
8,,9000,50000,0.08,0.08,0.08,450,0.08,0.08,0.08
9,,10500,50000,0.09,0.09,0.09,500,0.09,0.09,0.09
10,,12000,50000,0.1,0.1,0.1,550,0.1,0.1,0.1
11,,14000,50000,0.11,0.11,0.11,600,0.11,0.11,0.11
12,,16000,50000,0.12,0.12,0.12,650,0.12,0.12,0.12
13,,18000,50000,0.13,0.13,0.13,700,0.13,0.13,0.13
14,,20000,50000,0.14,0.14,0.14,750,0.14,0.14,0.14
15,,22000,50000,0.15,0.15,0.15,800,0.15,0.15,0.15
16,,24000,50000,0.16,0.16,0.16,850,0.16,0.16,0.16
