变量名,eventType,eventID,eventParam,eventLib,weight
默认值,0,0,{},0,0
ID,事件类型（1：boss；2：NPC},事件ID(npcid),事件参数,所属库,权值
1,1,1,,1,90
2,2,1,,1,20
,,,,,
3,1,1,,2,20
4,2,1,,2,90
,,,,,
51,2,1,,5,100
52,2,2,,5,100
53,2,3,,5,100
54,2,4,,5,100
55,2,5,,5,100
56,2,6,,5,100
57,2,7,,5,100
58,2,8,,5,100
59,2,9,,5,100
,,,,,
101,1,11,,11,100
102,1,12,,11,100
103,1,13,,11,100
104,1,21,,11,100
105,1,22,,11,100
106,1,23,,11,100
,,,,,
111,1,11,,12,100
112,1,12,,12,100
113,1,13,,12,100
114,1,21,,12,100
115,1,22,,12,100
116,1,23,,12,100
117,1,31,,12,300
118,1,32,,12,300
119,1,33,,12,300
,,,,,
121,1,41,,13,100
122,1,42,,13,100
123,1,43,,13,100
