变量名,rankMax,dayAward,endAward,version
默认值,,,,0
ID,最大排名,比赛日排行奖励,比赛结算排行奖励,版本
1,1,{coin13=128000;gold=300000},{coin13=128000;gold=300000},
2,2,{coin13=124800;gold=292000},{coin13=124800;gold=292000},
3,3,{coin13=121600;gold=284000},{coin13=121600;gold=284000},
4,4,{coin13=120000;gold=280000},{coin13=120000;gold=280000},
5,5,{coin13=119200;gold=278000},{coin13=119200;gold=278000},
6,6,{coin13=118400;gold=276000},{coin13=118400;gold=276000},
7,7,{coin13=117600;gold=274000},{coin13=117600;gold=274000},
8,8,{coin13=116800;gold=272000},{coin13=116800;gold=272000},
9,9,{coin13=116000;gold=270000},{coin13=116000;gold=270000},
10,10,{coin13=115200;gold=268000},{coin13=115200;gold=268000},
11,11,{coin13=114400;gold=266000},{coin13=114400;gold=266000},
12,12,{coin13=113600;gold=264000},{coin13=113600;gold=264000},
13,13,{coin13=112800;gold=262000},{coin13=112800;gold=262000},
14,14,{coin13=112000;gold=260000},{coin13=112000;gold=260000},
15,15,{coin13=111200;gold=258000},{coin13=111200;gold=258000},
16,16,{coin13=110400;gold=256000},{coin13=110400;gold=256000},
17,17,{coin13=109600;gold=254000},{coin13=109600;gold=254000},
18,18,{coin13=108800;gold=252000},{coin13=108800;gold=252000},
19,19,{coin13=108000;gold=250000},{coin13=108000;gold=250000},
20,20,{coin13=107200;gold=248000},{coin13=107200;gold=248000},
21,21,{coin13=106800;gold=247000},{coin13=106800;gold=247000},
22,22,{coin13=106400;gold=246000},{coin13=106400;gold=246000},
23,23,{coin13=106000;gold=245000},{coin13=106000;gold=245000},
24,24,{coin13=105600;gold=244000},{coin13=105600;gold=244000},
25,25,{coin13=105200;gold=243000},{coin13=105200;gold=243000},
26,26,{coin13=104800;gold=242000},{coin13=104800;gold=242000},
27,27,{coin13=104400;gold=241000},{coin13=104400;gold=241000},
28,28,{coin13=104000;gold=240000},{coin13=104000;gold=240000},
29,29,{coin13=103600;gold=239000},{coin13=103600;gold=239000},
30,30,{coin13=103200;gold=238000},{coin13=103200;gold=238000},
31,31,{coin13=102800;gold=237000},{coin13=102800;gold=237000},
32,32,{coin13=102400;gold=236000},{coin13=102400;gold=236000},
33,33,{coin13=102000;gold=235000},{coin13=102000;gold=235000},
34,34,{coin13=101600;gold=234000},{coin13=101600;gold=234000},
35,35,{coin13=101200;gold=233000},{coin13=101200;gold=233000},
