变量名,level,randomWeight,card1,skillMap1,card2,skillMap2,card3,skillMap3,card4,skillMap4,card5,skillMap5,card6,skillMap6
默认值,1,1,{},{},{},{},{},{},{},{},{},{},{},{}
ID,等级,随机权值,卡牌ID1,卡牌技能等级配置1,卡牌ID2,卡牌技能等级配置2,卡牌ID3,卡牌技能等级配置3,卡牌ID4,卡牌技能等级配置4,卡牌ID5,卡牌技能等级配置5,卡牌ID6,卡牌技能等级配置6
1,8,100,{id=231},{2311=1;2312=1;2313=1},{id=3561;star=1},{35611=1;35612=1;35613=1},{id=131;star=1},{1311=1;1312=1;1313=1},{id=81;star=1},{811=1;812=1;813=1},,,,
2,8,100,{id=101},{1011=1;1012=1;1013=1},{id=891;star=1},{8911=1;8912=1;8913=1},{id=121;star=1},{1211=1;1212=1;1213=1},{id=71;star=1},{711=1;712=1;713=1},,,,
3,8,100,{id=451},{4511=1;4512=1;4513=1},{id=1;star=1},{11=1;12=1;13=1},{id=2011;star=1},{20111=1;20112=1;20113=1},{id=231;star=1},{2311=1;2312=1;2313=1},,,,
4,8,100,{id=51},{511=1;512=1;513=1},{id=301;star=1},{3011=1;3012=1;3013=1},{id=61;star=1},{611=1;612=1;613=1},{id=231;star=1},{2311=1;2312=1;2313=1},,,,
5,8,100,{id=541},{5411=1;5412=1;5413=1},{id=81;star=1},{811=1;812=1;813=1},{id=121;star=1},{1211=1;1212=1;1213=1},{id=71;star=1},{711=1;712=1;713=1},,,,
6,8,100,{id=451},{4511=1;4512=1;4513=1},{id=171;star=1},{1711=1;1712=1;1713=1},{id=71;star=1},{711=1;712=1;713=1},{id=2891;star=1},{28911=1;28912=1;28913=1},,,,
7,8,100,{id=3561},{35611=1;35612=1;35613=1},{id=31;star=1},{311=1;312=1;313=1},{id=121;star=1},{1211=1;1212=1;1213=1},{id=51;star=1},{511=1;512=1;513=1},,,,
8,8,100,{id=351},{3511=1;3512=1;3513=1},{id=891;star=1},{8911=1;8912=1;8913=1},{id=2011;star=1},{20111=1;20112=1;20113=1},{id=61;star=1},{611=1;612=1;613=1},,,,
9,8,100,{id=11},{111=1;112=1;113=1},{id=131;star=1},{1311=1;1312=1;1313=1},{id=81;star=1},{811=1;812=1;813=1},{id=891;star=1},{8911=1;8912=1;8913=1},,,,
10,8,100,{id=11},{111=1;112=1;113=1},{id=191;star=1},{1911=1;1912=1;1913=1},{id=781;star=1},{7811=1;7812=1;7813=1},{id=1351;star=1},{13511=1;13512=1;13513=1},,,,
11,8,100,{id=351},{3511=1;3512=1;3513=1},{id=81;star=1},{811=1;812=1;813=1},{id=111;star=1},{1111=1;1112=1;1113=1},{id=541;star=1},{5411=1;5412=1;5413=1},,,,
12,8,100,{id=11},{111=1;112=1;113=1},{id=61;star=1},{611=1;612=1;613=1},{id=171;star=1},{1711=1;1712=1;1713=1},{id=131;star=1},{1311=1;1312=1;1313=1},,,,
13,8,100,{id=121},{1211=1;1212=1;1213=1},{id=81;star=1},{811=1;812=1;813=1},{id=1611;star=1},{16111=1;16112=1;16113=1},{id=191;star=1},{1911=1;1912=1;1913=1},,,,
14,8,100,{id=451},{4511=1;4512=1;4513=1},{id=1;star=1},{11=1;12=1;13=1},{id=1611;star=1},{16111=1;16112=1;16113=1},{id=121;star=1},{1211=1;1212=1;1213=1},,,,
15,8,100,{id=391},{3911=1;3912=1;3913=1},{id=891;star=1},{8911=1;8912=1;8913=1},{id=71;star=1},{711=1;712=1;713=1},{id=2071;star=1},{20711=1;20712=1;20713=1},,,,
16,8,100,{id=2891},{28911=1;28912=1;28913=1},{id=121;star=1},{1211=1;1212=1;1213=1},{id=541;star=1},{5411=1;5412=1;5413=1},{id=101;star=1},{1011=1;1012=1;1013=1},,,,
17,8,100,{id=11},{111=1;112=1;113=1},{id=111;star=1},{1111=1;1112=1;1113=1},{id=2011;star=1},{20111=1;20112=1;20113=1},{id=131;star=1},{1311=1;1312=1;1313=1},,,,
18,8,100,{id=3561},{35611=1;35612=1;35613=1},{id=71;star=1},{711=1;712=1;713=1},{id=61;star=1},{611=1;612=1;613=1},{id=51;star=1},{511=1;512=1;513=1},,,,
19,8,100,{id=171},{1711=1;1712=1;1713=1},{id=461;star=1},{4611=1;4612=1;4613=1},{id=891;star=1},{8911=1;8912=1;8913=1},{id=2071;star=1},{20711=1;20712=1;20713=1},,,,
20,8,100,{id=41},{411=1;412=1;413=1},{id=171;star=1},{1711=1;1712=1;1713=1},{id=2011;star=1},{20111=1;20112=1;20113=1},{id=191;star=1},{1911=1;1912=1;1913=1},,,,
21,8,100,{id=131},{1311=3;1312=3;1313=3},{id=1351;star=1},{13511=3;13512=3;13513=3},{id=351;star=1},{3511=3;3512=3;3513=3},{id=171;star=1},{1711=3;1712=3;1713=3},,,,
22,8,100,{id=31},{311=3;312=3;313=3},{id=1351;star=1},{13511=3;13512=3;13513=3},{id=3561;star=1},{35611=3;35612=3;35613=3},{id=51;star=1},{511=3;512=3;513=3},,,,
23,8,100,{id=71},{711=3;712=3;713=3},{id=1;star=1},{11=3;12=3;13=3},{id=81;star=1},{811=3;812=3;813=3},{id=41;star=1},{411=3;412=3;413=3},,,,
24,8,100,{id=81},{811=3;812=3;813=3},{id=461;star=1},{4611=3;4612=3;4613=3},{id=61;star=1},{611=3;612=3;613=3},{id=171;star=1},{1711=3;1712=3;1713=3},,,,
25,8,100,{id=11},{111=3;112=3;113=3},{id=171;star=1},{1711=3;1712=3;1713=3},{id=81;star=1},{811=3;812=3;813=3},{id=131;star=1},{1311=3;1312=3;1313=3},,,,
26,8,100,{id=131},{1311=3;1312=3;1313=3},{id=31;star=1},{311=3;312=3;313=3},{id=461;star=1},{4611=3;4612=3;4613=3},{id=41;star=1},{411=3;412=3;413=3},,,,
27,8,100,{id=111},{1111=3;1112=3;1113=3},{id=1;star=1},{11=3;12=3;13=3},{id=781;star=1},{7811=3;7812=3;7813=3},{id=351;star=1},{3511=3;3512=3;3513=3},,,,
28,8,100,{id=171},{1711=3;1712=3;1713=3},{id=111;star=1},{1111=3;1112=3;1113=3},{id=121;star=1},{1211=3;1212=3;1213=3},{id=1351;star=1},{13511=3;13512=3;13513=3},,,,
29,8,100,{id=461},{4611=3;4612=3;4613=3},{id=81;star=1},{811=3;812=3;813=3},{id=351;star=1},{3511=3;3512=3;3513=3},{id=891;star=1},{8911=3;8912=3;8913=3},,,,
