变量名,rank,levelRange,name,logo,level
默认值,,<1;20>,%s,<1;5>,<1;10>
ID,排名区间,卡牌区间等级,名字,头像,角色等级
1,5,<41;45>,%s,,<41;45>
2,10,<38;41>,%s,,<38;41>
3,20,<35;38>,%s,,<35;38>
4,30,<31;34>,%s,,<31;34>
5,40,<27;30>,%s,,<27;30>
6,50,<23;26>,%s,,<23;26>
7,75,<19;22>,%s,,<19;22>
8,100,<17;18>,%s,,<17;18>
9,500,<15;16>,%s,,<15;16>
10,1000,<13;14>,%s,,<15;16>
11,2500,<11;12>,%s,,<15;16>
12,4000,<9;10>,%s,,<15;16>
13,5000,<7;8>,%s,,<15;16>
14,6000,<5;6>,%s,,<15;16>
15,7000,<3;4>,%s,,<15;16>
16,8000,<3;4>,%s,,<15;16>
17,9000,<2;3>,%s,,<15;16>
18,10000,<2;3>,%s,,<15;16>
