﻿变量名,score,huodongID,award,randomAward
默认值,<>,0,{},{}
ID,积分阶段,活动ID,固定奖励,随机奖励(<<libID;count>;>)
1,<0;10>,101058,{6394=2;gold=10000},
2,<10;30>,101058,{6394=4;gold=20000},{libs=<10101>}
3,<30;60>,101058,{6394=6;gold=30000},{libs=<10101>}
4,<60;90>,101058,{6394=8;gold=40000},{libs=<10101;10101>}
5,<90;120>,101058,{6394=10;gold=50000},{libs=<10101;10101>}
6,<120;150>,101058,{6394=12;gold=60000},{libs=<10101;10101;10101>}
7,<150;180>,101058,{6394=14;gold=70000},{libs=<10101;10101;10101>}
8,<180;200>,101058,{6394=16;gold=80000},{libs=<10101;10101;10101;10101>}
9,<200;220>,101058,{6394=18;gold=100000},{libs=<10101;10101;10101;10101;10101>}
10,<220;240>,101058,{6394=18;gold=120000},{libs=<10101;10101;10101;10101;10101>}
11,<240;270>,101058,{6394=18;gold=140000},{libs=<10101;10101;10101;10101;10101>}
12,<270;300>,101058,{6394=18;gold=160000},{libs=<10101;10101;10101;10101;10101>}
13,<300;330>,101058,{6394=18;gold=180000},{libs=<10101;10101;10101;10101;10101>}
14,<330;360>,101058,{6394=18;gold=200000},{libs=<10101;10101;10101;10101;10101>}
15,<360;390>,101058,{6394=18;gold=220000},{libs=<10101;10101;10101;10101;10101>}
16,<390;420>,101058,{6394=18;gold=240000},{libs=<10101;10101;10101;10101;10101>}
17,<420;99999999>,101058,{6394=18;gold=240000},{libs=<10101;10101;10101;10101;10101>}
