﻿变量名,gateLibID,weight,hardDegree,times,timeLimit,posX,posY,scale
默认值,0,0,1,10,60,1,1,1
ID,关卡库id,权值,副本难度,挑战次数,副本持续时间,图片X坐标,图片Y坐标,图片缩放
,2020,100,1,,,,,
,2020,100,1,,,,,
,2020,100,1,,,,,
,2020,100,1,,,,,
,2020,100,1,,,,,
,,,,,,,,
,2020,80,2,,120,,,
,2020,80,2,,120,,,
,2020,80,2,,120,,,
,2020,80,2,,120,,,
,2020,80,2,,120,,,
,,,,,,,,
,2020,60,3,,180,,,
,2020,60,3,,180,,,
,2020,60,3,,180,,,
,2020,60,3,,180,,,
,2020,60,3,,180,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
61001,2020,50,1,10,180,,,
61002,2020,50,1,10,180,,,
61003,2020,50,1,10,180,,,
61004,2020,50,1,10,180,,,
61011,2020,35,2,5,180,,,
61012,2020,35,2,5,180,,,
61013,2020,35,2,5,180,,,
61014,2020,35,2,5,180,,,
61021,2020,15,3,3,180,,,
61022,2020,15,3,3,180,,,
61023,2020,15,3,3,180,,,
61024,2020,15,3,3,180,,,
,,,,,,,,
62001,2021,100,1,10,180,,,
62002,2021,100,1,10,180,,,
62003,2021,100,1,10,180,,,
62004,2021,100,1,10,180,,,
62011,2021,35,2,5,180,,,
62012,2021,35,2,5,180,,,
62013,2021,35,2,5,180,,,
62014,2021,35,2,5,180,,,
62021,2021,35,2,5,180,,,
62022,2021,35,2,5,180,,,
62023,2021,35,2,5,180,,,
62024,2021,35,2,5,180,,,
62031,2021,15,3,3,180,,,
62032,2021,15,3,3,180,,,
62033,2021,15,3,3,180,,,
62034,2021,15,3,3,180,,,
62041,2021,15,3,3,180,,,
62042,2021,15,3,3,180,,,
62043,2021,15,3,3,180,,,
62044,2021,15,3,3,180,,,
