"﻿变量名",_beizhu,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,award,vip
默认值,,0,0,9999,{},"""""","""""","""""","""""","""""",{},0
ID,备注,活动版本ID,任务类型;普通关卡战斗次数0;困难关卡战斗次数1;活动副本战斗次数2;竞技场战斗次数3;钻石十连抽4;钻石单抽5;装备十连抽6;装备单抽7;开金宝箱8;购买体力9;充值钻石10;装备强化11;装备铸炼12;装备升星13;点金14;VIP等级15;考古16;,任务参数,任务特殊参数,描述,描述,描述,描述_越南,描述_韩,奖励,vip限制
101,Level 5 Gift Pack_Test Mission,8827,1,5,,Attain level 5,等級達到5級,Attain level 5,Đạt LV5,레벨 5 달성,{gold=100000;rmb=100;11=30;5000=10},
102,Level 10 Gift Pack,8827,1,10,,Attain level 10,等級達到10級,Attain level 10,Đạt LV10,레벨 10 달성,{gold=150000;rmb=200;11=30;19=5},
103,Level 15 Gift Pack,8827,1,15,,Attain level 15,等級達到15級,Attain level 15,Đạt LV15,레벨 15 달성,{gold=200000;rmb=300;11=30;100=5},
104,Level 20 gift pack,8827,1,20,,Attain level 20,等級達到20級,Attain level 20,Đạt LV20,레벨 20 달성,{gold=250000;rmb=300;12=20;800=5},
105,Level 25 gift pack,8827,1,25,,Attain level 25,等級達到25級,Attain level 25,Đạt LV25,레벨 25 달성,{gold=300000;rmb=400;12=20;801=5},
106,Level 30 gift pack,8827,1,30,,Attain level 30,等級達到30級,Attain level 30,Đạt LV30,레벨 30 달성,{gold=350000;rmb=400;12=20;451=5},
107,Level 35 gift pack,8827,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{gold=400000;rmb=500;13=15;452=6},
108,Level 40 Gift Pack,8827,1,40,,Attain level 40,等級達到40級,Attain level 40,Đạt LV40,레벨 40 달성,{gold=450000;rmb=500;13=15;800=10},
109,Level 45 gift pack,8827,1,45,,Attain level 45,等級達到45級,Attain level 45,Đạt LV45,레벨 45 달성,{gold=500000;rmb=600;13=15;801=10},
,,,,,,,,,,,,
201,Dungeon Challenge_Test Task,8828,29,10,,Fight in Normal Level 10 times,普通關卡戰鬥10次,Fight in Normal Level 10 times,Chiến đấu Ải Thường 10 lần,일반 스테이지 10회 전투,{gold=20000;rmb=100},
