﻿变量名,huodongID,weight
默认值,0,0
ID,活动ID,随机权重
11,101058,1
12,101058,1
21,101058,1
22,101058,1
91,101058,1
92,101058,1
93,101058,1
101,101058,1
102,101058,1
111,101058,1
112,101058,1
113,101058,1
121,101058,1
122,101058,1
123,101058,1
131,101058,1
132,101058,1
133,101058,1
151,101058,1
152,101058,1
153,101058,1
171,101058,1
172,101058,1
173,101058,1
191,101058,1
221,101058,1
222,101058,1
231,101058,1
232,101058,1
271,101058,1
272,101058,1
273,101058,1
281,101058,1
282,101058,1
283,101058,1
451,101058,1
452,101058,1
461,101058,1
462,101058,1
463,101058,1
464,101058,1
471,101058,1
791,101058,1
792,101058,1
801,101058,1
802,101058,1
862,101058,1
863,101058,1
883,101058,1
1081,101058,1
1082,101058,1
1301,101058,1
1302,101058,1
1311,101058,1
1312,101058,1
2031,101058,1
2032,101058,1
2271,101058,1
2272,101058,1
2301,101058,1
2302,101058,1
2471,101058,1
2482,101058,1
2483,101058,1
2611,101058,1
2612,101058,1
2841,101058,1
2842,101058,1
3261,101058,1
3281,101058,1
3352,101058,1
3353,101058,1
3432,101058,1
3591,101058,1
3641,101058,1
7001,101058,1
