变量名,huodongID,taskParam,award
默认值,0,9999,{}
ID,活动版本ID,目标数量,任务奖励
1,1001,5,{rmb=50;2315=1;gold=200000;519=1}
2,1001,10,{rmb=50;502=3;gold=200000;519=2}
3,1001,20,{rmb=100;2016=1;gold=300000;519=2}
4,1001,30,{rmb=100;501=1;gold=300000;519=2}
5,1001,50,{rmb=150;2405=1;gold=500000;519=3}
,,,
11,1002,5,{rmb=50;2327=1;gold=200000;519=1}
12,1002,10,{rmb=50;502=3;gold=200000;519=2}
13,1002,20,{rmb=100;2029=1;gold=300000;519=2}
14,1002,30,{rmb=100;501=1;gold=300000;519=2}
15,1002,50,{rmb=150;2418=1;gold=500000;519=3}
