"﻿变量名",huodongID,type,label,label_tw,label_en,label_vn,label_kr,params,award,points
默认值,1001,1,"""""","""""","""""","""""","""""",0,{},0
ID,活动版本号,任务类型（1累计层数2累计评分3完美次数）,任务文本,任务文本,任务文本,任务文本,任务文本,任务参数,任务奖励,勋章分奖励
1,1,1,Built 25 floors today,今日蓋樓層數累計達到25層,Built 25 floors today,,오늘 올린 층수 30층 누적,25,{5000=10;850=100;gold=100000},25
2,1,1,Built 75 floors today,今日蓋樓層數累計達到75層,Built 75 floors today,,오늘 올린 층수 90층 누적,75,{930=10;502=1;gold=150000},25
,,,,,,,,,,
5,1,2,Achieved 800 pts in rating today,今日累計獲得800評分,Achieved 800 pts in rating today,,오늘 800 평점 누적 획득,800,{5000=10;451=100;gold=100000},25
6,1,2,"Achieved 1,600 pts in rating today",今日累計獲得1600評分,"Achieved 1,600 pts in rating today",,오늘 1600 평점 누적 획득,1600,{930=10;stamina=30;gold=150000},25
,,,,,,,,,,
9,1,3,Received Perfect Rank on Building 8 times today,今日累計獲得完美搭建評價8次,Received Perfect Rank on Building 8 times today,,오늘 퍼펙트 건설 평가 8회 획득,8,{5000=10;930=10;850=50},25
10,1,3,Received Perfect Rank on Building 20 times today,今日累計獲得完美搭建評價20次,Received Perfect Rank on Building 20 times today,,오늘 퍼펙트 건설 평가 20회 획득,20,{5000=15;930=15;850=50},25
