"﻿变量名",huodongID,daySum,themeType,themeName,themeName_tw,themeName_en,themeName_vn,themeName_kr,tabIndex,tabName,tabName_tw,tabName_en,tabName_vn,tabName_kr,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,award,costMap,priceShow,buyMax
默认值,0,0,0,"""""","""""","""""","""""","""""",0,"""""","""""","""""","""""","""""",1,0,9999,{},"""""","""""","""""","""""","""""",{},{},{},1
ID,活动版本ID,累计天数,主题类型,主题名称,主題名稱,主题名称,主题名称_越南,主题名称_韩,页签序号,页签名称,页签名称,页签名称,页签名称_越南,页签名称_韩,任务计数类型 (1-强制计数; 2-只有当天计数; 3-当天开始后计数),任务类型,任务参数,任务特殊参数,描述,描述,描述,描述_越南,描述_韩,奖励,消耗,原价,购买次数上限
1,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,15,1,,Daily login Deluxe Pack,每日登錄豪禮,Daily login Deluxe Pack,404404,매일 로그인 호화 선물,{20391=1;13=10;504=10;gold=30000},,,
2,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,2,22,300,,Purchase 300 diamonds in total today,當日累積儲值300鑽石,Purchase 300 diamonds in total today,404404,당일 300다이아 누적 충전,{20391=1;13=10;504=10;gold=30000},,,
3,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,5,,Attain level 5,等級達到5,Attain level 5,404404,레벨 5 달성,{20391=1;gold=2000},,,
4,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,10,,Attain level 10,等級達到10,Attain level 10,404404,레벨 10 달성,{20391=1;gold=4000;12=20},,,
5,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,15,,Attain level 15,等級達到15,Attain level 15,404404,레벨 15 달성,{20391=1;gold=6000;12=20},,,
6,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,20,,Attain level 20,等級達到20,Attain level 20,404404,레벨 20 달성,{20391=1;gold=8000;12=20},,,
7,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,25,,Attain level 25,等級達到25,Attain level 25,404404,레벨 25 달성,{20391=1;gold=10000;12=20},,,
8,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,30,,Attain level 30,等級達到30,Attain level 30,404404,레벨 30 달성,{20391=1;gold=12000;12=20},,,
