﻿变量名,huodongID,index,itemNum,time
默认值,0,0,1,0
ID,活动ID,轮次,需求数量,记忆时间
1,101058,1,3,3
2,101058,2,3,3
3,101058,3,3,3
4,101058,4,3,3
5,101058,5,3,3
6,101058,6,4,4
7,101058,7,4,4
8,101058,8,4,4
9,101058,9,4,4
10,101058,10,4,4
11,101058,11,4,3
12,101058,12,4,3
13,101058,13,5,4
14,101058,14,5,4
15,101058,15,5,4
16,101058,16,5,4
17,101058,17,5,4
18,101058,18,5,4
19,101058,19,5,4
20,101058,20,5,3
21,101058,21,5,3
22,101058,22,5,3
23,101058,23,5,3
24,101058,24,5,3
25,101058,25,5,3
26,101058,26,5,3
27,101058,27,5,2
28,101058,28,5,2
29,101058,29,5,2
30,101058,30,5,2
31,101058,31,5,2
32,101058,32,5,2
33,101058,33,5,2
34,101058,34,5,2
35,101058,35,5,2
36,101058,36,5,2
37,101058,37,5,2
38,101058,38,5,2
39,101058,39,5,2
40,101058,40,5,1.5
41,101058,41,5,1.5
42,101058,42,5,1.5
43,101058,43,5,1.5
44,101058,44,5,1.5
45,101058,45,5,1.5
46,101058,46,5,1.5
47,101058,47,5,1.5
48,101058,48,5,1.5
49,101058,49,5,1.5
50,101058,50,5,1.5
51,101058,51,5,1.5
52,101058,52,5,1.5
53,101058,53,5,1.5
54,101058,54,5,1.5
55,101058,55,5,1.5
56,101058,56,5,1.5
57,101058,57,5,1.5
58,101058,58,5,1.5
59,101058,59,5,1.5
60,101058,60,5,1.5
61,101058,61,5,1.5
62,101058,62,5,1.5
63,101058,63,5,1.5
64,101058,64,5,1.5
65,101058,65,5,1.5
66,101058,66,5,1.5
67,101058,67,5,1.5
68,101058,68,5,1.5
69,101058,69,5,1.5
70,101058,70,5,1.5
71,101058,71,5,1.5
72,101058,72,5,1.5
73,101058,73,5,1.5
74,101058,74,5,1.5
75,101058,75,5,1.5
