"﻿变量名",huodongID,vip,item,title,title_tw,title_en,title_vn,title_kr,displayRMB,rmb
默认值,0,0,{},"""""","""""","""""","""""","""""",0,0
ID,活动版本ID,需要vip等级,礼包,礼包名称,礼包名称,礼包名称,礼包名称_越南,礼包名称_韩,原价,折扣价
,21001,0,{100=3},VIP 0 Pack,VIP0禮包,VIP 0 Pack,VIP0 Gói quà,VIP0 패키지,4000,60
,21001,1,{520=10},VIP 1 Giftpack,VIP1禮包,VIP 1 Giftpack,VIP1 Gói quà,VIP1 패키지,2000,300
,21001,2,{102=3},VIP 2 Giftpack,VIP2禮包,VIP 2 Giftpack,VIP2 Gói quà,VIP2 패키지,3000,120
,21001,3,{card=20162},VIP 3 Giftpack,VIP3禮包,VIP 3 Giftpack,VIP3 Gói quà,VIP3 패키지,1500,400
,21001,4,{gold=300000},VIP 4 Giftpack,VIP4禮包,VIP 4 Giftpack,VIP4 Gói quà,VIP4 패키지,2000,150
,21001,5,{122=5},VIP 5 Giftpack,VIP5禮包,VIP 5 Giftpack,VIP5 Gói quà,VIP5 패키지,800,600
,21001,6,{500=4},VIP 6 Giftpack,VIP6禮包,VIP 6 Giftpack,VIP6 Gói quà,VIP6 패키지,1500,200
,21001,7,{127=5},VIP 7 Giftpack,VIP7禮包,VIP 7 Giftpack,VIP7 Gói quà,VIP7 패키지,500,600
,21001,8,{talent_point=4},VIP 8 Giftpack,VIP8禮包,VIP 8 Giftpack,VIP8 Gói quà,VIP8 패키지,1200,200
,21001,9,{talent_point=16},VIP 9 Giftpack,VIP9禮包,VIP 9 Giftpack,VIP9 Gói quà,VIP9 패키지,300,800
,21001,10,{520=5},VIP 10 Giftpack,VIP10禮包,VIP 10 Giftpack,VIP10 Gói quà,VIP10 패키지,1000,200
,21001,11,{501=8},VIP 11 Giftpack,VIP11禮包,VIP 11 Giftpack,VIP11 Gói quà,VIP11 패키지,200,1000
,21001,12,{611=100},VIP 12 Giftpack,VIP12禮包,VIP 12 Giftpack,VIP12 Gói quà,VIP12 패키지,800,200
,21001,13,{520=5},VIP 13 Giftpack,VIP13禮包,VIP 13 Giftpack,VIP13 Gói quà,VIP13 패키지,1000,200
,21001,14,{501=8},VIP 14 Giftpack,VIP14禮包,VIP 14 Giftpack,VIP14 Gói quà,VIP14 패키지,200,1000
,21001,15,{611=100},VIP 15 Pack,VIP15禮包,VIP 15 Pack,VIP15 Gói quà,VIP15 선물,800,200
,,,,,,,,,,
1,21002,0,{gold=400000},VIP 0 Pack,VIP0禮包,VIP 0 Pack,VIP0 Gói quà,VIP0 패키지,200,100
2,21002,1,{520=5},VIP 1 Giftpack,VIP1禮包,VIP 1 Giftpack,VIP1 Gói quà,VIP1 패키지,400,200
3,21002,2,{500=5},VIP 2 Giftpack,VIP2禮包,VIP 2 Giftpack,VIP2 Gói quà,VIP2 패키지,500,360
4,21002,3,{626=10},VIP 3 Giftpack,VIP3禮包,VIP 3 Giftpack,VIP3 Gói quà,VIP3 패키지,800,400
5,21002,4,{501=2},VIP 4 Giftpack,VIP4禮包,VIP 4 Giftpack,VIP4 Gói quà,VIP4 패키지,1600,500
6,21002,5,{122=5},VIP 5 Giftpack,VIP5禮包,VIP 5 Giftpack,VIP5 Gói quà,VIP5 패키지,1600,800
7,21002,6,{127=5},VIP 6 Giftpack,VIP6禮包,VIP 6 Giftpack,VIP6 Gói quà,VIP6 패키지,1600,800
8,21002,7,{504=50},VIP 7 Giftpack,VIP7禮包,VIP 7 Giftpack,VIP7 Gói quà,VIP7 패키지,1600,800
9,21002,8,{21031=10},VIP 8 Giftpack,VIP8禮包,VIP 8 Giftpack,VIP8 Gói quà,VIP8 패키지,1500,600
10,21002,9,{603=50},VIP 9 Giftpack,VIP9禮包,VIP 9 Giftpack,VIP9 Gói quà,VIP9 패키지,2000,1000
11,21002,10,{talent_point=15},VIP 10 Giftpack,VIP10禮包,VIP 10 Giftpack,VIP10 Gói quà,VIP10 패키지,2500,1000
12,21002,11,{502=8},VIP 11 Giftpack,VIP11禮包,VIP 11 Giftpack,VIP11 Gói quà,VIP11 패키지,3000,1000
13,21002,12,{501=6},VIP 12 Giftpack,VIP12禮包,VIP 12 Giftpack,VIP12 Gói quà,VIP12 패키지,4800,1500
14,21002,13,{411=1000},VIP 13 Giftpack,VIP13禮包,VIP 13 Giftpack,VIP13 Gói quà,VIP13 패키지,6000,3000
15,21002,14,{603=150},VIP 14 Giftpack,VIP14禮包,VIP 14 Giftpack,VIP14 Gói quà,VIP14 패키지,6000,3000
16,21002,15,{339=100},VIP 15 Pack,VIP15禮包,VIP 15 Pack,VIP15 Gói quà,VIP15 선물,10000,5000
,,,,,,,,,,
21,21003,0,{gold=400000},VIP 0 Pack,VIP0禮包,VIP 0 Pack,VIP0 Gói quà,VIP0 패키지,200,80
22,21003,1,{520=5},VIP 1 Giftpack,VIP1禮包,VIP 1 Giftpack,VIP1 Gói quà,VIP1 패키지,400,200
23,21003,2,{500=5},VIP 2 Giftpack,VIP2禮包,VIP 2 Giftpack,VIP2 Gói quà,VIP2 패키지,500,360
24,21003,3,{562=1},VIP 3 Giftpack,VIP3禮包,VIP 3 Giftpack,VIP3 Gói quà,VIP3 패키지,800,280
25,21003,4,{561=1},VIP 4 Giftpack,VIP4禮包,VIP 4 Giftpack,VIP4 Gói quà,VIP4 패키지,800,280
26,21003,5,{560=1},VIP 5 Giftpack,VIP5禮包,VIP 5 Giftpack,VIP5 Gói quà,VIP5 패키지,800,280
27,21003,6,{563=1},VIP 6 Giftpack,VIP6禮包,VIP 6 Giftpack,VIP6 Gói quà,VIP6 패키지,800,280
28,21003,7,{504=50},VIP 7 Giftpack,VIP7禮包,VIP 7 Giftpack,VIP7 Gói quà,VIP7 패키지,1600,800
29,21003,8,{21026=10},VIP 8 Giftpack,VIP8禮包,VIP 8 Giftpack,VIP8 Gói quà,VIP8 패키지,1500,600
30,21003,9,{603=50},VIP 9 Giftpack,VIP9禮包,VIP 9 Giftpack,VIP9 Gói quà,VIP9 패키지,2000,1000
31,21003,10,{talent_point=15},VIP 10 Giftpack,VIP10禮包,VIP 10 Giftpack,VIP10 Gói quà,VIP10 패키지,2500,1000
32,21003,11,{502=8},VIP 11 Giftpack,VIP11禮包,VIP 11 Giftpack,VIP11 Gói quà,VIP11 패키지,3000,1000
33,21003,12,{501=6},VIP 12 Giftpack,VIP12禮包,VIP 12 Giftpack,VIP12 Gói quà,VIP12 패키지,4800,1500
34,21003,13,{411=1000},VIP 13 Giftpack,VIP13禮包,VIP 13 Giftpack,VIP13 Gói quà,VIP13 패키지,6000,3000
35,21003,14,{603=150},VIP 14 Giftpack,VIP14禮包,VIP 14 Giftpack,VIP14 Gói quà,VIP14 패키지,6000,3000
36,21003,15,{339=100},VIP 15 Pack,VIP15禮包,VIP 15 Pack,VIP15 Gói quà,VIP15 선물,10000,5000
,,,,,,,,,,
41,21004,0,{gold=400000},VIP 0 Pack,VIP0禮包,VIP 0 Pack,VIP0 Gói quà,VIP0 패키지,200,100
42,21004,1,{520=5},VIP 1 Giftpack,VIP1禮包,VIP 1 Giftpack,VIP1 Gói quà,VIP1 패키지,400,200
43,21004,2,{500=5},VIP 2 Giftpack,VIP2禮包,VIP 2 Giftpack,VIP2 Gói quà,VIP2 패키지,500,360
44,21004,3,{626=10},VIP 3 Giftpack,VIP3禮包,VIP 3 Giftpack,VIP3 Gói quà,VIP3 패키지,800,400
45,21004,4,{501=2},VIP 4 Giftpack,VIP4禮包,VIP 4 Giftpack,VIP4 Gói quà,VIP4 패키지,1600,500
46,21004,5,{122=5},VIP 5 Giftpack,VIP5禮包,VIP 5 Giftpack,VIP5 Gói quà,VIP5 패키지,1600,800
47,21004,6,{127=5},VIP 6 Giftpack,VIP6禮包,VIP 6 Giftpack,VIP6 Gói quà,VIP6 패키지,1600,800
48,21004,7,{504=50},VIP 7 Giftpack,VIP7禮包,VIP 7 Giftpack,VIP7 Gói quà,VIP7 패키지,1600,800
49,21004,8,{21031=10},VIP 8 Giftpack,VIP8禮包,VIP 8 Giftpack,VIP8 Gói quà,VIP8 패키지,1500,600
50,21004,9,{603=50},VIP 9 Giftpack,VIP9禮包,VIP 9 Giftpack,VIP9 Gói quà,VIP9 패키지,2000,1000
51,21004,10,{talent_point=15},VIP 10 Giftpack,VIP10禮包,VIP 10 Giftpack,VIP10 Gói quà,VIP10 패키지,2500,1000
52,21004,11,{502=8},VIP 11 Giftpack,VIP11禮包,VIP 11 Giftpack,VIP11 Gói quà,VIP11 패키지,3000,1000
53,21004,12,{501=6},VIP 12 Giftpack,VIP12禮包,VIP 12 Giftpack,VIP12 Gói quà,VIP12 패키지,4800,1500
54,21004,13,{411=1000},VIP 13 Giftpack,VIP13禮包,VIP 13 Giftpack,VIP13 Gói quà,VIP13 패키지,6000,3000
55,21004,14,{603=150},VIP 14 Giftpack,VIP14禮包,VIP 14 Giftpack,VIP14 Gói quà,VIP14 패키지,6000,3000
56,21004,15,{339=100},VIP 15 Pack,VIP15禮包,VIP 15 Pack,VIP15 Gói quà,VIP15 선물,10000,5000
,,,,,,,,,,
61,21005,0,{gold=400000},VIP 0 Pack,VIP0禮包,VIP 0 Pack,VIP0 Gói quà,VIP0 패키지,200,100
62,21005,1,{520=5},VIP 1 Giftpack,VIP1禮包,VIP 1 Giftpack,VIP1 Gói quà,VIP1 패키지,400,200
63,21005,2,{500=5},VIP 2 Giftpack,VIP2禮包,VIP 2 Giftpack,VIP2 Gói quà,VIP2 패키지,500,360
64,21005,3,{626=10},VIP 3 Giftpack,VIP3禮包,VIP 3 Giftpack,VIP3 Gói quà,VIP3 패키지,800,400
65,21005,4,{501=2},VIP 4 Giftpack,VIP4禮包,VIP 4 Giftpack,VIP4 Gói quà,VIP4 패키지,1600,500
66,21005,5,{122=5},VIP 5 Giftpack,VIP5禮包,VIP 5 Giftpack,VIP5 Gói quà,VIP5 패키지,1600,800
67,21005,6,{127=5},VIP 6 Giftpack,VIP6禮包,VIP 6 Giftpack,VIP6 Gói quà,VIP6 패키지,1600,800
68,21005,7,{504=50},VIP 7 Giftpack,VIP7禮包,VIP 7 Giftpack,VIP7 Gói quà,VIP7 패키지,1600,800
69,21005,8,{21043=10},VIP 8 Giftpack,VIP8禮包,VIP 8 Giftpack,VIP8 Gói quà,VIP8 패키지,1500,600
70,21005,9,{603=50},VIP 9 Giftpack,VIP9禮包,VIP 9 Giftpack,VIP9 Gói quà,VIP9 패키지,2000,1000
71,21005,10,{talent_point=15},VIP 10 Giftpack,VIP10禮包,VIP 10 Giftpack,VIP10 Gói quà,VIP10 패키지,2500,1000
72,21005,11,{502=8},VIP 11 Giftpack,VIP11禮包,VIP 11 Giftpack,VIP11 Gói quà,VIP11 패키지,3000,1000
73,21005,12,{501=6},VIP 12 Giftpack,VIP12禮包,VIP 12 Giftpack,VIP12 Gói quà,VIP12 패키지,4800,1500
74,21005,13,{411=1000},VIP 13 Giftpack,VIP13禮包,VIP 13 Giftpack,VIP13 Gói quà,VIP13 패키지,6000,3000
75,21005,14,{603=150},VIP 14 Giftpack,VIP14禮包,VIP 14 Giftpack,VIP14 Gói quà,VIP14 패키지,6000,3000
76,21005,15,{336=100},VIP 15 Pack,VIP15禮包,VIP 15 Pack,VIP15 Gói quà,VIP15 선물,10000,5000
,,,,,,,,,,
81,21006,0,{gold=400000},VIP 0 Pack,VIP0禮包,VIP 0 Pack,VIP0 Gói quà,VIP0 패키지,200,100
82,21006,1,{520=5},VIP 1 Giftpack,VIP1禮包,VIP 1 Giftpack,VIP1 Gói quà,VIP1 패키지,400,200
83,21006,2,{500=5},VIP 2 Giftpack,VIP2禮包,VIP 2 Giftpack,VIP2 Gói quà,VIP2 패키지,500,360
84,21006,3,{626=10},VIP 3 Giftpack,VIP3禮包,VIP 3 Giftpack,VIP3 Gói quà,VIP3 패키지,800,400
85,21006,4,{501=2},VIP 4 Giftpack,VIP4禮包,VIP 4 Giftpack,VIP4 Gói quà,VIP4 패키지,1600,500
86,21006,5,{122=5},VIP 5 Giftpack,VIP5禮包,VIP 5 Giftpack,VIP5 Gói quà,VIP5 패키지,1600,800
87,21006,6,{127=5},VIP 6 Giftpack,VIP6禮包,VIP 6 Giftpack,VIP6 Gói quà,VIP6 패키지,1600,800
88,21006,7,{504=50},VIP 7 Giftpack,VIP7禮包,VIP 7 Giftpack,VIP7 Gói quà,VIP7 패키지,1600,800
89,21006,8,{21044=10},VIP 8 Giftpack,VIP8禮包,VIP 8 Giftpack,VIP8 Gói quà,VIP8 패키지,1500,600
90,21006,9,{603=50},VIP 9 Giftpack,VIP9禮包,VIP 9 Giftpack,VIP9 Gói quà,VIP9 패키지,2000,1000
91,21006,10,{talent_point=15},VIP 10 Giftpack,VIP10禮包,VIP 10 Giftpack,VIP10 Gói quà,VIP10 패키지,2500,1000
92,21006,11,{502=8},VIP 11 Giftpack,VIP11禮包,VIP 11 Giftpack,VIP11 Gói quà,VIP11 패키지,3000,1000
93,21006,12,{501=6},VIP 12 Giftpack,VIP12禮包,VIP 12 Giftpack,VIP12 Gói quà,VIP12 패키지,4800,1500
