变量名,huodongID,drawID,rmbCost,goldCost,vip,vipIcon,rmbRndMax,range1,weight1,range2,weight2,range3,weight3,range4,weight4,range5,weight5
默认值,0,0,100,100,0,"""""",200,<1;100>,1,<1;100>,1,<1;100>,1,<1;100>,1,<1;100>,1
ID,活动版本ID,抽奖序号,消耗钻石,消耗金币,vip等级限制,vip标识,本次随机上限,区间1,区间1权重,区间2,区间2权重,区间3,区间3权重,区间4,区间4权重,区间5,区间5权重
1,17001,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
2,17001,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
3,17001,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
4,17001,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
5,17001,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
6,17001,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
7,17001,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
8,17001,7,40888,,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
,,,,,,,,,,,,,,,,,
11,17002,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
12,17002,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
13,17002,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
14,17002,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
15,17002,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
16,17002,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
17,17002,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
18,17002,7,40888,,10,,78888,<44000;48000>,60,<44000;48000>,40,<44000;48000>,60,<44000;48000>,40,<44000;48000>,40
,,,,,,,,,,,,,,,,,
