"﻿变量名",huodongID,_beizhu,beginDate,endDate,servers,languages
默认值,0,"""""",20190902,20190902,{dev=<1;999999>;cn=<1;999999>;cn_qd=<1;999999>;kr=<1;999999>;en=<1;999999>;xy=<1;999999>},<cn;tw;en;kr>
ID,活动版本ID,备注,开始日期,截止日期,服务器,语言区域
1,4201,,20210531,20210607,,<cn>
2,4202,,20210607,20210614,,<cn>
3,4203,,20210614,20210621,,<cn>
4,4204,temporary,20210621,20210628,,<cn>
5,4205,,20210628,20210705,,<cn>
6,4206,,20210705,20210712,,<cn>
7,4207,,20210712,20210719,,<cn>
8,4208,,20210719,20210726,,<cn>
9,4209,,20210726,20210802,,<cn>
10,4210,,20210802,20210809,,<cn>
11,4211,,20210809,20210816,,<cn>
12,4212,,20210816,20210823,,<cn>
13,4201,,20210823,20210830,,<cn>
14,4202,,20210830,20210906,,<cn>
15,4203,,20210906,20210913,,<cn>
17,4205,,20210913,20210920,,<cn>
18,4206,,20210920,20210927,,<cn>
19,4207,,20210927,20211004,,<cn>
20,4208,,20211004,20211011,,<cn>
21,4209,,20211011,20211018,,<cn>
22,4210,,20211018,20211025,,<cn>
23,4211,,20211025,20211101,,<cn>
24,4212,,20211101,20211108,,<cn>
25,4201,,20211108,20211115,,<cn>
26,4202,,20211115,20211122,,<cn>
27,4203,,20211122,20211129,,<cn>
28,4205,,20211129,20211206,,<cn>
29,4206,,20211206,20211213,,<cn>
30,4207,,20211213,20211220,,<cn>
31,4208,,20211220,20211227,,<cn>
32,4209,,20211227,20220103,,<cn>
33,4210,,20220103,20220110,,<cn>
34,4211,,20220110,20220117,,<cn>
35,4212,,20220117,20220124,,<cn>
