变量名,huodongID,level,gold,roleExp,advanceItems,expItems,equipItems,energyItems,cost
默认值,0,1,{},{},{},{},{},{},{}
ID,活动版本ID,等级,金币找回,经验找回,突破材料找回,经验饮料找回,饰品图纸找回,能力核心找回,找回花费钻石
1,22002,1,{gold=60000},{role_exp=1500},{930=100},{13=10},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=0;expItems=50;equipItems=0;energyItems=0}
2,22002,2,{gold=60000},{role_exp=1500},{930=100},{13=10},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
3,22002,3,{gold=60000},{role_exp=1500},{930=100},{13=10},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
4,22002,4,{gold=60000},{role_exp=1500},{930=100},{13=10},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
5,22002,5,{gold=60000},{role_exp=1500},{930=100},{13=20},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
6,22002,6,{gold=60000},{role_exp=1500},{930=100},{13=20},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
7,22002,7,{gold=60000},{role_exp=1500},{930=100},{13=20},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
8,22002,8,{gold=60000},{role_exp=1500},{930=100},{13=20},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
9,22002,9,{gold=60000},{role_exp=1500},{930=100},{13=20},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
10,22002,10,{gold=70000},{role_exp=1500},{930=100},{13=29},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
11,22002,11,{gold=70000},{role_exp=1500},{930=100},{13=29},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
12,22002,12,{gold=70000},{role_exp=1500},{930=100},{13=29},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
13,22002,13,{gold=70000},{role_exp=1500},{930=100},{13=29},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
14,22002,14,{gold=70000},{role_exp=1500},{930=100},{13=29},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
15,22002,15,{gold=70000},{role_exp=1500},{930=100},{13=39},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
16,22002,16,{gold=70000},{role_exp=1500},{930=100},{13=39},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
17,22002,17,{gold=70000},{role_exp=1500},{930=100},{13=39},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
18,22002,18,{gold=290000},{role_exp=1500},{930=100},{13=39},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
19,22002,19,{gold=310000},{role_exp=1500},{930=100},{13=39},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
20,22002,20,{gold=330000},{role_exp=1500},{930=100},{13=49},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
21,22002,21,{gold=340000},{role_exp=1500},{930=100},{13=49},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
22,22002,22,{gold=360000},{role_exp=1500},{930=100},{13=49},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
23,22002,23,{gold=370000},{role_exp=1500},{930=100},{13=49},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
24,22002,24,{gold=390000},{role_exp=1500},{930=100},{13=49},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
25,22002,25,{gold=390000},{role_exp=1500},{930=100},{13=49},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
26,22002,26,{gold=390000},{role_exp=1500},{930=100},{14=34},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
27,22002,27,{gold=390000},{role_exp=1500},{930=100},{14=34},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
28,22002,28,{gold=390000},{role_exp=1500},{930=100},{14=34},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
29,22002,29,{gold=490000},{role_exp=1500},{930=100},{14=34},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
30,22002,30,{gold=530000},{role_exp=1500},{930=100},{14=38},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
31,22002,31,{gold=560000},{role_exp=1500},{930=100},{14=38},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
32,22002,32,{gold=590000},{role_exp=1500},{930=100},{14=38},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
33,22002,33,{gold=620000},{role_exp=1500},{930=100},{14=41},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
34,22002,34,{gold=650000},{role_exp=1500},{930=100},{14=41},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
35,22002,35,{gold=680000},{role_exp=1500},{930=100},{14=41},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
36,22002,36,{gold=680000},{role_exp=1500},{930=100},{14=63},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
37,22002,37,{gold=680000},{role_exp=1500},{930=100},{14=70},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
38,22002,38,{gold=680000},{role_exp=1500},{930=100},{14=70},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
39,22002,39,{gold=780000},{role_exp=1500},{930=100},{14=70},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
40,22002,40,{gold=830000},{role_exp=1500},{930=100},{14=73},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
41,22002,41,{gold=880000},{role_exp=1500},{930=100},{14=73},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
42,22002,42,{gold=930000},{role_exp=1500},{930=100},{14=73},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
43,22002,43,{gold=980000},{role_exp=1500},{930=100},{14=73},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
44,22002,44,{gold=1030000},{role_exp=1500},{930=100},{14=73},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
45,22002,45,{gold=1080000},{role_exp=1500},{930=100},{14=80},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
46,22002,46,{gold=1080000},{role_exp=1500},{930=100},{14=80},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
47,22002,47,{gold=1080000},{role_exp=1500},{930=100},{14=80},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
48,22002,48,{gold=1080000},{role_exp=1500},{930=100},{14=122},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
49,22002,49,{gold=1190000},{role_exp=1500},{930=100},{14=122},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
50,22002,50,{gold=1280000},{role_exp=1500},{930=100},{14=132},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
51,22002,51,{gold=1320000},{role_exp=1500},{930=100},{14=132},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
52,22002,52,{gold=1350000},{role_exp=1500},{930=100},{14=132},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
