变量名,huodongID,pointRequire,award,boxIcon,desc,desc_en
默认值,,0,{},1,无奖励吗,无奖励吗
ID,活动版本号,积分需求,奖励,宝箱图标,奖励描述,奖励描述
1,20191030,30,{rmb=1000;21271=10},1,Diamond 1000+Phoenix Fragment*10,
2,20191030,100,{rmb=1000;21271=15},1,Diamond 1000+Phoenix Fragment*15,
3,20191030,300,{rmb=1000;21271=20},2,Diamond 1000+Phoenix Fragment*20,
4,20191030,1000,{rmb=1000;21271=25},2,Diamond 1000+Phoenix Fragment*25,
5,20191030,2000,{rmb=1000;21271=30},3,Diamond 1000+Phoenix Fragment*30,
6,20191030,3500,{rmb=1000;21271=50},3,Diamond 1000+Phoenix Fragment*50,
7,20191030,5000,{rmb=1000;31301=1},3,Diamond 1000+ Colorful Phoenix Feather*1,
,,,,,,
11,1001,10,{21891=2;501=1;gold=60000},1,,
12,1001,30,{21891=2;501=1;gold=80000},1,,
13,1001,100,{21891=3;501=1;gold=100000},1,,
14,1001,200,{21891=3;501=1;gold=120000},2,,
15,1001,400,{21891=5;501=2;gold=140000},2,,
16,1001,600,{21891=5;501=2;gold=160000},2,,
17,1001,900,{21891=10;501=2;gold=180000},3,,
18,1001,1200,{21891=10;501=2;gold=200000},3,,
19,1001,1500,{21891=15;501=3;gold=220000},3,,
,,,,,,
21,1002,30,{21251=2;501=1;gold=60000},1,,
22,1002,100,{21251=2;501=2;gold=80000},1,,
23,1002,300,{21251=3;501=2;gold=100000},1,,
24,1002,600,{21251=3;501=3;gold=120000},2,,
25,1002,1200,{21251=5;501=3;gold=140000},2,,
26,1002,1800,{21251=5;501=4;gold=160000},2,,
27,1002,2700,{21251=10;501=5;gold=180000},3,,
28,1002,3600,{21251=10;501=6;gold=200000},3,,
29,1002,5000,{21251=15;501=8;gold=220000},3,,
,,,,,,
31,1003,30,{21421=2;501=1;gold=60000},1,,
32,1003,100,{21421=2;501=2;gold=80000},1,,
33,1003,300,{21421=3;501=2;gold=100000},1,,
34,1003,600,{21421=3;501=3;gold=120000},2,,
35,1003,1200,{21421=5;501=3;gold=140000},2,,
36,1003,1800,{21421=5;501=4;gold=160000},2,,
37,1003,2700,{21421=10;501=5;gold=180000},3,,
38,1003,3600,{21421=10;501=6;gold=200000},3,,
39,1003,5000,{21421=15;501=8;gold=220000},3,,
,,,,,,
41,1004,30,{21901=2;501=1;gold=60000},1,,
42,1004,100,{21901=2;501=2;gold=80000},1,,
43,1004,300,{21901=3;501=2;gold=100000},1,,
44,1004,600,{21901=3;501=3;gold=120000},2,,
45,1004,1200,{21901=5;501=3;gold=140000},2,,
46,1004,1800,{21901=5;501=4;gold=160000},2,,
47,1004,2700,{21901=10;501=5;gold=180000},3,,
48,1004,3600,{21901=10;501=6;gold=200000},3,,
49,1004,5000,{21901=15;501=8;gold=220000},3,,
,,,,,,
51,1005,30,{22231=3;501=1;gold=60000},1,,
52,1005,100,{22231=5;501=2;gold=80000},1,,
53,1005,300,{22231=5;501=2;gold=100000},1,,
54,1005,600,{22231=7;501=3;gold=120000},2,,
55,1005,1200,{22231=10;501=3;gold=140000},2,,
56,1005,1800,{22231=10;501=4;gold=160000},2,,
57,1005,2700,{22231=15;501=5;gold=180000},3,,
58,1005,3600,{22231=15;501=6;gold=200000},3,,
59,1005,5000,{22231=30;501=8;gold=220000},3,,
,,,,,,
61,1006,30,{22241=3;501=1;gold=60000},1,,
62,1006,100,{22241=5;501=2;gold=80000},1,,
63,1006,300,{22241=5;501=2;gold=100000},1,,
64,1006,600,{22241=7;501=3;gold=120000},2,,
65,1006,1200,{22241=10;501=3;gold=140000},2,,
66,1006,1800,{22241=10;501=4;gold=160000},2,,
67,1006,2700,{22241=15;501=5;gold=180000},3,,
68,1006,3600,{22241=15;501=6;gold=200000},3,,
69,1006,5000,{22241=30;501=8;gold=220000},3,,
,,,,,,
71,1007,30,{21921=3;501=1;gold=60000},1,,
72,1007,100,{21921=5;501=2;gold=80000},1,,
73,1007,300,{21921=5;501=2;gold=100000},1,,
74,1007,600,{21921=7;501=3;gold=120000},2,,
75,1007,1200,{21921=10;501=3;gold=140000},2,,
76,1007,1800,{21921=10;501=4;gold=160000},2,,
77,1007,2700,{21921=15;501=5;gold=180000},3,,
78,1007,3600,{21921=15;501=6;gold=200000},3,,
79,1007,5000,{21921=30;501=8;gold=220000},3,,
,,,,,,
81,1008,30,{22401=3;501=1;gold=60000},1,,
82,1008,100,{22401=5;501=2;gold=80000},1,,
83,1008,300,{22401=5;501=2;gold=100000},1,,
84,1008,600,{22401=7;501=3;gold=120000},2,,
85,1008,1200,{22401=10;501=3;gold=140000},2,,
86,1008,1800,{22401=10;501=4;gold=160000},2,,
87,1008,2700,{22401=15;501=5;gold=180000},3,,
88,1008,3600,{22401=15;501=6;gold=200000},3,,
89,1008,5000,{22401=30;501=8;gold=220000},3,,
,,,,,,
91,1009,30,{22471=3;501=1;gold=60000},1,,
92,1009,100,{22471=5;501=2;gold=80000},1,,
93,1009,300,{22471=5;501=2;gold=100000},1,,
94,1009,600,{22471=7;501=3;gold=120000},2,,
95,1009,1200,{22471=10;501=3;gold=140000},2,,
96,1009,1800,{22471=10;501=4;gold=160000},2,,
97,1009,2700,{22471=15;501=5;gold=180000},3,,
98,1009,3600,{22471=15;501=6;gold=200000},3,,
99,1009,5000,{22471=30;501=8;gold=220000},3,,
,,,,,,
100,1010,30,{23151=3;501=1;gold=60000},1,,
101,1010,100,{23151=5;501=2;gold=80000},1,,
102,1010,300,{23151=5;501=2;gold=100000},1,,
103,1010,600,{23151=7;501=3;gold=120000},2,,
104,1010,1200,{23151=10;501=3;gold=140000},2,,
105,1010,1800,{23151=10;501=4;gold=160000},2,,
106,1010,2700,{23151=15;501=5;gold=180000},3,,
107,1010,3600,{23151=15;501=6;gold=200000},3,,
108,1010,5000,{23151=30;501=8;gold=220000},3,,
,,,,,,
110,1011,30,{20641=3;501=1;gold=60000},1,,
111,1011,100,{20641=5;501=2;gold=80000},1,,
112,1011,300,{20641=5;501=2;gold=100000},1,,
113,1011,600,{20641=7;501=3;gold=120000},2,,
114,1011,1200,{20641=10;501=3;gold=140000},2,,
115,1011,1800,{20641=10;501=4;gold=160000},2,,
116,1011,2700,{20641=15;501=5;gold=180000},3,,
117,1011,3600,{20641=15;501=6;gold=200000},3,,
118,1011,5000,{20641=30;501=8;gold=220000},3,,
,,,,,,
120,1012,30,{23771=3;501=1;gold=60000},1,,
121,1012,100,{23771=5;501=2;gold=80000},1,,
122,1012,300,{23771=5;501=2;gold=100000},1,,
123,1012,600,{23771=7;501=3;gold=120000},2,,
124,1012,1200,{23771=10;501=3;gold=140000},2,,
125,1012,1800,{23771=10;501=4;gold=160000},2,,
126,1012,2700,{23771=15;501=5;gold=180000},3,,
127,1012,3600,{23771=15;501=6;gold=200000},3,,
128,1012,5000,{23771=30;501=8;gold=220000},3,,
,,,,,,
130,1013,30,{23841=3;501=1;gold=60000},1,,
131,1013,100,{23841=5;501=2;gold=80000},1,,
132,1013,300,{23841=5;501=2;gold=100000},1,,
133,1013,600,{23841=7;501=3;gold=120000},2,,
134,1013,1200,{23841=10;501=3;gold=140000},2,,
135,1013,1800,{23841=10;501=4;gold=160000},2,,
136,1013,2700,{23841=15;501=5;gold=180000},3,,
137,1013,3600,{23841=15;501=6;gold=200000},3,,
138,1013,5000,{23841=30;501=8;gold=220000},3,,
,,,,,,
140,1014,30,{21031=3;501=1;gold=60000},1,,
141,1014,100,{21031=5;501=2;gold=80000},1,,
142,1014,300,{21031=5;501=2;gold=100000},1,,
143,1014,600,{21031=7;501=3;gold=120000},2,,
144,1014,1200,{21031=10;501=3;gold=140000},2,,
145,1014,1800,{21031=10;501=4;gold=160000},2,,
146,1014,2700,{21031=15;501=5;gold=180000},3,,
147,1014,3600,{21031=15;501=6;gold=200000},3,,
148,1014,5000,{21031=30;501=8;gold=220000},3,,
,,,,,,
150,1015,30,{24131=3;501=1;gold=60000},1,,
151,1015,100,{24131=5;501=2;gold=80000},1,,
152,1015,300,{24131=5;501=2;gold=100000},1,,
153,1015,600,{24131=7;501=3;gold=120000},2,,
154,1015,1200,{24131=10;501=3;gold=140000},2,,
155,1015,1800,{24131=10;501=4;gold=160000},2,,
156,1015,2700,{24131=15;501=5;gold=180000},3,,
157,1015,3600,{24131=15;501=6;gold=200000},3,,
158,1015,5000,{24131=30;501=8;gold=220000},3,,
,,,,,,
160,1016,30,{20861=3;501=1;gold=60000},1,,
161,1016,100,{20861=5;501=2;gold=80000},1,,
162,1016,300,{20861=5;501=2;gold=100000},1,,
163,1016,600,{20861=7;501=3;gold=120000},2,,
164,1016,1200,{20861=10;501=3;gold=140000},2,,
165,1016,1800,{20861=10;501=4;gold=160000},2,,
166,1016,2700,{20861=15;501=5;gold=180000},3,,
167,1016,3600,{20861=15;501=6;gold=200000},3,,
168,1016,5000,{20861=30;501=8;gold=220000},3,,
,,,,,,
170,1017,30,{23251=3;501=1;gold=60000},1,,
171,1017,100,{23251=5;501=2;gold=80000},1,,
172,1017,300,{23251=5;501=2;gold=100000},1,,
173,1017,600,{23251=7;501=3;gold=120000},2,,
174,1017,1200,{23251=10;501=3;gold=140000},2,,
175,1017,1800,{23251=10;501=4;gold=160000},2,,
176,1017,2700,{23251=15;501=5;gold=180000},3,,
177,1017,3600,{23251=15;501=6;gold=200000},3,,
178,1017,5000,{23251=30;501=8;gold=220000},3,,
,,,,,,
