"﻿变量名",huodongID,_beizhu,name,name_tw,name_en,name_kr,limit,levelLimit,item,rechargeID,rmbCost,sort,refresh,status,icon,hot,oldPrice,languages
默认值,0,"""""","""""","""""","""""","""""",10,1,{},-1,-1,0,FALSE,0,activity/direct_gift/icon_cjbx1.png,"""""",100,<cn;tw;en;vn;th;kr>
ID,活动版本ID,备注,名字,名字,名字,名字_韩,次数限制,等级限制,道具id,recharge表id,钻石售卖价格,礼包排序字段,刷新方式（是否每日刷新）,礼包状态：0永久限购、1每周限购，2每月限购,礼包的icon,促销标签,原价,语言区域
1,23001,Server Opening Package 1,Open server pack 1,開服禮包1,Open server pack 1,서버 개방 선물1,2,,{rmb=60;stamina=100;gold=50000;12=10},,0,,TRUE,,,,,
2,23001,Daily Gift Pack A,Daily Pack A,每日禮包A,Daily Pack A,일일 패키지A,1,,{452=30;451=100},,100,,TRUE,,,,,
3,23001,Server Opening Package 2,Open server pack 2,開服禮包2,Open server pack 2,서버 개방 선물2,5,,{520=10;4000=100},,200,,,1,,,,
4,23001,Daily Pack B,Daily Pack B,每日禮包B,Daily Pack B,일일 패키지B,1,,{503=20;941=1},,300,,TRUE,,,,,
5,23001,Server Opening Package 3,Open server pack 3,開服禮包3,Open server pack 3,서버 개방 선물3,1,,{2103=50;gold=200000},105,,,,2,,,,
6,23001,Daily Gift Pack C,Daily Pack C,每日禮包C,Daily Pack C,일일 패키지C,2,,{card={id=9002};gold=150000;13=20},106,,,TRUE,,,,,
7,23001,Daily Pack D,Daily Pack D,每日禮包D,Daily Pack D,일일 패키지D,2,,{gold=300000;rmb=5000;16=5},107,,,TRUE,,,,,
8,23001,Server Opening Package 4,Open server pack 4,開服禮包4,Open server pack 4,서버 개방 선물4,5,,{14=3;15=200},108,,,,,,,,
,,,,,,,,,,,,,,,,,,
101,23101,Growth gift pack - 6 yuan - purchase once,Growth Pack,成長禮包,Growth Pack,성장 패키지,1,,{rmb=60;stamina=100;gold=50000;12=10},102,,,,,activity/direct_gift/icon_cjbx4.png,,,
