"﻿变量名",huodongID,needLevel,desc,desc_tw,desc_en,desc_vn,desc_kr,award
默认值,0,1,"""""","""""","""""","""""","""""",{}
ID,活动版本ID,要求等级,描述,描述,描述,描述_越南,描述_韩,可领奖励
1,22001,15,Reach Lv.15,等級到達15級,Reach Lv.15,Đạt LV15,레벨 15 달성,{rmb=200;gold=100000;12=10}
2,22001,20,Reach Lv.20,等級到達20級,Reach Lv.20,Đạt LV20,레벨 20 달성,{rmb=300;gold=100000;12=10}
3,22001,25,Reach Lv.25,等級到達25級,Reach Lv.25,Đạt LV25,레벨 25 달성,{rmb=400;gold=100000;12=10}
4,22001,30,Reach Lv.30,等級到達30級,Reach Lv.30,Đạt LV30,레벨 30 달성,{rmb=500;gold=100000;13=10}
5,22001,35,Reach Lv.35,等級到達35級,Reach Lv.35,Đạt LV35,레벨 35 달성,{rmb=600;gold=100000;13=10}
6,22001,40,Reach Lv.40,等級到達40級,Reach Lv.40,Đạt LV40,레벨 40 달성,{rmb=700;gold=200000;13=10}
7,22001,45,Reach Lv.45,等級到達45級,Reach Lv.45,Đạt LV45,레벨 45 달성,{rmb=800;gold=200000;13=10}
8,22001,50,Reach Lv.50,等級到達50級,Reach Lv.50,Đạt LV50,레벨 50 달성,{rmb=900;gold=200000;13=10}
9,22001,55,Reach Lv.55,等級到達55級,Reach Lv.55,Đạt LV55,레벨 55 달성,{rmb=1000;gold=200000;14=10}
10,22001,60,Reach Lv.60,等級到達60級,Reach Lv.60,Đạt LV60,레벨 60 달성,{rmb=1000;gold=200000;14=10}
11,22001,70,Reach Lv.70,等級到達70級,Reach Lv.70,Đạt LV70,레벨 70 달성,{rmb=1200;gold=300000;14=10}
12,22001,80,Reach Lv.80,等級到達80級,Reach Lv.80,Đạt LV80,레벨 80 달성,{rmb=1200;gold=300000;14=10}
13,22001,90,Reach Lv.90,等級到達90級,Reach Lv.90,Đạt LV90,레벨 90 달성,{rmb=1200;gold=300000;14=10}
