变量名,huodongID,rechargeID,icon,name,awards,buyTimes,optionalAwards1,optionalAwards2,optionalAwards3,optionalAwards4
默认值,,0,"""""","""""",{},0,<>,<>,<>,<>
ID,活动版本号,对应的兑换ID,礼包资源图,优惠礼包,固定奖励（可为空）,限购次数,自选槽位配置1,自选槽位配置2,自选槽位配置3,自选槽位配置4
1,1001,101,,1 yuan customized gift bag,,1,<{53=20};{111=10};{rmb=30};{card={id=11}}>,,,
2,1001,102,,6 yuan customized gift bag,,2,<{602=10};{925=1};{rmb=30};{card={id=11}}>,,,
3,1001,103,,12 yuan customized gift bag,{rmb=200},1,<{602=10};{925=1};{rmb=30};{card={id=11}}>,,,
4,1001,104,,18 yuan customized gift bag,{rmb=300},2,<{20001=5};{925=1};{rmb=30};{card={id=11}}>,,,
5,1001,105,,25 yuan customized gift bag,,1,<{20001=5};{925=1};{rmb=30};{card={id=11}}>,,,
6,1001,106,,30 yuan customized gift bag,,2,<{20641=10};{20721=10};{20731=10};{20741=10}>,<{coin7=300};{coin8=300};{coin14=300};{coin1=300}>,,
7,1001,107,,60 yuan customized gift bag,{rmb=600},1,<{card={id=1031}};{card={id=1081}};{card={id=1171}};{card={id=1291}}>,,,
8,1001,108,,98 yuan customized gift bag,,2,<{card={id=1221}};{card={id=1231}};{card={id=1241}}>,<{coin7=1000};{coin8=1000};{coin14=1000};{coin1=1000}>,<{53=90};{11=90};{100=60};{523=40}>,
9,1001,109,,128 yuan customized gift bag,{rmb=1280},1,<{card={id=1221}};{card={id=1231}};{card={id=1241}}>,,,
10,1001,110,,168 yuan customized gift bag,{rmb=1680},2,<{502=50};{521=20}>,<{gold=1000000};{coin6=1000};{coin10=1000};{coin11=1000}>,,
11,1001,111,,198 yuan customized gift bag,{967=20},1,<{602=100};{603=60}>,<{6231=2};{6232=2};{6233=2};{6234=2}>,,
12,1001,112,,328 yuan customized gift bag,,2,<{502=100};{521=50}>,<{coin7=5000};{coin8=5000};{coin14=5000};{coin1=5000}>,<{53=300};{11=300};{100=100};{523=100}>,<{20641=50};{20721=50};{20731=50};{20741=50}>
13,1001,113,,648 yuan customized gift bag,{rmb=6480},1,<{card={id=1971}};{card={id=1961}};{card={id=1981}}>,<{coin7=10000};{coin8=10000};{coin14=10000};{coin1=10000}>,,
,,,,,,,,,,
101,1002,102,,6 yuan customized gift bag,{rmb=120},2,<{gold=50000}>,<{503=1};{519=1};{520=1};>,<{502=2};{19=3};{531=1};{537=1}>,
102,1002,106,,30 yuan customized gift bag,{rmb=300},2,<{gold=500000}>,<{452=75};{503=4};{604=10};{851=150};{152=30};{112=30};{531=4};{537=4};{520=4}>,<{451=150};{2103=30};{902=30};{850=300};{151=300};{111=150};{529=750};{124=10};{4000=100}>,
103,1002,107,,60 yuan customized gift bag,{rmb=600},2,<{502=5};{501=1};{gold=500000};{519=3};{527=3}>,<{452=150};{503=8};{604=20};{851=300};{152=60};{112=60};{531=8};{537=8};{520=8}>,<{451=300};{2103=60};{902=60};{850=600};{151=600};{111=300};{529=1500};{124=20};{4000=200}>,
104,1002,108,,98 yuan customized gift bag,{rmb=980},2,<{502=8};{501=2};{gold=800000};{519=5};{527=5}>,<{452=200};{503=10};{604=30};{851=400};{152=80};{112=80};{531=10};{537=10};{520=10}>,<{451=400};{2103=80};{902=80};{850=800};{151=800};{111=400};{529=2000};{124=30};{4000=300}>,
105,1002,111,,198 yuan customized gift bag,{rmb=1980},2,<{502=15};{501=4};{gold=150000};{519=10};{527=10}>,<{452=400};{503=20};{604=60};{851=800};{152=160};{112=160};{531=20};{537=20};{520=20}>,<{451=800};{2103=160};{902=160};{850=1600};{151=1600};{111=800};{529=4000};{124=60};{4000=600}>,
106,1002,112,,328 yuan customized gift bag,{rmb=3280},2,<{2152=1};{942=1};{962=1};{993=1};{7324=1}>,<{452=600};{503=30};{604=90};{851=1200};{152=240};{112=240};{531=30};{537=30};{520=30}>,<{451=1200};{2103=240};{902=240};{850=2400};{151=2400};{111=1200};{529=6000};{124=90};{4000=900}>,
107,1002,113,,648 yuan customized gift bag,{rmb=6480},2,<{2152=2};{942=2};{963=1};{994=1};{7325=1};{521=10}>,<{452=1200};{503=60};{604=180};{851=2400};{152=480};{112=480};{531=60};{537=60};{520=60}>,<{451=2400};{2103=480};{902=480};{850=4800};{151=4800};{111=2400};{529=12000};{124=180};{4000=1800}>,
