变量名,huodongID,rank,award,fightPointLeast
默认值,0,0,{},1000
ID,活动版本,排名,排行奖励,战力限制
1,1001,1,{card={id=1271};21271=80;501=6;2007=1;31301=1},80000
2,1001,2,{card={id=1271};501=5;14=30;31301=1},80000
3,1001,3,{card={id=1271};501=5;14=20},80000
4,1001,4,{card={id=753};20751=100;501=4;14=20},80000
5,1001,5,{card={id=753};20751=50;501=3;14=20},80000
6,1001,6,{card={id=753};20751=50;501=3;14=20},80000
7,1001,7,{6211=1;501=2;14=10},80000
8,1001,8,{6211=1;501=2;14=10},80000
9,1001,9,{6211=1;501=1;14=10},80000
10,1001,10,{6211=1;501=1;14=10},80000
