"﻿变量名",huodongID,costMap,items,exchangeTimes,limit,desc,desc_tw,desc_en
默认值,0,{},{},0,{},"""""","""""",""""""
ID,活动版本ID,消耗道具,兑换道具,兑换限制次数0无限,兑换限制(1-vip;2-等级;3-图鉴;4-头像;5-皮肤),描述,描述,描述
1,10001,{gold=100;rmb=11},{gold=1},10,,Test Event,測試活動,Test Event
2,10001,{gold=100;rmb=13},{gold=1},5,,Test Event,測試活動,Test Event
3,10001,{gold=100;rmb=13},{gold=1},4,,Test Event,測試活動,Test Event
4,10001,{gold=100;rmb=15},{gold=1},4,,Test Event,測試活動,Test Event
5,10001,{gold=100;rmb=16},{gold=1},4,,Test Event,測試活動,Test Event
6,10001,{gold=100;rmb=18},{gold=1},4,,Test Event,測試活動,Test Event
7,10001,{gold=109},{gold=1},4,,Test Event,測試活動,Test Event
8,10001,{gold=111},{gold=1},4,,Test Event,測試活動,Test Event
,,,,,,,,
11,10002,{gold=100;rmb=11},{gold=1},10,,Test Event,測試活動,Test Event
12,10002,{gold=100;rmb=13},{gold=1},5,,Test Event,測試活動,Test Event
13,10002,{gold=100;rmb=13},{gold=1},4,,Test Event,測試活動,Test Event
14,10002,{gold=100;rmb=15},{gold=1},4,,Test Event,測試活動,Test Event
15,10002,{gold=100;rmb=16},{gold=1},4,,Test Event,測試活動,Test Event
16,10002,{gold=100;rmb=18},{gold=1},4,,Test Event,測試活動,Test Event
17,10002,{gold=109},{gold=1},4,,Test Event,測試活動,Test Event
18,10002,{gold=111},{gold=1},4,,Test Event,測試活動,Test Event
,,,,,,,,
101,1001,{6321=1},{2300=1},1,{4=900},Christmas Exclusive Avatar,耶誕節專屬頭像,404
102,1001,{6321=10},{2008=1},1,,Christmas exclusive title box,耶誕節專屬稱號框,404
103,1001,{6321=10},{2400=1},1,,christmas title,耶誕節稱號,404
104,1001,{6321=10},{talent_point=2},3,,talent point*2,天賦點*2,404
105,1001,{6321=1},{515=1},5,,Stamina Potion (Medium)*1,體力藥水(中)*1,404
106,1001,{6321=1},{502=1},8,,Universal Ascension Fragment*1,萬能升星碎片*1,404
107,1001,{6321=1},{501=1},3,,Awakening Alloy*1,覺醒合金*1,404
108,1001,{6321=1},{rmb=388},1,,Diamond*388,鑽石*388,404
109,1001,{6321=1},{519=10},1,,Card Draw Coupon*10,抽卡券*10,404
110,1001,{6321=1},{503=10},1,,Ornament key*5,飾品鑰匙*5,404
111,1001,{6321=1},{520=5},1,,Explorer Draw Card*5,探險器抽卡*5,404
112,1001,{6321=1},{gold=100000},30,,Gold coin*10w,金幣*10w,404
113,1001,{6321=1},{930=8},30,,Crystal box*5,晶石盒子*5,404
114,1001,{6321=10},{2102=2},30,,Blue Carry Enhancement*2,藍攜帶強化*2,404
115,1001,{6321=10},{5000=8},30,,Energy Potion*5,能量藥劑*5,404
116,1001,{6321=100},{902=1},30,,Purple favorability gift*1,紫色好感度禮物*1,404
117,1001,{6321=1},{850=20},30,,Blue Potential Stone*30,藍色潛能石*30,404
118,1001,{6321=1000},{8000=1},1,{5=101},Cryogonal·Christmas Shadow,幾何雪花·聖誕魔影,Cryogonal·Christmas Shadow
119,1001,{6321=1000},{8008=1},1,{5=105},Street Fighter Scizor,街頭拳手·巨鉗螳螂,Street Fighter Scizor
120,1001,{6321=500},{card={id=11}},1,{3=11},Charmander,小火龍,Charmander
,,,,,,,,
,10012,{gold=50000},{611=10},5,,Gold* 50K Exchange Spar Box* 10,金幣*5W   兌換   晶石盒子*10,Gold* 50K Exchange Spar Box* 10
,10012,{gold=30000},{5000=10},10,,Energy Potion,金幣*3W   兌換   能量藥劑*10,Energy Potion
,10012,{gold=100000},{504=10},3,,Gold* 100K Exchange Soul Fight Essence,金幣*10W   兌換   鬥魂精華*10,Gold* 100K Exchange Soul Fight Essence
,10012,{rmb=600},{411=150},3,,Diamond* 600 Exchange Source of Divine Weapon* 150,鑽石*600   兌換   神器能量之魂*150,Diamond* 600 Exchange Source of Divine Weapon* 150
,10012,{rmb=600},{603=20},3,,Diamond* 600 Exchange Giftpack (Mix)*20,鑽石*600   兌換   紫色禮物盒子*20,Diamond* 600 Exchange Giftpack (Mix)*20
,10012,{rmb=180},{21001=3},2,,Diamond* 180 Exchange Agumon Shard* 3,鑽石*180   兌換   亞古獸碎片*3,Diamond* 180 Exchange Agumon Shard* 3
,10012,{rmb=180},{21002=3},2,,Diamond* 180 Exchange  Garurumon* 3,鑽石*180   兌換   加魯魯獸碎片*3,Diamond* 180 Exchange  Garurumon* 3
,10012,{rmb=180},{21004=3},2,,Diamond* 180 Exchange  Birdramon* 3,鑽石*180   兌換   巴朵拉獸碎片*3,Diamond* 180 Exchange  Birdramon* 3
,10012,{rmb=180},{21011=3},2,,Diamond* 180 Exchange  Ankylomon* 3,鑽石*180   兌換   戰甲獸碎片*3,Diamond* 180 Exchange  Ankylomon* 3
,10012,{rmb=180},{21015=3},2,,Diamond* 180 Exchange  Kyubimon* 3,鑽石*180   兌換   九尾狐獸碎片*3,Diamond* 180 Exchange  Kyubimon* 3
,10012,{rmb=180},{21022=3},2,,Diamond* 180 Exchange  Wizardmon* 3,鑽石*180   兌換   巫師獸碎片*3,Diamond* 180 Exchange  Wizardmon* 3
,10012,{rmb=180},{21033=3},2,,Diamond* 180 Exchange  Loweemon* 3,鑽石*180   兌換   黑獅獸碎片*3,Diamond* 180 Exchange  Loweemon* 3
,10012,{rmb=180},{21028=3},2,,Diamond* 180 Exchange  Reppamon* 3,鑽石*180   兌換   裂波獸碎片*3,Diamond* 180 Exchange  Reppamon* 3
,10012,{rmb=240},{21031=3},1,,Diamond* 180 Exchange  Beetlemon* 3,鑽石*240   兌換   電光獸碎片*3,Diamond* 180 Exchange  Beetlemon* 3
,10012,{rmb=240},{21026=3},1,,Diamond* 180 Exchange  Gaogamon Shard* 3,鑽石*240   兌換   伽奧伽獸碎片*3,Diamond* 180 Exchange  Gaogamon Shard* 3
,10012,{rmb=240},{21023=3},1,,Diamond* 180 Exchange  Agnimon Shard* 3,鑽石*240   兌換   火神獸碎片*3,Diamond* 180 Exchange  Agnimon Shard* 3
