变量名,hp,mp1,initMp1,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,hit,dodge,damageHit,damageDodge,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,controlPer,immuneControl
默认值,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
角色等级,HP,MP1,initMp1,HP回复,MP1回复,预留,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,命中,闪避,伤害命中,伤害闪避,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制,控制率,免控率
1,850,1000,1,0,0,0,645,645,193,193,0,0,11,,,,,,,,,,,,,,,,,,,,,,
2,1140,1000,1,0,0,0,668,668,200,200,0,0,12,,,,,,,,,,,,,,,,,,,,,,
3,1430,1000,1,0,0,0,692,692,208,208,0,0,13,,,,,,,,,,,,,,,,,,,,,,
4,1720,1000,1,0,0,0,717,717,215,215,0,0,14,,,,,,,,,,,,,,,,,,,,,,
5,2010,1000,1,0,0,0,741,741,223,223,0,0,15,,,,,,,,,,,,,,,,,,,,,,
6,2300,1000,1,0,0,0,766,766,230,230,0,0,16,,,,,,,,,,,,,,,,,,,,,,
7,2640,1000,1,0,0,0,790,790,238,238,0,0,17,,,,,,,,,,,,,,,,,,,,,,
8,2980,1000,1,0,0,0,816,816,245,245,0,0,18,,,,,,,,,,,,,,,,,,,,,,
9,3320,1000,1,0,0,0,841,841,253,253,0,0,19,,,,,,,,,,,,,,,,,,,,,,
10,3660,1000,1,0,0,0,867,867,260,260,0,0,20,,,,,,,,,,,,,,,,,,,,,,
11,4000,1000,1,0,0,0,892,892,268,268,0,0,21,,,,,,,,,,,,,,,,,,,,,,
12,4395,1000,1,0,0,0,918,918,275,275,0,0,22,,,,,,,,,,,,,,,,,,,,,,
13,4790,1000,1,0,0,0,944,944,283,283,0,0,23,,,,,,,,,,,,,,,,,,,,,,
14,5185,1000,1,0,0,0,971,971,291,291,0,0,24,,,,,,,,,,,,,,,,,,,,,,
15,5580,1000,1,0,0,0,997,997,299,299,0,0,25,,,,,,,,,,,,,,,,,,,,,,
16,5975,1000,1,0,0,0,1024,1024,307,307,0,0,26,,,,,,,,,,,,,,,,,,,,,,
17,6430,1000,1,0,0,0,1050,1050,315,315,0,0,27,,,,,,,,,,,,,,,,,,,,,,
18,6885,1000,1,0,0,0,1078,1078,324,324,0,0,28,,,,,,,,,,,,,,,,,,,,,,
19,7340,1000,1,0,0,0,1106,1106,332,332,0,0,30,,,,,,,,,,,,,,,,,,,,,,
20,7795,1000,1,0,0,0,1134,1134,341,341,0,0,31,,,,,,,,,,,,,,,,,,,,,,
